0,1,2,3,4,5,6,7,8,9,10,11,12
英超,2013-05-05,利物浦,0-0,愛華頓,0-0,輸[-0.5],小[2.5/3],雙,●,,,
英超,2013-04-28,紐卡素,0-6,利物浦,0-2,贏[-0/0.5],大[2.5/3],雙,,,●,
英超,2013-04-21,利物浦,2-2,車路士,0-1,輸[-0/0.5],大[2.5/3],雙,,,●,
英超,2013-04-13,雷丁,0-0,利物浦,0-0,輸[-1/1.5],小[3],雙,●,,,
英超,2013-04-07,利物浦,0-0,韋斯咸,0-0,輸[-1.5],小[3],雙,●,,,
英超,2013-03-31,阿士東維拉,1-2,利物浦,1-0,贏[-0.5/1],大[2.5/3],單,,●,,
英超,2013-03-16,修咸頓,3-1,利物浦,2-1,輸[-0.5],大[2.5/3],雙,,,●,
英超,2013-03-11,利物浦,3-2,熱刺,1-1,贏[-0.5],大[2.5/3],單,,,●,
英超,2013-03-03,韋根,0-4,利物浦,0-3,贏[-0.5/1],大[2.5/3],雙,,,●,
歐霸盃,2013-02-22,利物浦,3-1,聖彼德斯堡,2-1,贏[-1],大[2.5/3],雙,,,●,
英超,2013-02-17,利物浦,5-0,史雲斯,1-0,贏[-1/1.5],大[2.5/3],單,,,●,
歐霸盃,2013-02-15,聖彼德斯堡,2-0,利物浦,0-0,輸[+0/0.5],小[2/2.5],雙,,●,,
英超,2013-02-12,利物浦,0-2,西布朗,0-0,輸[-1/1.5],小[2.5/3],雙,,●,,
英超,2013-02-04,曼城,2-2,利物浦,1-1,贏[+0.5],大[2.5/3],雙,,,●,
英超,2013-01-31,阿仙奴,2-2,利物浦,0-1,贏[+0/0.5],大[2.5/3],雙,,,●,
英足總盃,2013-01-28,奧咸,3-2,利物浦,2-1,輸[-1.5/2],大[3],單,,,●,
英超,2013-01-19,利物浦,5-0,諾域治,2-0,贏[-1.5],大[3],單,,,●,
英超,2013-01-13,曼聯,2-1,利物浦,1-0,輸[+0.5],走[3],單,,●,,
英足總盃,2013-01-07,曼斯菲特,1-2,利物浦,0-1,輸[-2],小[3/3.5],單,,●,,
英超,2013-01-03,利物浦,3-0,新特蘭,2-0,贏[-1.5],大[2.5/3],單,,●,,
英超,2012-12-31,昆士柏流浪,0-3,利物浦,0-3,贏[-0.5],大[2.5],單,,●,,
英超,2012-12-27,史篤城,3-1,利物浦,2-1,輸[-0.5],大[2/2.5],雙,,,●,
英超,2012-12-23,利物浦,4-0,富咸,2-0,贏[-1/1.5],大[2.5/3],雙,,,●,
英超,2012-12-15,利物浦,1-3,阿士東維拉,0-2,輸[-1.5],大[2.5/3],雙,,,●,
