0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93
Man City,Everton,Cardiff,H,Hull,H,Stoke,D,Man United,H,Aston Villa,H,West Brom,D,Cardiff,D,Chelsea,H,West Ham,A,Newcastle,H,15983.0,0,3,2,0,0,0,0,1,2,0,2,3,0,0,0,0,0,1,1,0,0,1,4,1,1,2,0,0,0,3,2,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,4,0,0,0,2,3,2,1,1,0,1,3,2,3,1,0,0,H
Fulham,Stoke,Arsenal,A,Newcastle,H,West Brom,D,Chelsea,H,Cardiff,A,Crystal Palace,H,West Ham,A,Man City,D,Arsenal,H,Norwich,A,15983.0,1,1,3,2,2,0,0,0,1,0,2,2,0,0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,1,1,2,1,1,0,0,1,2,1,3,0,0,0,0,0,1,2,1,0,0,1,0,0,1,1,0,0,0,3,1,0,2,0,0,1,0,1,2,1,0,0,H
Hull,Aston Villa,Norwich,H,Man City,H,Cardiff,D,Newcastle,A,West Ham,H,Chelsea,H,Liverpool,A,Newcastle,A,Norwich,A,Man City,H,15983.0,1,1,0,1,1,1,0,0,2,0,2,3,0,0,1,1,1,1,2,0,0,0,2,3,1,1,0,0,1,1,0,1,2,0,0,0,2,1,1,4,0,0,1,0,1,3,3,0,0,1,1,2,1,4,0,0,0,0,1,1,0,0,0,1,3,2,1,1,0,0,D
Cardiff,Newcastle,Man City,H,Everton,D,Hull,D,Tottenham,A,Fulham,A,West Ham,D,Fulham,H,Aston Villa,A,Hull,A,Everton,H,15983.0,1,3,2,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,2,0,0,1,0,1,1,4,0,0,0,1,2,1,1,0,0,1,0,0,0,1,0,0,1,1,0,2,2,0,0,0,1,2,1,4,0,0,1,2,3,1,1,0,0,0,3,2,3,1,0,0,A
Norwich,Chelsea,Hull,H,Southampton,H,Tottenham,H,Aston Villa,A,Stoke,A,Aston Villa,H,Man United,D,Everton,H,Fulham,H,Tottenham,D,15984.0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,2,0,1,3,0,0,1,0,1,1,0,0,0,0,0,1,2,1,0,0,1,2,1,1,4,0,0,0,0,0,0,2,0,0,0,1,0,0,4,0,0,1,2,0,0,0,0,0,0,1,1,5,1,0,1,A
Southampton,Swansea,Sunderland,D,Norwich,H,West Ham,D,Liverpool,A,Crystal Palace,H,Tottenham,H,West Brom,A,Liverpool,D,Crystal Palace,A,Arsenal,A,15984.0,1,1,1,2,2,0,0,0,1,0,0,0,0,0,1,0,0,1,3,0,0,0,0,1,0,1,0,0,1,2,0,1,2,0,0,0,1,0,1,4,0,0,0,0,2,4,3,0,0,1,2,2,2,3,0,0,0,0,2,2,2,0,0,1,1,2,3,2,0,0,H
Tottenham,West Ham,Swansea,H,Arsenal,H,Norwich,H,Cardiff,A,Chelsea,D,Newcastle,D,Stoke,A,Southampton,D,Everton,A,Hull,H,15984.0,1,1,0,1,4,0,0,0,1,0,2,2,0,0,1,2,0,1,3,0,0,0,0,1,1,4,0,0,1,1,1,5,1,0,1,0,0,0,0,1,0,0,1,0,1,2,1,0,0,0,0,0,1,3,0,0,1,2,3,2,1,1,0,0,1,0,1,2,0,0,A
West Brom,Arsenal,Everton,D,Swansea,A,Fulham,D,Sunderland,H,Man United,A,Fulham,A,Tottenham,H,Sunderland,A,Stoke,H,Swansea,A,15984.0,0,0,0,1,1,0,0,1,0,2,4,3,0,0,0,1,1,0,1,0,0,1,3,0,0,2,0,0,0,1,2,3,2,0,0,0,1,3,2,2,0,0,1,1,0,2,2,0,0,0,1,3,1,2,0,0,1,3,1,0,2,0,0,0,1,2,3,2,0,0,D
Swansea,Sunderland,West Brom,A,Liverpool,D,Crystal Palace,A,Arsenal,A,Southampton,H,Crystal Palace,H,Arsenal,A,West Brom,H,Liverpool,A,Man United,A,15997.0,0,0,2,4,3,0,0,1,2,2,2,3,0,0,0,0,2,2,2,0,0,1,1,2,3,2,0,0,0,2,0,3,1,0,0,0,3,1,1,0,0,1,1,1,3,1,2,0,0,0,3,0,0,2,0,0,1,1,3,2,1,0,0,1,1,2,2,4,0,0,H
Stoke,West Brom,West Ham,A,Man City,D,Arsenal,H,Norwich,A,Fulham,H,Swansea,A,Fulham,D,Sunderland,H,Man United,A,Arsenal,D,15997.0,0,0,1,2,1,0,0,1,0,0,1,1,0,0,0,3,1,0,2,0,0,1,0,1,2,1,0,0,0,1,0,3,2,0,0,1,0,2,4,3,0,0,0,1,1,0,1,0,0,1,3,0,0,2,0,0,0,1,2,3,2,0,0,1,1,1,1,2,0,0,D
Newcastle,Liverpool,Fulham,H,Aston Villa,A,Hull,A,Everton,H,Cardiff,A,Man United,H,Swansea,D,Southampton,A,Sunderland,A,Crystal Palace,H,15997.0,1,1,0,2,2,0,0,0,1,2,1,4,0,0,1,2,3,1,1,0,0,0,3,2,3,1,0,0,0,1,2,1,0,0,0,1,1,0,2,4,0,0,0,2,2,2,3,0,0,1,0,1,0,1,0,0,0,1,3,2,1,0,0,1,3,1,2,1,0,0,D
West Ham,Man City,Stoke,A,Southampton,D,Everton,A,Hull,H,Tottenham,A,Hull,H,Stoke,D,Man United,H,Aston Villa,H,Everton,H,15997.0,1,0,1,2,1,0,0,0,0,0,1,3,0,0,1,2,3,2,1,1,0,0,1,0,1,2,0,0,0,0,3,0,0,0,0,1,2,0,2,3,0,0,0,0,0,1,1,0,0,1,4,1,1,2,0,0,0,3,2,1,1,0,0,1,3,1,5,4,0,0,A
Everton,Hull,Cardiff,D,Chelsea,H,West Ham,A,Newcastle,H,Man City,H,Man City,H,Cardiff,D,Newcastle,A,West Ham,H,Aston Villa,D,15997.0,0,0,0,1,1,0,0,1,1,0,0,4,0,0,0,2,3,2,1,1,0,1,3,2,3,1,0,0,0,3,1,5,4,0,0,0,2,0,2,3,0,0,1,1,1,1,2,0,0,0,2,3,1,1,0,0,1,1,0,1,2,0,0,1,0,0,2,1,0,0,H
Chelsea,Cardiff,Man United,D,Everton,H,Fulham,H,Tottenham,D,Norwich,A,Everton,D,Hull,D,Tottenham,A,Fulham,A,Newcastle,A,15997.0,0,0,0,0,2,0,0,0,1,0,0,4,0,0,1,2,0,0,0,0,0,0,1,1,5,1,0,1,0,1,3,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,2,0,0,1,0,1,1,4,0,0,0,1,2,1,1,0,0,1,1,2,1,0,0,0,H
Arsenal,Norwich,Tottenham,H,Sunderland,A,Stoke,H,Swansea,A,West Brom,D,Southampton,H,Tottenham,H,Aston Villa,A,Stoke,A,Chelsea,A,15997.0,1,1,0,2,2,0,0,0,1,3,1,2,0,0,1,3,1,0,2,0,0,0,1,2,3,2,0,0,0,1,1,1,2,0,0,1,1,0,0,0,0,0,0,2,0,1,3,0,0,1,0,1,1,0,0,0,0,0,1,2,1,0,0,1,1,3,1,1,0,0,H
Man United,Southampton,Liverpool,H,Crystal Palace,H,Man City,H,West Brom,A,Sunderland,A,Norwich,H,West Ham,D,Liverpool,A,Crystal Palace,H,Swansea,H,15997.0,0,1,0,2,4,0,0,1,2,0,1,2,0,1,0,4,1,1,2,0,0,1,1,2,3,2,0,0,0,1,2,2,4,0,0,0,1,0,0,0,0,0,1,0,0,1,3,0,0,0,0,1,0,1,0,0,1,2,0,1,2,0,0,1,2,0,3,1,0,0,D
Aston Villa,Tottenham,Liverpool,A,Newcastle,A,Norwich,A,Man City,H,Hull,D,Arsenal,H,Norwich,H,Cardiff,A,Chelsea,D,West Ham,A,15998.0,1,0,1,3,3,0,0,1,1,2,1,4,0,0,0,0,1,1,0,0,0,1,3,2,1,1,0,0,0,0,0,2,1,0,0,0,1,0,2,2,0,0,1,2,0,1,3,0,0,0,0,1,1,4,0,0,1,1,1,5,1,0,1,1,0,3,0,0,0,0,A
Crystal Palace,Fulham,Sunderland,H,Man United,H,Swansea,A,Southampton,H,Liverpool,H,Newcastle,H,West Brom,D,Chelsea,H,Cardiff,A,Stoke,H,15999.0,1,3,1,1,0,0,1,0,2,0,1,2,0,1,1,0,2,2,2,0,0,0,2,0,1,2,0,0,0,3,1,2,1,0,0,0,1,0,2,2,0,0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,1,1,2,1,1,0,0,1,1,0,3,2,0,0,A
Southampton,Fulham,West Ham,D,Liverpool,A,Crystal Palace,H,Swansea,H,Man United,D,West Brom,D,Chelsea,H,Cardiff,A,Stoke,H,Crystal Palace,A,16004.0,1,0,0,1,3,0,0,0,0,1,0,1,0,0,1,2,0,1,2,0,0,1,2,0,3,1,0,0,0,1,1,2,3,0,0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,1,1,2,1,1,0,0,1,1,0,3,2,0,0,0,1,4,0,1,0,0,H
Norwich,Cardiff,Tottenham,H,Aston Villa,A,Stoke,A,Chelsea,A,Arsenal,H,Hull,D,Tottenham,A,Fulham,A,Newcastle,A,Chelsea,H,16004.0,0,2,0,1,3,0,0,1,0,1,1,0,0,0,0,0,1,2,1,0,0,1,1,3,1,1,0,0,0,4,1,0,0,0,0,0,1,1,1,2,0,0,1,0,1,1,4,0,0,0,1,2,1,1,0,0,1,1,2,1,0,0,0,0,4,1,1,2,0,0,D
Man United,Stoke,Crystal Palace,H,Man City,H,West Brom,A,Sunderland,A,Southampton,D,Man City,D,Arsenal,H,Norwich,A,Fulham,H,West Brom,D,16004.0,1,2,0,1,2,0,1,0,4,1,1,2,0,0,1,1,2,3,2,0,0,0,1,2,2,4,0,0,1,1,1,2,3,0,0,1,0,0,1,1,0,0,0,3,1,0,2,0,0,1,0,1,2,1,0,0,0,1,0,3,2,0,0,1,0,0,1,0,0,0,H
Crystal Palace,Arsenal,Man United,H,Swansea,A,Southampton,H,Liverpool,H,Fulham,A,Sunderland,A,Stoke,H,Swansea,A,West Brom,D,Norwich,H,16004.0,0,2,0,1,2,0,1,1,0,2,2,2,0,0,0,2,0,1,2,0,0,0,3,1,2,1,0,0,1,1,4,0,1,0,0,0,1,3,1,2,0,0,1,3,1,0,2,0,0,0,1,2,3,2,0,0,0,1,1,1,2,0,0,1,4,1,0,0,0,0,A
Aston Villa,Everton,Newcastle,A,Norwich,A,Man City,H,Hull,D,Tottenham,A,Chelsea,H,West Ham,A,Newcastle,H,Man City,H,Hull,H,16004.0,1,1,2,1,4,0,0,0,0,1,1,0,0,0,1,3,2,1,1,0,0,0,0,0,2,1,0,0,1,0,2,3,4,0,0,1,1,0,0,4,0,0,0,2,3,2,1,1,0,1,3,2,3,1,0,0,0,3,1,5,4,0,0,1,2,1,3,1,0,0,A
Liverpool,West Brom,Swansea,D,Southampton,A,Sunderland,A,Crystal Palace,H,Newcastle,D,Fulham,D,Sunderland,H,Man United,A,Arsenal,D,Stoke,D,16004.0,0,2,2,2,3,0,0,1,0,1,0,1,0,0,0,1,3,2,1,0,0,1,3,1,2,1,0,0,0,2,2,2,3,1,0,0,1,1,0,1,0,0,1,3,0,0,2,0,0,0,1,2,3,2,0,0,1,1,1,1,2,0,0,0,0,0,1,0,0,0,H
Chelsea,Man City,Everton,H,Fulham,H,Tottenham,D,Norwich,A,Cardiff,H,Stoke,D,Man United,H,Aston Villa,H,Everton,H,West Ham,A,16005.0,0,1,0,0,4,0,0,1,2,0,0,0,0,0,0,1,1,5,1,0,1,0,1,3,1,1,0,0,1,4,1,1,2,0,0,0,0,0,1,1,0,0,1,4,1,1,2,0,0,0,3,2,1,1,0,0,1,3,1,5,4,0,0,0,1,3,1,2,0,0,H
Sunderland,Newcastle,Arsenal,A,West Brom,H,Liverpool,A,Man United,A,Swansea,H,Aston Villa,A,Hull,A,Everton,H,Cardiff,A,Liverpool,D,16005.0,1,1,3,1,2,0,0,0,3,0,0,2,0,0,1,1,3,2,1,0,0,1,1,2,2,4,0,0,0,4,0,1,2,0,0,0,1,2,1,4,0,0,1,2,3,1,1,0,0,0,3,2,3,1,0,0,0,1,2,1,0,0,0,1,2,2,2,3,1,0,H
Swansea,West Ham,Liverpool,D,Crystal Palace,A,Arsenal,A,Southampton,H,Sunderland,H,Southampton,D,Everton,A,Hull,H,Tottenham,A,Man City,A,16005.0,1,2,2,2,3,0,0,0,0,2,2,2,0,0,1,1,2,3,2,0,0,0,2,0,3,1,0,0,1,4,0,1,2,0,0,0,0,0,1,3,0,0,1,2,3,2,1,1,0,0,1,0,1,2,0,0,0,0,3,0,0,0,0,1,1,3,1,2,0,0,D
Tottenham,Hull,Norwich,H,Cardiff,A,Chelsea,D,West Ham,A,Aston Villa,A,Cardiff,D,Newcastle,A,West Ham,H,Aston Villa,D,Everton,H,16005.0,1,2,0,1,3,0,0,0,0,1,1,4,0,0,1,1,1,5,1,0,1,1,0,3,0,0,0,0,0,0,2,3,4,0,0,1,1,1,1,2,0,0,0,2,3,1,1,0,0,1,1,0,1,2,0,0,1,0,0,2,1,0,0,0,2,1,3,1,0,0,H
Stoke,Southampton,Arsenal,H,Norwich,A,Fulham,H,West Brom,D,Man United,H,Liverpool,A,Crystal Palace,H,Swansea,H,Man United,D,Fulham,H,16011.0,0,3,1,0,2,0,0,1,0,1,2,1,0,0,0,1,0,3,2,0,0,1,0,0,1,0,0,0,0,3,2,2,6,0,0,0,0,1,0,1,0,0,1,2,0,1,2,0,0,1,2,0,3,1,0,0,0,1,1,2,3,0,0,1,2,0,0,2,0,0,D
West Ham,Aston Villa,Everton,A,Hull,H,Tottenham,A,Man City,A,Swansea,D,Norwich,A,Man City,H,Hull,D,Tottenham,A,Everton,A,16011.0,1,2,3,2,1,1,0,0,1,0,1,2,0,0,0,0,3,0,0,0,0,1,1,3,1,2,0,0,0,0,0,1,3,0,0,0,0,1,1,0,0,0,1,3,2,1,1,0,0,0,0,0,2,1,0,0,1,0,2,3,4,0,0,1,0,2,0,2,0,0,D
Newcastle,Chelsea,Hull,A,Everton,H,Cardiff,A,Liverpool,D,Sunderland,H,Fulham,H,Tottenham,D,Norwich,A,Cardiff,H,Man City,H,16011.0,1,2,3,1,1,0,0,0,3,2,3,1,0,0,0,1,2,1,0,0,0,1,2,2,2,3,1,0,0,2,1,1,1,0,0,1,2,0,0,0,0,0,0,1,1,5,1,0,1,0,1,3,1,1,0,0,1,4,1,1,2,0,0,1,2,1,2,3,0,0,H
West Brom,Crystal Palace,Sunderland,H,Man United,A,Arsenal,D,Stoke,D,Liverpool,H,Swansea,A,Southampton,H,Liverpool,H,Fulham,A,Arsenal,A,16011.0,1,3,0,0,2,0,0,0,1,2,3,2,0,0,1,1,1,1,2,0,0,0,0,0,1,0,0,0,0,4,1,0,2,0,0,1,0,2,2,2,0,0,0,2,0,1,2,0,0,0,3,1,2,1,0,0,1,1,4,0,1,0,0,1,0,2,0,0,0,1,H
Hull,Sunderland,Newcastle,A,West Ham,H,Aston Villa,D,Everton,H,Tottenham,H,West Brom,H,Liverpool,A,Man United,A,Swansea,H,Newcastle,H,16011.0,0,2,3,1,1,0,0,1,1,0,1,2,0,0,1,0,0,2,1,0,0,0,2,1,3,1,0,0,0,1,0,3,3,0,0,0,3,0,0,2,0,0,1,1,3,2,1,0,0,1,1,2,2,4,0,0,0,4,0,1,2,0,0,1,2,1,1,1,0,0,H
Fulham,Man United,Chelsea,H,Cardiff,A,Stoke,H,Crystal Palace,A,Southampton,H,Man City,H,West Brom,A,Sunderland,A,Southampton,D,Stoke,H,16011.0,0,2,0,0,0,0,0,1,1,2,1,1,0,0,1,1,0,3,2,0,0,0,1,4,0,1,0,0,0,2,0,0,2,0,0,0,4,1,1,2,0,0,1,1,2,3,2,0,0,0,1,2,2,4,0,0,1,1,1,2,3,0,0,1,3,2,2,6,0,0,A
Arsenal,Liverpool,Stoke,H,Swansea,A,West Brom,D,Norwich,H,Crystal Palace,A,Southampton,A,Sunderland,A,Crystal Palace,H,Newcastle,D,West Brom,H,16011.0,1,3,1,0,2,0,0,0,1,2,3,2,0,0,0,1,1,1,2,0,0,1,4,1,0,0,0,0,0,0,2,0,0,0,1,1,0,1,0,1,0,0,0,1,3,2,1,0,0,1,3,1,2,1,0,0,0,2,2,2,3,1,0,1,4,1,0,2,0,0,H
Man City,Norwich,Man United,H,Aston Villa,H,Everton,H,West Ham,A,Chelsea,H,Aston Villa,A,Stoke,A,Chelsea,A,Arsenal,H,Cardiff,D,16011.0,1,4,1,1,2,0,0,0,3,2,1,1,0,0,1,3,1,5,4,0,0,0,1,3,1,2,0,0,0,2,1,2,3,0,0,1,0,1,1,0,0,0,0,0,1,2,1,0,0,1,1,3,1,1,0,0,0,4,1,0,0,0,0,1,0,0,1,1,0,0,H
Cardiff,Swansea,Tottenham,A,Fulham,A,Newcastle,A,Chelsea,H,Norwich,D,Crystal Palace,A,Arsenal,A,Southampton,H,Sunderland,H,West Ham,D,16012.0,1,0,1,1,4,0,0,0,1,2,1,1,0,0,1,1,2,1,0,0,0,0,4,1,1,2,0,0,0,0,0,1,1,0,0,0,0,2,2,2,0,0,1,1,2,3,2,0,0,0,2,0,3,1,0,0,1,4,0,1,2,0,0,1,0,0,1,3,0,0,H
Everton,Tottenham,West Ham,A,Newcastle,H,Man City,H,Hull,H,Aston Villa,A,Cardiff,A,Chelsea,D,West Ham,A,Aston Villa,A,Hull,H,16012.0,0,2,3,2,1,1,0,1,3,2,3,1,0,0,0,3,1,5,4,0,0,1,2,1,3,1,0,0,0,0,2,0,2,0,0,0,0,1,1,4,0,0,1,1,1,5,1,0,1,1,0,3,0,0,0,0,0,0,2,3,4,0,0,1,1,0,3,3,0,0,D
Southampton,Hull,Crystal Palace,H,Swansea,H,Man United,D,Fulham,H,Stoke,D,West Ham,H,Aston Villa,D,Everton,H,Tottenham,H,Sunderland,H,16018.0,1,2,0,1,2,0,0,1,2,0,3,1,0,0,0,1,1,2,3,0,0,1,2,0,0,2,0,0,0,1,1,3,1,0,0,1,1,0,1,2,0,0,1,0,0,2,1,0,0,0,2,1,3,1,0,0,0,1,0,3,3,0,0,1,1,0,2,0,0,2,H
Norwich,West Ham,Stoke,A,Chelsea,A,Arsenal,H,Cardiff,D,Man City,H,Hull,H,Tottenham,A,Man City,A,Swansea,D,Aston Villa,D,16018.0,0,0,1,2,1,0,0,1,1,3,1,1,0,0,0,4,1,0,0,0,0,1,0,0,1,1,0,0,0,7,0,1,1,0,0,0,1,0,1,2,0,0,0,0,3,0,0,0,0,1,1,3,1,2,0,0,0,0,0,1,3,0,0,1,0,0,0,2,0,0,H
Liverpool,Fulham,Sunderland,A,Crystal Palace,H,Newcastle,D,West Brom,H,Arsenal,H,Cardiff,A,Stoke,H,Crystal Palace,A,Southampton,H,Man United,A,16018.0,0,1,3,2,1,0,0,1,3,1,2,1,0,0,0,2,2,2,3,1,0,1,4,1,0,2,0,0,0,2,0,2,1,0,0,1,1,2,1,1,0,0,1,1,0,3,2,0,0,0,1,4,0,1,0,0,0,2,0,0,2,0,0,1,1,3,2,1,0,0,H
Chelsea,West Brom,Tottenham,D,Norwich,A,Cardiff,H,Man City,H,Newcastle,H,Man United,A,Arsenal,D,Stoke,D,Liverpool,H,Crystal Palace,H,16018.0,0,1,1,5,1,0,1,0,1,3,1,1,0,0,1,4,1,1,2,0,0,1,2,1,2,3,0,0,0,2,0,2,2,0,0,0,1,2,3,2,0,0,1,1,1,1,2,0,0,0,0,0,1,0,0,0,0,4,1,0,2,0,0,1,2,0,0,1,0,0,D
Aston Villa,Cardiff,Man City,H,Hull,D,Tottenham,A,Everton,A,West Ham,D,Fulham,A,Newcastle,A,Chelsea,H,Norwich,D,Swansea,H,16018.0,1,3,2,1,1,0,0,0,0,0,2,1,0,0,1,0,2,3,4,0,0,1,0,2,0,2,0,0,0,0,0,0,2,0,0,0,1,2,1,1,0,0,1,1,2,1,0,0,0,0,4,1,1,2,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,H
Crystal Palace,Everton,Southampton,H,Liverpool,H,Fulham,A,Arsenal,A,West Brom,H,Newcastle,H,Man City,H,Hull,H,Aston Villa,A,Tottenham,D,16018.0,0,2,0,1,2,0,0,0,3,1,2,1,0,0,1,1,4,0,1,0,0,1,0,2,0,0,0,1,0,2,0,0,1,0,0,1,3,2,3,1,0,0,0,3,1,5,4,0,0,1,2,1,3,1,0,0,0,0,2,0,2,0,0,1,0,0,4,1,0,0,D
Man United,Arsenal,West Brom,A,Sunderland,A,Southampton,D,Stoke,H,Fulham,A,Swansea,A,West Brom,D,Norwich,H,Crystal Palace,A,Liverpool,H,16019.0,1,1,2,3,2,0,0,0,1,2,2,4,0,0,1,1,1,2,3,0,0,1,3,2,2,6,0,0,0,1,3,2,1,0,0,0,1,2,3,2,0,0,0,1,1,1,2,0,0,1,4,1,0,0,0,0,0,0,2,0,0,0,1,1,2,0,2,1,0,0,H
Sunderland,Man City,Liverpool,A,Man United,A,Swansea,H,Newcastle,H,Hull,H,Aston Villa,H,Everton,H,West Ham,A,Chelsea,H,Norwich,H,16019.0,1,1,3,2,1,0,0,1,1,2,2,4,0,0,0,4,0,1,2,0,0,1,2,1,1,1,0,0,0,1,0,2,0,0,2,0,3,2,1,1,0,0,1,3,1,5,4,0,0,0,1,3,1,2,0,0,0,2,1,2,3,0,0,1,7,0,1,1,0,0,H
