home,away,Referee,time,hw,hd,hl,hscore,hconcede,HY,HR,hw2,hd2,hl2,hscore2,hconcede2,HY2,HR2,aw,ad,al,ascore,aconcede,AH,AR,aw2,ad2,al2,ascore2,aconcede2,AH2,AR2,y
West Ham,Man City,M Oliver,15997.0,1.0,1.0,3.0,5.0,5.0,9.0,1.0,2.0,1.0,2.0,8.0,6.0,7.0,1.0,3.0,1.0,1.0,11.0,5.0,10.0,0.0,1.0,2.0,2.0,6.0,6.0,3.0,0.0,A
Stoke,West Brom,H Webb,15997.0,1.0,1.0,3.0,2.0,5.0,8.0,0.0,2.0,1.0,2.0,4.0,4.0,14.0,1.0,2.0,2.0,1.0,7.0,5.0,8.0,0.0,1.0,2.0,2.0,3.0,7.0,6.0,0.0,D
Newcastle,Liverpool,A Marriner,15997.0,3.0,0.0,2.0,9.0,8.0,8.0,0.0,1.0,1.0,3.0,3.0,10.0,7.0,1.0,3.0,1.0,1.0,9.0,5.0,8.0,0.0,4.0,1.0,0.0,15.0,4.0,10.0,0.0,D
Man United,Southampton,M Jones,15997.0,2.0,0.0,3.0,6.0,8.0,14.0,0.0,2.0,1.0,2.0,5.0,4.0,6.0,1.0,3.0,1.0,1.0,5.0,1.0,6.0,0.0,2.0,1.0,2.0,3.0,3.0,4.0,0.0,D
Arsenal,Norwich,L Probert,15997.0,4.0,1.0,0.0,10.0,4.0,8.0,0.0,3.0,1.0,1.0,10.0,6.0,9.0,1.0,2.0,0.0,3.0,3.0,6.0,6.0,0.0,2.0,0.0,3.0,4.0,6.0,7.0,0.0,H
Aston Villa,Tottenham,P Dowd,15998.0,2.0,1.0,2.0,5.0,5.0,6.0,0.0,2.0,0.0,3.0,11.0,8.0,7.0,1.0,2.0,1.0,2.0,4.0,5.0,12.0,0.0,3.0,1.0,1.0,6.0,4.0,9.0,0.0,A
Man United,Stoke,L Mason,16004.0,2.0,1.0,2.0,7.0,8.0,12.0,0.0,2.0,2.0,1.0,6.0,4.0,6.0,0.0,0.0,2.0,3.0,1.0,5.0,8.0,0.0,1.0,1.0,3.0,3.0,6.0,8.0,0.0,H
Southampton,Fulham,A Marriner,16004.0,3.0,2.0,0.0,6.0,1.0,9.0,0.0,2.0,3.0,0.0,6.0,2.0,7.0,0.0,2.0,1.0,2.0,7.0,6.0,5.0,0.0,3.0,0.0,2.0,8.0,4.0,7.0,0.0,H
Aston Villa,Everton,A Taylor,16004.0,2.0,1.0,2.0,5.0,6.0,6.0,0.0,1.0,0.0,4.0,5.0,9.0,10.0,1.0,4.0,0.0,1.0,10.0,8.0,11.0,0.0,1.0,2.0,2.0,7.0,9.0,8.0,0.0,A
Liverpool,West Brom,J Moss,16004.0,2.0,2.0,1.0,10.0,7.0,9.0,0.0,4.0,0.0,1.0,6.0,2.0,6.0,0.0,2.0,3.0,0.0,7.0,3.0,4.0,0.0,1.0,3.0,1.0,3.0,6.0,5.0,0.0,H
Swansea,West Ham,P Dowd,16005.0,2.0,1.0,2.0,9.0,6.0,9.0,0.0,1.0,1.0,3.0,8.0,11.0,9.0,0.0,1.0,1.0,3.0,6.0,7.0,8.0,1.0,1.0,2.0,2.0,3.0,3.0,8.0,0.0,D
Chelsea,Man City,H Webb,16005.0,3.0,1.0,1.0,10.0,4.0,7.0,1.0,5.0,0.0,0.0,12.0,3.0,4.0,0.0,3.0,1.0,1.0,12.0,6.0,10.0,0.0,2.0,1.0,2.0,9.0,7.0,5.0,0.0,H
Sunderland,Newcastle,L Probert,16005.0,0.0,0.0,5.0,3.0,15.0,9.0,0.0,0.0,1.0,4.0,4.0,10.0,5.0,0.0,2.0,1.0,2.0,10.0,10.0,8.0,1.0,3.0,0.0,2.0,8.0,10.0,11.0,2.0,H
West Ham,Aston Villa,H Webb,16011.0,1.0,1.0,3.0,6.0,7.0,8.0,1.0,2.0,0.0,3.0,9.0,9.0,7.0,1.0,2.0,1.0,2.0,4.0,6.0,5.0,0.0,2.0,2.0,1.0,7.0,5.0,11.0,0.0,D
Arsenal,Liverpool,M Atkinson,16011.0,4.0,1.0,0.0,12.0,4.0,4.0,1.0,4.0,0.0,1.0,13.0,6.0,6.0,1.0,3.0,1.0,1.0,12.0,6.0,6.0,0.0,3.0,2.0,0.0,11.0,6.0,11.0,0.0,H
Fulham,Man United,L Probert,16011.0,2.0,0.0,3.0,6.0,7.0,7.0,0.0,1.0,1.0,3.0,5.0,9.0,6.0,0.0,2.0,1.0,2.0,8.0,10.0,13.0,0.0,2.0,1.0,2.0,12.0,12.0,14.0,0.0,A
Man City,Norwich,P Dowd,16011.0,3.0,0.0,2.0,13.0,8.0,12.0,0.0,4.0,0.0,1.0,15.0,5.0,11.0,0.0,1.0,1.0,3.0,3.0,8.0,4.0,0.0,2.0,0.0,3.0,5.0,9.0,5.0,0.0,H
Newcastle,Chelsea,L Mason,16011.0,1.0,1.0,3.0,9.0,11.0,5.0,1.0,1.0,2.0,2.0,5.0,6.0,6.0,1.0,4.0,1.0,0.0,12.0,4.0,5.0,1.0,2.0,2.0,1.0,6.0,4.0,11.0,2.0,H
Stoke,Southampton,C Foy,16011.0,0.0,1.0,4.0,3.0,8.0,13.0,0.0,1.0,2.0,2.0,3.0,4.0,11.0,1.0,4.0,1.0,0.0,8.0,1.0,8.0,0.0,2.0,2.0,1.0,4.0,3.0,6.0,0.0,D
Everton,Tottenham,K Friend,16012.0,4.0,0.0,1.0,11.0,8.0,13.0,0.0,4.0,1.0,0.0,8.0,3.0,8.0,0.0,3.0,1.0,1.0,5.0,4.0,16.0,0.0,4.0,0.0,1.0,6.0,2.0,11.0,0.0,D
Aston Villa,Cardiff,M Atkinson,16018.0,1.0,2.0,2.0,3.0,6.0,7.0,0.0,1.0,0.0,4.0,4.0,9.0,8.0,0.0,2.0,1.0,2.0,5.0,7.0,6.0,0.0,1.0,2.0,2.0,4.0,8.0,7.0,0.0,H
Chelsea,West Brom,L Probert,16018.0,3.0,1.0,1.0,10.0,6.0,7.0,1.0,5.0,0.0,0.0,12.0,3.0,4.0,0.0,2.0,2.0,1.0,6.0,6.0,5.0,0.0,1.0,3.0,1.0,4.0,6.0,6.0,0.0,D
Crystal Palace,Everton,C Pawson,16018.0,0.0,0.0,5.0,2.0,13.0,4.0,0.0,1.0,0.0,4.0,4.0,10.0,4.0,0.0,3.0,1.0,1.0,8.0,6.0,16.0,0.0,2.0,2.0,1.0,8.0,7.0,8.0,0.0,D
Liverpool,Fulham,M Jones,16018.0,3.0,1.0,1.0,12.0,7.0,7.0,0.0,4.0,0.0,1.0,9.0,3.0,5.0,0.0,2.0,0.0,3.0,7.0,8.0,9.0,0.0,2.0,0.0,3.0,5.0,6.0,8.0,0.0,H
Norwich,West Ham,J Moss,16018.0,1.0,1.0,3.0,3.0,14.0,4.0,0.0,1.0,2.0,2.0,4.0,6.0,5.0,0.0,1.0,2.0,2.0,4.0,4.0,6.0,0.0,1.0,3.0,1.0,3.0,1.0,9.0,0.0,H
Southampton,Hull,H Webb,16018.0,3.0,2.0,0.0,8.0,2.0,8.0,0.0,3.0,2.0,0.0,7.0,1.0,7.0,0.0,2.0,1.0,2.0,3.0,3.0,9.0,0.0,1.0,0.0,4.0,4.0,9.0,9.0,0.0,H
Swansea,Stoke,R Madley,16019.0,1.0,1.0,3.0,5.0,5.0,7.0,1.0,1.0,2.0,2.0,8.0,8.0,8.0,0.0,0.0,2.0,3.0,3.0,6.0,14.0,0.0,1.0,0.0,4.0,4.0,8.0,12.0,0.0,D
Tottenham,Newcastle,C Foy,16019.0,2.0,2.0,1.0,4.0,4.0,13.0,0.0,3.0,1.0,1.0,5.0,4.0,10.0,0.0,2.0,1.0,2.0,9.0,8.0,6.0,1.0,2.0,0.0,3.0,7.0,11.0,9.0,1.0,A
Sunderland,Man City,M Dean,16019.0,1.0,0.0,4.0,4.0,11.0,7.0,2.0,1.0,0.0,4.0,5.0,10.0,6.0,0.0,3.0,0.0,2.0,16.0,7.0,12.0,0.0,1.0,1.0,3.0,8.0,9.0,7.0,0.0,H
Man United,Arsenal,M Oliver,16019.0,3.0,1.0,1.0,10.0,7.0,12.0,0.0,2.0,2.0,1.0,7.0,5.0,8.0,0.0,4.0,1.0,0.0,11.0,3.0,6.0,1.0,4.0,1.0,0.0,11.0,4.0,8.0,1.0,H
Arsenal,Southampton,M Clattenburg,16032.0,3.0,1.0,1.0,9.0,3.0,7.0,1.0,4.0,0.0,1.0,11.0,5.0,8.0,1.0,3.0,2.0,0.0,10.0,3.0,8.0,0.0,2.0,2.0,1.0,4.0,3.0,5.0,0.0,H
Everton,Liverpool,P Dowd,16032.0,2.0,2.0,1.0,5.0,4.0,13.0,0.0,3.0,2.0,0.0,6.0,3.0,11.0,0.0,3.0,1.0,1.0,13.0,6.0,6.0,0.0,2.0,2.0,1.0,8.0,7.0,11.0,0.0,D
Fulham,Swansea,A Marriner,16032.0,2.0,0.0,3.0,6.0,10.0,9.0,0.0,1.0,1.0,3.0,5.0,9.0,8.0,0.0,1.0,2.0,2.0,7.0,6.0,9.0,1.0,2.0,0.0,3.0,4.0,4.0,11.0,1.0,A
Hull,Crystal Palace,A Taylor,16032.0,1.0,1.0,3.0,3.0,7.0,10.0,0.0,3.0,2.0,0.0,4.0,1.0,7.0,1.0,0.0,1.0,4.0,2.0,11.0,3.0,0.0,0.0,0.0,5.0,2.0,11.0,6.0,1.0,A
Newcastle,Norwich,M Dean,16032.0,3.0,1.0,1.0,8.0,5.0,7.0,1.0,2.0,2.0,1.0,7.0,5.0,7.0,1.0,1.0,1.0,3.0,5.0,15.0,4.0,0.0,1.0,0.0,4.0,2.0,14.0,6.0,0.0,H
Stoke,Sunderland,K Friend,16032.0,0.0,3.0,2.0,6.0,8.0,15.0,0.0,1.0,3.0,1.0,3.0,3.0,10.0,0.0,2.0,0.0,3.0,4.0,8.0,5.0,2.0,0.0,1.0,4.0,2.0,12.0,6.0,3.0,H
West Ham,Chelsea,C Foy,16032.0,1.0,2.0,2.0,5.0,6.0,5.0,0.0,1.0,1.0,3.0,5.0,7.0,5.0,1.0,3.0,1.0,1.0,11.0,7.0,9.0,0.0,1.0,2.0,2.0,4.0,5.0,10.0,1.0,A
Cardiff,Man United,N Swarbrick,16033.0,1.0,1.0,3.0,3.0,8.0,6.0,0.0,2.0,1.0,2.0,5.0,5.0,4.0,0.0,4.0,1.0,0.0,10.0,5.0,11.0,0.0,3.0,0.0,2.0,10.0,8.0,14.0,0.0,D
Man City,Tottenham,M Atkinson,16033.0,3.0,0.0,2.0,14.0,5.0,12.0,0.0,5.0,0.0,0.0,20.0,2.0,11.0,0.0,2.0,1.0,2.0,3.0,4.0,9.0,0.0,3.0,1.0,1.0,4.0,1.0,11.0,0.0,H
West Brom,Aston Villa,M Oliver,16034.0,1.0,3.0,1.0,6.0,7.0,10.0,0.0,2.0,1.0,2.0,6.0,4.0,9.0,0.0,1.0,2.0,2.0,2.0,4.0,7.0,0.0,2.0,2.0,1.0,5.0,3.0,12.0,0.0,D
Aston Villa,Sunderland,N Swarbrick,16039.0,1.0,2.0,2.0,4.0,6.0,8.0,0.0,2.0,0.0,3.0,6.0,8.0,6.0,0.0,2.0,0.0,3.0,3.0,8.0,4.0,3.0,0.0,0.0,5.0,1.0,13.0,5.0,4.0,D
Cardiff,Arsenal,L Mason,16039.0,1.0,2.0,2.0,4.0,8.0,9.0,0.0,1.0,2.0,2.0,4.0,5.0,8.0,0.0,4.0,0.0,1.0,10.0,2.0,5.0,1.0,3.0,1.0,1.0,8.0,4.0,9.0,1.0,A
Everton,Stoke,M Jones,16039.0,2.0,3.0,0.0,7.0,4.0,13.0,0.0,3.0,2.0,0.0,9.0,6.0,14.0,0.0,1.0,3.0,1.0,8.0,7.0,15.0,0.0,1.0,1.0,3.0,7.0,10.0,14.0,0.0,H
Newcastle,West Brom,P Dowd,16039.0,3.0,1.0,1.0,8.0,5.0,7.0,1.0,3.0,1.0,1.0,9.0,6.0,7.0,1.0,1.0,3.0,1.0,7.0,8.0,10.0,0.0,1.0,3.0,1.0,6.0,8.0,12.0,0.0,H
Norwich,Crystal Palace,C Foy,16039.0,1.0,1.0,3.0,5.0,14.0,4.0,0.0,2.0,1.0,2.0,5.0,5.0,4.0,0.0,1.0,1.0,3.0,2.0,8.0,3.0,1.0,1.0,0.0,4.0,2.0,9.0,7.0,2.0,H
West Ham,Fulham,M Atkinson,16039.0,0.0,2.0,3.0,2.0,9.0,5.0,0.0,0.0,1.0,4.0,3.0,10.0,5.0,1.0,1.0,0.0,4.0,6.0,12.0,9.0,0.0,1.0,0.0,4.0,4.0,10.0,6.0,0.0,H
Chelsea,Southampton,M Oliver,16040.0,3.0,1.0,1.0,11.0,6.0,8.0,0.0,4.0,1.0,0.0,12.0,5.0,7.0,0.0,2.0,2.0,1.0,8.0,5.0,8.0,0.0,1.0,2.0,2.0,3.0,5.0,8.0,0.0,H
Hull,Liverpool,H Webb,16040.0,1.0,0.0,4.0,3.0,8.0,10.0,0.0,2.0,2.0,1.0,3.0,2.0,8.0,0.0,2.0,2.0,1.0,13.0,8.0,7.0,0.0,1.0,3.0,1.0,10.0,10.0,11.0,0.0,H
Man City,Swansea,M Clattenburg,16040.0,3.0,0.0,2.0,17.0,4.0,8.0,0.0,5.0,0.0,0.0,22.0,2.0,10.0,0.0,2.0,2.0,1.0,9.0,5.0,9.0,1.0,3.0,0.0,2.0,6.0,4.0,8.0,1.0,H
Tottenham,Man United,M Dean,16040.0,2.0,1.0,2.0,3.0,7.0,12.0,0.0,2.0,1.0,2.0,4.0,5.0,10.0,0.0,3.0,2.0,0.0,10.0,6.0,9.0,0.0,2.0,1.0,2.0,8.0,9.0,13.0,0.0,D
Crystal Palace,West Ham,L Mason,16042.0,1.0,1.0,3.0,1.0,5.0,5.0,1.0,1.0,1.0,3.0,4.0,9.0,4.0,0.0,1.0,2.0,2.0,4.0,6.0,7.0,0.0,1.0,2.0,2.0,4.0,4.0,9.0,0.0,H
Arsenal,Hull,A Marriner,16043.0,4.0,0.0,1.0,9.0,1.0,8.0,1.0,5.0,0.0,0.0,12.0,2.0,4.0,0.0,2.0,0.0,3.0,5.0,7.0,11.0,0.0,1.0,0.0,4.0,5.0,11.0,10.0,0.0,H
Fulham,Tottenham,M Clattenburg,16043.0,0.0,0.0,5.0,2.0,14.0,10.0,0.0,1.0,1.0,3.0,5.0,8.0,9.0,0.0,1.0,2.0,2.0,3.0,9.0,9.0,0.0,2.0,1.0,2.0,3.0,7.0,14.0,0.0,A
Liverpool,Norwich,A Taylor,16043.0,2.0,1.0,2.0,12.0,9.0,4.0,0.0,4.0,0.0,1.0,12.0,3.0,4.0,0.0,2.0,1.0,2.0,5.0,10.0,5.0,0.0,1.0,0.0,4.0,3.0,15.0,6.0,0.0,H
Man United,Everton,M Atkinson,16043.0,3.0,2.0,0.0,11.0,7.0,10.0,0.0,3.0,1.0,1.0,8.0,5.0,10.0,0.0,2.0,3.0,0.0,9.0,3.0,10.0,0.0,2.0,2.0,1.0,6.0,5.0,8.0,0.0,A
Southampton,Aston Villa,J Moss,16043.0,2.0,1.0,2.0,8.0,7.0,9.0,0.0,4.0,1.0,0.0,10.0,1.0,6.0,0.0,1.0,3.0,1.0,4.0,4.0,7.0,0.0,1.0,3.0,1.0,4.0,4.0,9.0,0.0,A
Stoke,Cardiff,M Oliver,16043.0,1.0,2.0,2.0,8.0,11.0,17.0,0.0,1.0,3.0,1.0,3.0,2.0,9.0,0.0,1.0,2.0,2.0,3.0,7.0,7.0,0.0,1.0,2.0,2.0,4.0,8.0,7.0,0.0,D
Sunderland,Chelsea,P Dowd,16043.0,2.0,1.0,2.0,3.0,4.0,3.0,3.0,2.0,0.0,3.0,6.0,9.0,6.0,0.0,3.0,1.0,1.0,10.0,6.0,8.0,0.0,2.0,1.0,2.0,7.0,5.0,8.0,1.0,A
Swansea,Newcastle,H Webb,16043.0,1.0,2.0,2.0,5.0,8.0,8.0,1.0,1.0,3.0,1.0,10.0,7.0,12.0,0.0,4.0,0.0,1.0,8.0,4.0,6.0,0.0,3.0,0.0,2.0,8.0,7.0,8.0,0.0,H
West Brom,Man City,C Foy,16043.0,1.0,2.0,2.0,8.0,10.0,12.0,0.0,2.0,2.0,1.0,8.0,5.0,6.0,0.0,3.0,0.0,2.0,17.0,3.0,7.0,0.0,1.0,1.0,3.0,6.0,7.0,8.0,0.0,A
West Brom,Norwich,M Clattenburg,16046.0,1.0,2.0,2.0,9.0,9.0,11.0,0.0,2.0,2.0,1.0,10.0,6.0,3.0,0.0,2.0,0.0,3.0,6.0,15.0,5.0,0.0,1.0,0.0,4.0,4.0,18.0,4.0,0.0,A
Sunderland,Tottenham,L Mason,16046.0,1.0,1.0,3.0,4.0,7.0,6.0,3.0,2.0,0.0,3.0,8.0,10.0,9.0,0.0,1.0,2.0,2.0,4.0,10.0,7.0,0.0,3.0,1.0,1.0,5.0,7.0,13.0,0.0,A
Stoke,Chelsea,J Moss,16046.0,1.0,3.0,1.0,6.0,8.0,13.0,0.0,1.0,3.0,1.0,3.0,2.0,10.0,0.0,3.0,1.0,1.0,12.0,8.0,9.0,0.0,3.0,1.0,1.0,11.0,7.0,7.0,1.0,H
Crystal Palace,Cardiff,M Jones,16046.0,2.0,1.0,2.0,2.0,3.0,6.0,1.0,1.0,1.0,3.0,2.0,8.0,4.0,0.0,1.0,2.0,2.0,3.0,7.0,8.0,0.0,1.0,2.0,2.0,3.0,7.0,7.0,0.0,H
Man United,Newcastle,A Marriner,16046.0,2.0,2.0,1.0,8.0,6.0,10.0,0.0,2.0,1.0,2.0,6.0,6.0,11.0,0.0,4.0,0.0,1.0,7.0,5.0,7.0,0.0,2.0,0.0,3.0,6.0,9.0,6.0,0.0,A
Liverpool,West Ham,M Oliver,16046.0,2.0,1.0,2.0,13.0,9.0,7.0,0.0,4.0,0.0,1.0,16.0,4.0,5.0,0.0,1.0,1.0,3.0,4.0,7.0,6.0,0.0,1.0,1.0,3.0,4.0,5.0,8.0,0.0,H
Southampton,Man City,A Taylor,16046.0,1.0,1.0,3.0,8.0,10.0,12.0,0.0,4.0,0.0,1.0,12.0,4.0,8.0,0.0,4.0,0.0,1.0,19.0,3.0,5.0,0.0,2.0,0.0,3.0,9.0,9.0,8.0,0.0,D
Fulham,Aston Villa,M Dean,16047.0,0.0,0.0,5.0,3.0,14.0,10.0,0.0,1.0,0.0,4.0,5.0,9.0,11.0,0.0,2.0,3.0,0.0,7.0,4.0,9.0,0.0,2.0,3.0,0.0,6.0,4.0,7.0,0.0,H
Arsenal,Everton,H Webb,16047.0,4.0,0.0,1.0,9.0,1.0,8.0,0.0,5.0,0.0,0.0,13.0,2.0,2.0,0.0,2.0,3.0,0.0,8.0,3.0,8.0,0.0,3.0,1.0,1.0,7.0,5.0,7.0,0.0,D
Swansea,Hull,M Atkinson,16048.0,2.0,1.0,2.0,8.0,8.0,7.0,1.0,2.0,2.0,1.0,11.0,5.0,10.0,0.0,2.0,0.0,3.0,5.0,8.0,8.0,0.0,1.0,0.0,4.0,5.0,11.0,7.0,0.0,D
Man City,Arsenal,M Atkinson,16053.0,3.0,1.0,1.0,13.0,4.0,6.0,0.0,5.0,0.0,0.0,23.0,2.0,9.0,0.0,3.0,1.0,1.0,8.0,2.0,6.0,0.0,3.0,1.0,1.0,8.0,3.0,10.0,1.0,H
Newcastle,Southampton,M Jones,16053.0,4.0,0.0,1.0,6.0,5.0,7.0,0.0,3.0,1.0,1.0,10.0,7.0,6.0,1.0,1.0,1.0,3.0,8.0,10.0,11.0,0.0,1.0,2.0,2.0,4.0,7.0,12.0,0.0,D
Hull,Stoke,M Dean,16053.0,1.0,1.0,3.0,5.0,9.0,9.0,0.0,3.0,1.0,1.0,5.0,2.0,9.0,0.0,2.0,2.0,1.0,8.0,9.0,14.0,0.0,0.0,1.0,4.0,6.0,14.0,16.0,0.0,D
West Ham,Sunderland,A Marriner,16053.0,1.0,0.0,4.0,5.0,11.0,9.0,1.0,1.0,1.0,3.0,6.0,9.0,6.0,1.0,1.0,1.0,3.0,5.0,8.0,8.0,1.0,0.0,1.0,4.0,0.0,10.0,6.0,3.0,D
Chelsea,Crystal Palace,M Clattenburg,16053.0,3.0,1.0,1.0,14.0,9.0,8.0,0.0,4.0,1.0,0.0,13.0,5.0,7.0,0.0,3.0,1.0,1.0,4.0,1.0,5.0,1.0,1.0,0.0,4.0,2.0,8.0,7.0,1.0,H
Everton,Fulham,A Taylor,16053.0,2.0,3.0,0.0,9.0,4.0,8.0,0.0,3.0,2.0,0.0,12.0,6.0,14.0,0.0,1.0,0.0,4.0,4.0,11.0,8.0,0.0,1.0,0.0,4.0,4.0,12.0,6.0,0.0,H
Cardiff,West Brom,H Webb,16053.0,0.0,2.0,3.0,2.0,9.0,7.0,0.0,1.0,1.0,3.0,4.0,8.0,7.0,0.0,0.0,2.0,3.0,7.0,11.0,12.0,0.0,1.0,2.0,2.0,6.0,9.0,13.0,0.0,H
Aston Villa,Man United,C Foy,16054.0,2.0,2.0,1.0,7.0,6.0,9.0,0.0,2.0,1.0,2.0,5.0,6.0,7.0,0.0,1.0,2.0,2.0,5.0,6.0,9.0,0.0,2.0,2.0,1.0,10.0,10.0,12.0,0.0,A
Norwich,Swansea,M Oliver,16054.0,3.0,0.0,2.0,8.0,8.0,7.0,0.0,2.0,1.0,2.0,5.0,5.0,5.0,0.0,2.0,2.0,1.0,9.0,8.0,9.0,0.0,2.0,0.0,3.0,4.0,7.0,5.0,1.0,D
Tottenham,Liverpool,J Moss,16054.0,2.0,1.0,2.0,6.0,11.0,6.0,0.0,1.0,2.0,2.0,4.0,7.0,10.0,0.0,3.0,1.0,1.0,17.0,8.0,6.0,0.0,1.0,2.0,2.0,9.0,11.0,8.0,0.0,A
West Brom,Hull,J Moss,16060.0,0.0,1.0,4.0,5.0,10.0,6.0,0.0,1.0,2.0,2.0,7.0,8.0,4.0,0.0,1.0,2.0,2.0,4.0,5.0,8.0,0.0,0.0,1.0,4.0,3.0,10.0,9.0,0.0,D
Stoke,Aston Villa,C Pawson,16060.0,2.0,2.0,1.0,5.0,6.0,11.0,0.0,2.0,3.0,0.0,6.0,3.0,12.0,0.0,1.0,2.0,2.0,5.0,9.0,12.0,0.0,1.0,3.0,1.0,5.0,6.0,9.0,0.0,H
Man United,West Ham,M Jones,16060.0,1.0,2.0,2.0,7.0,6.0,9.0,0.0,2.0,1.0,2.0,5.0,5.0,8.0,0.0,1.0,1.0,3.0,4.0,8.0,9.0,1.0,1.0,1.0,3.0,5.0,8.0,9.0,1.0,H
Sunderland,Norwich,M Atkinson,16060.0,0.0,2.0,3.0,4.0,8.0,8.0,1.0,2.0,0.0,3.0,8.0,9.0,9.0,0.0,2.0,1.0,2.0,6.0,8.0,6.0,0.0,1.0,0.0,4.0,5.0,18.0,6.0,0.0,D
Fulham,Man City,K Friend,16060.0,1.0,0.0,4.0,5.0,11.0,9.0,0.0,2.0,0.0,3.0,6.0,7.0,10.0,0.0,4.0,1.0,0.0,19.0,6.0,7.0,0.0,2.0,1.0,2.0,8.0,7.0,9.0,0.0,A
Crystal Palace,Newcastle,N Swarbrick,16060.0,3.0,0.0,2.0,5.0,3.0,5.0,1.0,2.0,1.0,2.0,4.0,6.0,2.0,0.0,3.0,1.0,1.0,6.0,6.0,6.0,0.0,3.0,0.0,2.0,5.0,6.0,7.0,0.0,A
Liverpool,Cardiff,L Probert,16060.0,3.0,1.0,1.0,18.0,8.0,6.0,0.0,5.0,0.0,0.0,20.0,4.0,5.0,0.0,1.0,2.0,2.0,3.0,7.0,8.0,0.0,0.0,2.0,3.0,1.0,8.0,6.0,0.0,H
Southampton,Tottenham,C Foy,16061.0,0.0,2.0,3.0,5.0,10.0,12.0,0.0,3.0,1.0,1.0,11.0,5.0,7.0,0.0,2.0,1.0,2.0,6.0,15.0,8.0,1.0,3.0,1.0,1.0,6.0,8.0,9.0,0.0,A
Swansea,Everton,L Mason,16061.0,2.0,2.0,1.0,7.0,6.0,7.0,0.0,2.0,3.0,0.0,11.0,4.0,10.0,0.0,3.0,2.0,0.0,13.0,5.0,9.0,0.0,2.0,2.0,1.0,5.0,4.0,10.0,0.0,A
Arsenal,Chelsea,M Dean,16062.0,3.0,1.0,1.0,11.0,7.0,4.0,0.0,4.0,1.0,0.0,11.0,2.0,2.0,0.0,4.0,0.0,1.0,14.0,8.0,7.0,0.0,3.0,0.0,2.0,12.0,9.0,7.0,0.0,D
Newcastle,Stoke,M Atkinson,16065.0,3.0,1.0,1.0,7.0,5.0,8.0,0.0,3.0,2.0,0.0,9.0,5.0,6.0,1.0,2.0,2.0,1.0,5.0,7.0,10.0,0.0,0.0,2.0,3.0,5.0,11.0,14.0,0.0,H
West Ham,Arsenal,P Dowd,16065.0,1.0,1.0,3.0,5.0,8.0,13.0,1.0,1.0,2.0,2.0,4.0,6.0,5.0,0.0,2.0,2.0,1.0,9.0,7.0,6.0,0.0,2.0,1.0,2.0,9.0,8.0,9.0,1.0,A
Tottenham,West Brom,A Taylor,16065.0,3.0,1.0,1.0,9.0,11.0,6.0,1.0,1.0,1.0,3.0,3.0,11.0,8.0,1.0,0.0,1.0,4.0,4.0,9.0,7.0,0.0,0.0,2.0,3.0,4.0,9.0,12.0,0.0,D
Norwich,Fulham,J Moss,16065.0,2.0,2.0,1.0,5.0,6.0,6.0,0.0,2.0,2.0,1.0,6.0,5.0,4.0,0.0,1.0,0.0,4.0,6.0,13.0,7.0,0.0,1.0,0.0,4.0,5.0,14.0,8.0,0.0,A
Man City,Liverpool,L Mason,16065.0,4.0,1.0,0.0,17.0,8.0,7.0,0.0,5.0,0.0,0.0,25.0,4.0,10.0,0.0,4.0,0.0,1.0,18.0,6.0,5.0,0.0,1.0,2.0,2.0,11.0,10.0,7.0,0.0,H
Hull,Man United,M Oliver,16065.0,1.0,3.0,1.0,5.0,5.0,7.0,0.0,2.0,2.0,1.0,4.0,2.0,9.0,0.0,2.0,1.0,2.0,8.0,5.0,8.0,0.0,3.0,2.0,0.0,12.0,6.0,12.0,0.0,A
Chelsea,Swansea,M Jones,16065.0,3.0,1.0,1.0,11.0,8.0,8.0,0.0,4.0,1.0,0.0,13.0,6.0,9.0,0.0,1.0,2.0,2.0,6.0,7.0,7.0,0.0,1.0,1.0,3.0,3.0,8.0,6.0,1.0,H
Cardiff,Southampton,A Marriner,16065.0,1.0,1.0,3.0,2.0,8.0,4.0,0.0,2.0,1.0,2.0,5.0,7.0,8.0,0.0,0.0,2.0,3.0,7.0,11.0,10.0,0.0,0.0,3.0,2.0,4.0,8.0,13.0,0.0,A
Aston Villa,Crystal Palace,H Webb,16065.0,1.0,1.0,3.0,4.0,9.0,15.0,0.0,1.0,1.0,3.0,2.0,7.0,10.0,0.0,2.0,0.0,3.0,4.0,6.0,5.0,0.0,1.0,0.0,4.0,3.0,8.0,6.0,1.0,A
Everton,Sunderland,L Probert,16065.0,4.0,1.0,0.0,12.0,3.0,5.0,0.0,3.0,2.0,0.0,13.0,5.0,12.0,0.0,0.0,3.0,2.0,4.0,6.0,9.0,1.0,0.0,2.0,3.0,0.0,7.0,4.0,3.0,A
Aston Villa,Swansea,R East,16067.0,1.0,0.0,4.0,4.0,10.0,15.0,0.0,1.0,1.0,3.0,2.0,6.0,9.0,0.0,1.0,2.0,2.0,6.0,5.0,7.0,0.0,1.0,1.0,3.0,3.0,7.0,5.0,1.0,D
Cardiff,Sunderland,C Foy,16067.0,1.0,1.0,3.0,2.0,8.0,5.0,0.0,2.0,1.0,2.0,4.0,8.0,8.0,0.0,1.0,2.0,2.0,5.0,6.0,8.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,3.0,D
