home,away,Referee,time,hw,hd,hl,hscore,hconcede,HY,HR,hw2,hd2,hl2,hscore2,hconcede2,HY2,HR2,aw,ad,al,ascore,aconcede,AH,AR,aw2,ad2,al2,ascore2,aconcede2,AH2,AR2,y
Wigan,Man City,M Halsey,15672.0,3.0,0.0,2.0,7.0,8.0,10.0,0.0,2.0,1.0,2.0,9.0,9.0,8.0,0.0,3.0,2.0,0.0,8.0,1.0,5.0,0.0,2.0,3.0,0.0,5.0,3.0,8.0,1.0,A
Tottenham,Liverpool,P Dowd,15672.0,2.0,0.0,3.0,8.0,10.0,9.0,1.0,3.0,0.0,2.0,9.0,7.0,6.0,0.0,1.0,4.0,0.0,7.0,4.0,6.0,0.0,1.0,4.0,0.0,9.0,6.0,8.0,0.0,H
Stoke,Newcastle,H Webb,15672.0,2.0,2.0,1.0,3.0,2.0,10.0,0.0,3.0,2.0,0.0,5.0,1.0,6.0,0.0,1.0,1.0,3.0,4.0,7.0,8.0,1.0,0.0,4.0,1.0,6.0,8.0,13.0,2.0,H
Chelsea,Fulham,A Taylor,15672.0,0.0,3.0,2.0,5.0,7.0,4.0,2.0,2.0,2.0,1.0,8.0,5.0,5.0,2.0,0.0,3.0,2.0,9.0,12.0,8.0,1.0,1.0,3.0,1.0,10.0,10.0,7.0,0.0,D
Man United,West Ham,M Jones,15672.0,4.0,0.0,1.0,11.0,7.0,10.0,0.0,4.0,0.0,1.0,15.0,7.0,9.0,0.0,1.0,2.0,2.0,4.0,6.0,12.0,0.0,2.0,1.0,2.0,5.0,6.0,17.0,0.0,H
Southampton,Norwich,M Clattenburg,15672.0,2.0,1.0,2.0,7.0,6.0,4.0,0.0,2.0,2.0,1.0,10.0,6.0,9.0,0.0,2.0,3.0,0.0,4.0,2.0,5.0,0.0,0.0,3.0,2.0,3.0,7.0,5.0,0.0,D
Everton,Arsenal,M Oliver,15672.0,1.0,3.0,1.0,8.0,8.0,8.0,0.0,2.0,3.0,0.0,10.0,7.0,8.0,0.0,2.0,2.0,1.0,10.0,7.0,6.0,1.0,1.0,2.0,2.0,5.0,5.0,5.0,1.0,D
West Ham,Chelsea,M Atkinson,15675.0,1.0,2.0,2.0,3.0,5.0,9.0,0.0,1.0,3.0,1.0,7.0,6.0,9.0,0.0,0.0,4.0,1.0,3.0,4.0,5.0,0.0,2.0,2.0,1.0,8.0,6.0,8.0,0.0,H
Reading,Man United,M Halsey,15675.0,1.0,2.0,2.0,5.0,6.0,5.0,0.0,1.0,3.0,1.0,8.0,9.0,4.0,0.0,4.0,0.0,1.0,9.0,5.0,9.0,0.0,4.0,0.0,1.0,11.0,6.0,10.0,0.0,A
QPR,Aston Villa,H Webb,15675.0,0.0,2.0,3.0,3.0,8.0,8.0,0.0,0.0,3.0,2.0,4.0,7.0,4.0,1.0,2.0,1.0,2.0,4.0,8.0,7.0,0.0,1.0,0.0,4.0,2.0,12.0,12.0,0.0,D
West Brom,Stoke,K Friend,15675.0,4.0,0.0,1.0,11.0,7.0,12.0,0.0,4.0,0.0,1.0,9.0,5.0,8.0,0.0,3.0,1.0,1.0,5.0,3.0,10.0,0.0,0.0,2.0,3.0,3.0,7.0,13.0,0.0,A
Liverpool,Southampton,M Oliver,15675.0,1.0,3.0,1.0,6.0,4.0,5.0,0.0,2.0,2.0,1.0,6.0,3.0,2.0,1.0,2.0,2.0,1.0,7.0,5.0,5.0,0.0,1.0,0.0,4.0,6.0,16.0,2.0,0.0,H
Fulham,Tottenham,C Foy,15675.0,0.0,3.0,2.0,6.0,9.0,7.0,1.0,2.0,1.0,2.0,8.0,7.0,5.0,1.0,2.0,0.0,3.0,8.0,10.0,7.0,1.0,3.0,0.0,2.0,11.0,11.0,8.0,1.0,A
Arsenal,Swansea,M Clattenburg,15675.0,1.0,3.0,1.0,10.0,8.0,6.0,1.0,3.0,1.0,1.0,16.0,8.0,5.0,0.0,2.0,3.0,0.0,7.0,4.0,10.0,0.0,1.0,1.0,3.0,3.0,7.0,9.0,0.0,A
Man City,Everton,L Probert,15675.0,3.0,2.0,0.0,9.0,1.0,5.0,0.0,4.0,1.0,0.0,12.0,2.0,3.0,0.0,1.0,3.0,1.0,7.0,7.0,6.0,0.0,1.0,3.0,1.0,9.0,7.0,10.0,1.0,D
Norwich,Sunderland,P Dowd,15676.0,2.0,3.0,0.0,4.0,2.0,6.0,0.0,3.0,1.0,1.0,5.0,5.0,6.0,0.0,1.0,1.0,3.0,6.0,8.0,11.0,0.0,1.0,2.0,2.0,5.0,7.0,12.0,0.0,H
Newcastle,Wigan,M Jones,15677.0,0.0,1.0,4.0,3.0,8.0,7.0,1.0,2.0,0.0,3.0,4.0,7.0,10.0,0.0,2.0,0.0,3.0,5.0,9.0,8.0,0.0,1.0,0.0,4.0,2.0,10.0,14.0,1.0,H
Wigan,QPR,P Dowd,15682.0,1.0,0.0,4.0,4.0,12.0,10.0,1.0,2.0,1.0,2.0,8.0,9.0,9.0,0.0,0.0,2.0,3.0,3.0,8.0,9.0,0.0,0.0,1.0,4.0,3.0,8.0,11.0,1.0,D
Arsenal,West Brom,M Jones,15682.0,1.0,3.0,1.0,9.0,8.0,4.0,0.0,2.0,1.0,2.0,10.0,9.0,6.0,0.0,3.0,0.0,2.0,9.0,8.0,11.0,0.0,2.0,1.0,2.0,9.0,9.0,14.0,0.0,H
Aston Villa,Stoke,R East,15682.0,1.0,2.0,2.0,4.0,9.0,6.0,0.0,1.0,3.0,1.0,5.0,5.0,6.0,1.0,4.0,1.0,0.0,6.0,2.0,8.0,0.0,1.0,2.0,2.0,4.0,6.0,15.0,0.0,D
Southampton,Reading,J Moss,15682.0,2.0,2.0,1.0,7.0,4.0,5.0,0.0,1.0,3.0,1.0,7.0,6.0,9.0,0.0,1.0,1.0,3.0,7.0,9.0,4.0,0.0,0.0,2.0,3.0,5.0,8.0,6.0,0.0,H
Sunderland,Chelsea,M Halsey,15682.0,1.0,1.0,3.0,7.0,9.0,11.0,0.0,1.0,2.0,2.0,4.0,6.0,7.0,0.0,0.0,3.0,2.0,3.0,6.0,6.0,0.0,2.0,1.0,2.0,9.0,9.0,8.0,0.0,A
Swansea,Norwich,H Webb,15682.0,3.0,2.0,0.0,8.0,3.0,6.0,0.0,2.0,3.0,0.0,8.0,5.0,8.0,0.0,2.0,3.0,0.0,5.0,3.0,5.0,0.0,0.0,4.0,1.0,4.0,7.0,5.0,0.0,A
West Ham,Liverpool,L Probert,15683.0,2.0,1.0,2.0,6.0,6.0,7.0,0.0,2.0,2.0,1.0,9.0,6.0,8.0,0.0,2.0,2.0,1.0,6.0,3.0,7.0,0.0,1.0,3.0,1.0,9.0,7.0,8.0,0.0,A
Man City,Man United,M Atkinson,15683.0,3.0,2.0,0.0,10.0,2.0,7.0,0.0,4.0,1.0,0.0,12.0,2.0,4.0,0.0,4.0,0.0,1.0,11.0,7.0,5.0,0.0,4.0,0.0,1.0,13.0,8.0,9.0,0.0,A
Everton,Tottenham,K Friend,15683.0,1.0,3.0,1.0,6.0,6.0,6.0,0.0,2.0,3.0,0.0,9.0,6.0,7.0,0.0,3.0,0.0,2.0,11.0,9.0,8.0,1.0,3.0,0.0,2.0,11.0,10.0,9.0,1.0,H
Fulham,Newcastle,L Mason,15684.0,0.0,2.0,3.0,4.0,10.0,4.0,1.0,1.0,1.0,3.0,5.0,10.0,5.0,1.0,1.0,0.0,4.0,5.0,7.0,7.0,0.0,0.0,3.0,2.0,5.0,8.0,12.0,2.0,H
Sunderland,Reading,N Swarbrick,15685.0,1.0,1.0,3.0,7.0,10.0,9.0,0.0,0.0,2.0,3.0,4.0,9.0,6.0,0.0,1.0,0.0,4.0,7.0,10.0,4.0,0.0,0.0,1.0,4.0,3.0,7.0,3.0,0.0,H
Liverpool,Aston Villa,N Swarbrick,15689.0,3.0,1.0,1.0,8.0,4.0,6.0,0.0,3.0,2.0,0.0,6.0,1.0,3.0,0.0,1.0,3.0,1.0,2.0,6.0,5.0,0.0,1.0,1.0,3.0,2.0,9.0,11.0,0.0,A
Man United,Sunderland,C Foy,15689.0,4.0,0.0,1.0,11.0,7.0,7.0,0.0,4.0,0.0,1.0,12.0,7.0,8.0,0.0,1.0,1.0,3.0,7.0,9.0,8.0,0.0,1.0,1.0,3.0,5.0,8.0,13.0,0.0,H
Newcastle,Man City,A Marriner,15689.0,1.0,0.0,4.0,6.0,8.0,6.0,0.0,2.0,0.0,3.0,6.0,7.0,10.0,0.0,2.0,2.0,1.0,10.0,4.0,10.0,0.0,3.0,2.0,0.0,6.0,2.0,8.0,1.0,A
Norwich,Wigan,L Probert,15689.0,3.0,2.0,0.0,9.0,6.0,5.0,0.0,4.0,0.0,1.0,7.0,6.0,6.0,0.0,1.0,1.0,3.0,5.0,12.0,9.0,1.0,1.0,0.0,4.0,2.0,9.0,15.0,2.0,H
QPR,Fulham,M Atkinson,15689.0,0.0,3.0,2.0,5.0,9.0,7.0,0.0,0.0,3.0,2.0,5.0,8.0,5.0,1.0,1.0,1.0,3.0,3.0,8.0,2.0,1.0,0.0,4.0,1.0,8.0,9.0,4.0,0.0,H
Stoke,Everton,M Halsey,15689.0,3.0,2.0,0.0,5.0,2.0,7.0,1.0,4.0,1.0,0.0,6.0,1.0,8.0,0.0,1.0,3.0,1.0,6.0,6.0,7.0,0.0,0.0,4.0,1.0,7.0,8.0,10.0,1.0,D
Tottenham,Swansea,M Dean,15690.0,3.0,0.0,2.0,11.0,9.0,8.0,1.0,3.0,0.0,2.0,9.0,7.0,7.0,0.0,3.0,1.0,1.0,10.0,6.0,6.0,0.0,2.0,1.0,2.0,5.0,5.0,8.0,0.0,H
West Brom,West Ham,P Dowd,15690.0,2.0,0.0,3.0,7.0,9.0,10.0,0.0,3.0,0.0,2.0,8.0,6.0,7.0,0.0,1.0,1.0,3.0,7.0,9.0,6.0,0.0,2.0,0.0,3.0,5.0,7.0,17.0,0.0,D
Reading,Arsenal,A Taylor,15691.0,0.0,0.0,5.0,5.0,12.0,2.0,0.0,1.0,3.0,1.0,10.0,10.0,5.0,0.0,2.0,2.0,1.0,8.0,5.0,5.0,0.0,1.0,2.0,2.0,5.0,5.0,6.0,1.0,A
West Brom,Norwich,M Atkinson,15696.0,1.0,1.0,3.0,5.0,8.0,13.0,0.0,2.0,1.0,2.0,5.0,4.0,8.0,0.0,3.0,2.0,0.0,10.0,7.0,8.0,0.0,1.0,4.0,0.0,7.0,6.0,6.0,0.0,H
Tottenham,Stoke,L Mason,15696.0,4.0,0.0,1.0,10.0,4.0,8.0,0.0,3.0,0.0,2.0,8.0,7.0,8.0,0.0,3.0,2.0,0.0,5.0,2.0,8.0,1.0,1.0,2.0,2.0,4.0,6.0,10.0,1.0,D
Southampton,Sunderland,H Webb,15696.0,3.0,1.0,1.0,7.0,3.0,3.0,0.0,2.0,2.0,1.0,6.0,4.0,5.0,0.0,1.0,1.0,3.0,6.0,8.0,6.0,0.0,1.0,1.0,3.0,6.0,8.0,10.0,0.0,A
West Ham,Everton,A Taylor,15696.0,1.0,1.0,3.0,6.0,8.0,8.0,0.0,2.0,2.0,1.0,10.0,6.0,6.0,0.0,1.0,4.0,0.0,6.0,5.0,5.0,0.0,0.0,4.0,1.0,6.0,7.0,5.0,1.0,A
Man City,Reading,M Dean,15696.0,2.0,2.0,1.0,8.0,5.0,12.0,0.0,3.0,1.0,1.0,11.0,5.0,8.0,0.0,0.0,0.0,5.0,5.0,14.0,3.0,0.0,0.0,1.0,4.0,3.0,9.0,3.0,0.0,H
Liverpool,Fulham,M Clattenburg,15696.0,2.0,1.0,2.0,6.0,7.0,7.0,0.0,3.0,1.0,1.0,7.0,4.0,4.0,0.0,1.0,1.0,3.0,3.0,7.0,3.0,0.0,0.0,3.0,2.0,7.0,9.0,6.0,0.0,H
Newcastle,QPR,K Friend,15696.0,1.0,0.0,4.0,6.0,9.0,8.0,0.0,2.0,0.0,3.0,7.0,7.0,9.0,0.0,1.0,3.0,1.0,6.0,7.0,7.0,0.0,0.0,2.0,3.0,3.0,7.0,10.0,1.0,H
Wigan,Arsenal,J Moss,15696.0,1.0,1.0,3.0,6.0,11.0,7.0,1.0,2.0,1.0,2.0,8.0,9.0,7.0,0.0,2.0,2.0,1.0,8.0,5.0,5.0,0.0,1.0,2.0,2.0,7.0,6.0,5.0,1.0,A
Swansea,Man United,M Oliver,15697.0,2.0,1.0,2.0,8.0,6.0,6.0,0.0,2.0,2.0,1.0,9.0,7.0,9.0,0.0,5.0,0.0,0.0,14.0,7.0,6.0,0.0,4.0,0.0,1.0,13.0,10.0,8.0,0.0,D
Chelsea,Aston Villa,P Dowd,15697.0,1.0,2.0,2.0,5.0,6.0,8.0,0.0,1.0,3.0,1.0,7.0,5.0,6.0,2.0,2.0,3.0,0.0,5.0,2.0,6.0,0.0,2.0,1.0,2.0,5.0,8.0,10.0,0.0,H
Aston Villa,Tottenham,M Clattenburg,15700.0,2.0,2.0,1.0,5.0,10.0,5.0,0.0,1.0,3.0,1.0,4.0,4.0,5.0,1.0,3.0,1.0,1.0,7.0,3.0,9.0,0.0,2.0,0.0,3.0,9.0,10.0,11.0,1.0,A
