home,away,Referee,time,H_Enemy_Acc,A_Enemy_Acc,HAccP - AAccP,H/A,HWin,HDraw,HLose,H goal Diff,AWin,ADraw,ALose,A goal diff,moraldiff + h-a,H_atkPass_ratio,A_atkPass_ratio,HS_Acc,AS_Acc,HST_Acc,AST_Acc,H_poss_Acc,A_poss_Acc,H_atk_3rd_Acc,A_atk_3rd_Acc,H_atk_3rd_tot_Acc,A_atk_3rd_tot_Acc,H_red_goal_Acc,A_red_goal_Acc,H_red_on_Acc,A_red_on_Acc,H_red_tot_Acc,A_red_tot_Acc,H_chance_goal_Acc,A_chance_goal_Acc,H_chance_tot_Acc,A_chance_tot_Acc,H_successful_tackle_Acc,A_successful_tackle_Acc,H_tackle_tot_Acc,A_tackle_tot_Acc,H_successful_clearance_Acc,A_successful_clearance_Acc,H_clearance_tot_Acc,A_clearance_tot_Acc,H_interceptions_Acc,A_interceptions_Acc,H_blocks_Acc,A_blocks_Acc,HS_Acc/AS_Acc,HST_Acc/AST_Acc,H_poss_Acc/A_poss_Acc,H_atk_3rd_Acc/A_atk_3rd_Acc,H_atk_3rd_tot_Acc/A_atk_3rd_tot_Acc,H_red_goal_Acc/A_red_goal_Acc,H_red_on_Acc/A_red_on_Acc,H_red_tot_Acc/A_red_tot_Acc,H_chance_goal_Acc/A_chance_goal_Acc,H_chance_tot_Acc/A_chance_tot_Acc,H_successful_tackle_Acc/A_successful_tackle_Acc,H_tackle_tot_Acc/A_tackle_tot_Acc,H_successful_clearance_Acc/A_successful_clearance_Acc,H_clearance_tot_Acc/A_clearance_tot_Acc,H_interceptions_Acc/A_interceptions_Acc,H_blocks_Acc/A_blocks_Acc,y
Swansea,Man City,M Jones,15829.0,-17.0,0.575,0.0,2.0,3.0,-5.0,4.0,0.0,1.0,5.0,-27.80573431703086,0.7522658610271903,0.7333333333333333,6.0,7.0,61.0,65.0,29.0,37.0,287.80000000000007,285.7000000000001,498.0,616.0,662.0,840.0,3.0,8.0,9.0,10.0,45.0,36.0,3.0,8.0,62.0,53.0,102.0,91.0,147.0,126.0,79.0,82.0,171.0,166.0,118.0,66.0,21.0,12.0,0.9384615384615385,0.7837837837837838,1.0073503675183757,0.8084415584415584,0.7880952380952381,0.375,0.9,1.25,0.375,1.169811320754717,1.120879120879121,1.1666666666666667,0.9634146341463414,1.0301204819277108,1.7878787878787878,1.75,D
Norwich,Aston Villa,K Friend,15829.0,-4.0,0.8333333333333334,1.0,1.0,3.0,-3.0,2.0,1.0,2.0,3.0,-13.716386659981005,0.5702875399361023,0.6607407407407407,7.0,4.0,50.0,62.0,28.0,42.0,211.90000000000012,253.20000000000027,357.0,446.0,626.0,675.0,5.0,8.0,8.0,10.0,29.0,33.0,3.0,3.0,37.0,44.0,87.0,109.0,109.0,148.0,93.0,57.0,185.0,129.0,92.0,130.0,17.0,25.0,0.8064516129032258,0.6666666666666666,0.8368878357030012,0.8004484304932735,0.9274074074074075,0.625,0.8,0.8787878787878788,1.0,0.8409090909090909,0.7981651376146789,0.7364864864864865,1.631578947368421,1.434108527131783,0.7076923076923077,0.68,A
Liverpool,Everton,M Oliver,15830.0,-1.0,0.972972972972973,2.0,3.0,0.0,7.0,2.0,2.0,1.0,2.0,3.6271342771342816,0.681930693069307,0.6491935483870968,7.0,8.0,95.0,58.0,61.0,35.0,282.50000000000017,259.0,551.0,483.0,808.0,744.0,9.0,4.0,20.0,8.0,59.0,40.0,8.0,4.0,85.0,52.0,107.0,137.0,148.0,179.0,71.0,75.0,139.0,152.0,75.0,72.0,21.0,16.0,1.6379310344827587,1.7428571428571429,1.0907335907335913,1.1407867494824016,1.086021505376344,2.25,2.5,1.475,2.0,1.6346153846153846,0.781021897810219,0.8268156424581006,0.9466666666666667,0.9144736842105263,1.0416666666666667,1.3125,D
Man United,Chelsea,H Webb,15830.0,10.0,1.25,2.0,2.0,1.0,4.0,3.0,1.0,1.0,5.0,6.6906332457567075,0.6834170854271356,0.7023370233702337,7.0,2.0,60.0,64.0,29.0,41.0,269.4000000000001,252.89999999999984,408.0,571.0,597.0,813.0,7.0,8.0,10.0,9.0,48.0,44.0,4.0,5.0,52.0,49.0,108.0,103.0,134.0,149.0,94.0,67.0,166.0,135.0,72.0,93.0,15.0,16.0,0.9375,0.7073170731707317,1.0652431791221837,0.7145359019264448,0.7343173431734318,0.875,1.1111111111111112,1.0909090909090908,0.8,1.0612244897959184,1.0485436893203883,0.8993288590604027,1.4029850746268657,1.2296296296296296,0.7741935483870968,0.9375,A
Sunderland,Stoke,L Mason,15831.0,6.0,1.3157894736842106,2.0,0.0,3.0,-3.0,2.0,0.0,3.0,-2.0,7.7007896300465895,0.5909090909090909,0.5280135823429541,6.0,9.0,39.0,52.0,22.0,19.0,191.99999999999991,232.50000000000003,286.0,311.0,484.0,589.0,2.0,4.0,6.0,5.0,18.0,36.0,5.0,3.0,30.0,48.0,110.0,100.0,155.0,139.0,86.0,70.0,164.0,121.0,99.0,77.0,20.0,13.0,0.75,1.1578947368421053,0.8258064516129028,0.9196141479099679,0.8217317487266553,0.5,1.2,0.5,1.6666666666666667,0.625,1.1,1.1151079136690647,1.2285714285714286,1.3553719008264462,1.2857142857142858,1.5384615384615385,D
Man City,West Brom,P Dowd,15832.0,17.0,1.7391304347826086,3.0,1.0,1.0,1.0,1.0,1.0,3.0,-1.0,26.44343477446816,0.7418604651162791,0.6263399693721287,3.0,3.0,58.0,69.0,34.0,40.0,284.0,255.7999999999998,638.0,409.0,860.0,653.0,4.0,8.0,9.0,14.0,31.0,45.0,6.0,5.0,45.0,53.0,85.0,82.0,115.0,116.0,77.0,52.0,159.0,122.0,77.0,26.0,12.0,8.0,0.8405797101449275,0.85,1.1102423768569203,1.5599022004889975,1.3169984686064318,0.5,0.6428571428571429,0.6888888888888889,1.2,0.8490566037735849,1.0365853658536586,0.9913793103448276,1.4807692307692308,1.3032786885245902,2.9615384615384617,1.5,H
Wigan,Swansea,K Friend,15832.0,1.0,1.0476190476190477,1.0,2.0,2.0,-2.0,0.0,3.0,2.0,-3.0,4.09723580915745,0.7337110481586402,0.7350157728706624,3.0,3.0,61.0,59.0,38.0,28.0,272.00000000000006,269.00000000000006,518.0,466.0,706.0,634.0,4.0,3.0,15.0,10.0,28.0,45.0,5.0,3.0,55.0,59.0,99.0,103.0,145.0,142.0,64.0,75.0,124.0,164.0,105.0,119.0,21.0,21.0,1.0338983050847457,1.3571428571428572,1.0111524163568772,1.111587982832618,1.113564668769716,1.3333333333333333,1.5,0.6222222222222222,1.6666666666666667,0.9322033898305084,0.9611650485436893,1.0211267605633803,0.8533333333333334,0.7560975609756098,0.8823529411764706,1.0,A
Chelsea,Tottenham,M Dean,15833.0,3.0,1.075,4.0,1.0,0.0,7.0,3.0,2.0,0.0,4.0,5.084448093626527,0.7116279069767442,0.668769716088328,3.0,4.0,72.0,60.0,43.0,36.0,254.99999999999986,255.0,612.0,424.0,860.0,634.0,8.0,7.0,9.0,8.0,45.0,27.0,5.0,7.0,58.0,47.0,100.0,100.0,143.0,123.0,64.0,99.0,119.0,206.0,85.0,106.0,14.0,10.0,1.2,1.1944444444444444,0.9999999999999994,1.4433962264150944,1.3564668769716088,1.1428571428571428,1.125,1.6666666666666667,0.7142857142857143,1.2340425531914894,1.0,1.1626016260162602,0.6464646464646465,0.5776699029126213,0.8018867924528302,1.4,D
Aston Villa,Chelsea,L Mason,15836.0,-15.0,0.6341463414634146,3.0,1.0,1.0,5.0,3.0,2.0,0.0,6.0,-16.23362705837614,0.6453488372093024,0.6867007672634271,7.0,2.0,64.0,73.0,41.0,44.0,253.00000000000026,237.39999999999984,444.0,537.0,688.0,782.0,9.0,9.0,9.0,9.0,32.0,46.0,4.0,6.0,45.0,59.0,97.0,109.0,133.0,146.0,76.0,64.0,161.0,112.0,112.0,87.0,16.0,14.0,0.8767123287671232,0.9318181818181818,1.0657118786857642,0.8268156424581006,0.8797953964194374,1.0,1.0,0.6956521739130435,0.6666666666666666,0.7627118644067796,0.8899082568807339,0.910958904109589,1.1875,1.4375,1.2873563218390804,1.1428571428571428,A
Stoke,Tottenham,K Friend,15837.0,-22.0,0.4634146341463415,2.0,1.0,2.0,-1.0,2.0,3.0,0.0,3.0,-25.553124782413835,0.525963149078727,0.6717325227963525,5.0,3.0,53.0,64.0,21.0,35.0,238.90000000000003,273.6,314.0,442.0,597.0,658.0,5.0,7.0,4.0,4.0,37.0,28.0,3.0,7.0,51.0,53.0,91.0,97.0,125.0,122.0,64.0,97.0,110.0,201.0,62.0,106.0,14.0,10.0,0.828125,0.6,0.8731725146198831,0.7104072398190046,0.9072948328267477,0.7142857142857143,1.0,1.3214285714285714,0.42857142857142855,0.9622641509433962,0.9381443298969072,1.0245901639344261,0.6597938144329897,0.5472636815920398,0.5849056603773585,1.4,A
Man United,Swansea,J Moss,15837.0,23.0,1.9583333333333333,2.0,2.0,1.0,4.0,1.0,3.0,1.0,-1.0,18.420296853901647,0.7006802721088435,0.7323688969258589,7.0,4.0,54.0,58.0,26.0,31.0,273.1000000000001,253.10000000000008,412.0,405.0,588.0,553.0,7.0,4.0,7.0,9.0,44.0,42.0,4.0,4.0,50.0,52.0,94.0,97.0,119.0,139.0,103.0,81.0,172.0,171.0,71.0,118.0,16.0,24.0,0.9310344827586207,0.8387096774193549,1.0790201501382852,1.017283950617284,1.0632911392405062,1.75,0.7777777777777778,1.0476190476190477,1.0,0.9615384615384616,0.9690721649484536,0.8561151079136691,1.271604938271605,1.0058479532163742,0.6016949152542372,0.6666666666666666,H
QPR,Newcastle,L Probert,15837.0,-3.0,0.8636363636363636,0.0,2.0,3.0,-5.0,1.0,2.0,2.0,-8.0,-8.045038485541923,0.6429942418426103,0.6413427561837456,7.0,8.0,68.0,61.0,29.0,32.0,215.80000000000013,265.60000000000014,335.0,363.0,521.0,566.0,0.0,2.0,6.0,11.0,23.0,44.0,1.0,1.0,47.0,62.0,109.0,102.0,132.0,132.0,107.0,119.0,191.0,211.0,88.0,45.0,24.0,10.0,1.1147540983606556,0.90625,0.8125,0.9228650137741047,0.9204946996466431,0.0,0.5454545454545454,0.5227272727272727,1.0,0.7580645161290323,1.0686274509803921,1.0,0.8991596638655462,0.9052132701421801,1.9555555555555555,2.4,A
Everton,West Ham,P Dowd,15837.0,13.0,1.5909090909090908,2.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,7.769004719004716,0.6649214659685864,0.6428571428571429,7.0,8.0,60.0,51.0,34.0,28.0,266.1,192.70000000000007,508.0,378.0,764.0,588.0,2.0,3.0,7.0,9.0,39.0,40.0,2.0,6.0,54.0,48.0,136.0,84.0,178.0,130.0,69.0,87.0,136.0,195.0,76.0,72.0,15.0,29.0,1.1764705882352942,1.2142857142857142,1.3809029579657495,1.343915343915344,1.2993197278911566,0.6666666666666666,0.7777777777777778,0.975,0.3333333333333333,1.125,1.619047619047619,1.3692307692307693,0.7931034482758621,0.6974358974358974,1.0555555555555556,0.5172413793103449,H
Fulham,Liverpool,M Halsey,15837.0,-13.0,0.6176470588235294,0.0,1.0,4.0,-7.0,1.0,4.0,0.0,6.0,-27.359553830321406,0.6559546313799622,0.6785714285714286,8.0,7.0,50.0,95.0,30.0,57.0,228.0,283.8000000000002,347.0,532.0,529.0,784.0,2.0,7.0,7.0,18.0,29.0,54.0,2.0,7.0,38.0,78.0,87.0,109.0,135.0,148.0,79.0,70.0,147.0,130.0,115.0,71.0,24.0,19.0,0.5263157894736842,0.5263157894736842,0.8033826638477796,0.6522556390977443,0.6747448979591837,0.2857142857142857,0.3888888888888889,0.5370370370370371,0.2857142857142857,0.48717948717948717,0.7981651376146789,0.9121621621621622,1.1285714285714286,1.1307692307692307,1.619718309859155,1.263157894736842,A
Norwich,West Brom,H Webb,15837.0,-6.0,0.7391304347826086,1.0,1.0,3.0,-3.0,1.0,1.0,3.0,0.0,-8.25475276755764,0.5734157650695518,0.6147672552166934,8.0,4.0,50.0,72.0,27.0,40.0,218.40000000000006,241.69999999999982,371.0,383.0,647.0,623.0,6.0,7.0,8.0,15.0,34.0,46.0,3.0,5.0,39.0,54.0,80.0,77.0,104.0,112.0,86.0,55.0,174.0,133.0,95.0,33.0,16.0,14.0,0.6944444444444444,0.675,0.9035995035167572,0.9686684073107049,1.0385232744783306,0.8571428571428571,0.5333333333333333,0.7391304347826086,0.6,0.7222222222222222,1.0389610389610389,0.9285714285714286,1.5636363636363637,1.3082706766917294,2.878787878787879,1.1428571428571428,H
Sunderland,Southampton,M Dean,15837.0,-2.0,0.92,2.0,1.0,2.0,-2.0,1.0,2.0,2.0,-2.0,5.096580086580076,0.5862068965517241,0.648036253776435,5.0,8.0,44.0,62.0,25.0,30.0,200.99999999999991,279.2999999999999,272.0,429.0,464.0,662.0,3.0,3.0,6.0,10.0,19.0,29.0,5.0,2.0,34.0,45.0,104.0,102.0,147.0,127.0,93.0,101.0,172.0,184.0,103.0,140.0,22.0,14.0,0.7096774193548387,0.8333333333333334,0.7196562835660579,0.634032634032634,0.7009063444108762,1.0,0.6,0.6551724137931034,2.5,0.7555555555555555,1.0196078431372548,1.1574803149606299,0.9207920792079208,0.9347826086956522,0.7357142857142858,1.5714285714285714,D
Arsenal,Wigan,M Dean,15839.0,23.0,2.0952380952380953,3.0,2.0,0.0,4.0,1.0,1.0,3.0,-3.0,31.604542087958514,0.7706592386258124,0.7134052388289677,9.0,2.0,62.0,59.0,44.0,39.0,306.60000000000014,257.3,830.0,463.0,1077.0,649.0,5.0,6.0,9.0,15.0,38.0,34.0,4.0,6.0,52.0,54.0,98.0,97.0,136.0,126.0,57.0,53.0,111.0,111.0,86.0,117.0,14.0,22.0,1.0508474576271187,1.1282051282051282,1.1916051301982127,1.792656587473002,1.6594761171032357,0.8333333333333334,0.6,1.1176470588235294,0.6666666666666666,0.9629629629629629,1.0103092783505154,1.0793650793650793,1.0754716981132075,1.0,0.7350427350427351,0.6363636363636364,H
Reading,Man City,M Atkinson,15839.0,-23.0,0.46511627906976744,1.0,2.0,2.0,-1.0,3.0,1.0,1.0,1.0,-21.67510077201613,0.5993690851735016,0.7466666666666667,10.0,2.0,62.0,70.0,34.0,38.0,230.9,282.6,380.0,616.0,634.0,825.0,4.0,4.0,8.0,11.0,42.0,40.0,2.0,5.0,52.0,55.0,85.0,77.0,116.0,108.0,76.0,73.0,137.0,151.0,73.0,85.0,17.0,16.0,0.8857142857142857,0.8947368421052632,0.8170559094125973,0.6168831168831169,0.7684848484848484,1.0,0.7272727272727273,1.05,0.4,0.9454545454545454,1.103896103896104,1.0740740740740742,1.0410958904109588,0.9072847682119205,0.8588235294117647,1.0625,A
West Brom,Man United,M Oliver,15844.0,-25.0,0.46808510638297873,1.0,1.0,3.0,-3.0,2.0,2.0,1.0,3.0,-29.591463964543802,0.6176961602671118,0.7324159021406728,7.0,7.0,64.0,61.0,40.0,32.0,241.69999999999982,267.4000000000001,370.0,479.0,599.0,654.0,6.0,7.0,15.0,9.0,37.0,45.0,5.0,5.0,50.0,56.0,79.0,86.0,111.0,109.0,62.0,96.0,156.0,153.0,28.0,72.0,15.0,17.0,1.0491803278688525,1.25,0.9038893044128636,0.7724425887265136,0.9159021406727829,0.8571428571428571,1.6666666666666667,0.8222222222222222,1.0,0.8928571428571429,0.9186046511627907,1.018348623853211,0.6458333333333334,1.0196078431372548,0.3888888888888889,0.8823529411764706,D
Chelsea,Everton,A Taylor,15844.0,4.0,1.1081081081081081,3.0,2.0,0.0,4.0,2.0,2.0,1.0,2.0,12.410727697428001,0.688715953307393,0.6956521739130435,3.0,7.0,71.0,69.0,42.0,37.0,246.99999999999991,270.6,531.0,528.0,771.0,759.0,9.0,1.0,7.0,8.0,42.0,46.0,6.0,3.0,58.0,67.0,97.0,121.0,142.0,158.0,70.0,72.0,123.0,147.0,77.0,86.0,18.0,11.0,1.0289855072463767,1.135135135135135,0.9127864005912782,1.0056818181818181,1.0158102766798418,9.0,0.875,0.9130434782608695,2.0,0.8656716417910447,0.8016528925619835,0.8987341772151899,0.9722222222222222,0.8367346938775511,0.8953488372093024,1.6363636363636365,H
Wigan,Aston Villa,N Swarbrick,15844.0,-2.0,0.9130434782608695,1.0,1.0,3.0,-5.0,2.0,1.0,2.0,2.0,-7.1341072363665425,0.7067082683307332,0.6706408345752608,4.0,8.0,61.0,65.0,38.0,40.0,260.2,241.80000000000027,453.0,450.0,641.0,671.0,6.0,8.0,14.0,6.0,33.0,34.0,6.0,5.0,56.0,48.0,89.0,94.0,110.0,121.0,55.0,79.0,121.0,155.0,124.0,133.0,23.0,18.0,0.9384615384615385,0.95,1.0760959470636877,1.0066666666666666,0.9552906110283159,0.75,2.3333333333333335,0.9705882352941176,1.2,1.1666666666666667,0.9468085106382979,0.9090909090909091,0.6962025316455697,0.7806451612903226,0.9323308270676691,1.2777777777777777,D
Tottenham,Sunderland,A Marriner,15844.0,17.0,1.7083333333333333,3.0,2.0,0.0,4.0,2.0,2.0,1.0,-1.0,18.12543023784275,0.6900311526479751,0.55863539445629,7.0,7.0,68.0,42.0,40.0,27.0,279.0,198.69999999999987,443.0,262.0,642.0,469.0,6.0,4.0,6.0,7.0,33.0,17.0,7.0,6.0,53.0,34.0,89.0,105.0,113.0,145.0,97.0,94.0,212.0,191.0,100.0,87.0,11.0,23.0,1.619047619047619,1.4814814814814814,1.40412682435833,1.6908396946564885,1.3688699360341152,1.5,0.8571428571428571,1.9411764705882353,1.1666666666666667,1.5588235294117647,0.8476190476190476,0.7793103448275862,1.0319148936170213,1.1099476439790577,1.1494252873563218,0.4782608695652174,H
Southampton,Stoke,L Probert,15844.0,8.0,1.4444444444444444,0.0,3.0,2.0,-4.0,2.0,1.0,2.0,0.0,-1.3635582500008958,0.6377708978328174,0.5252173913043479,7.0,7.0,65.0,53.0,36.0,22.0,282.6999999999999,226.0,412.0,302.0,646.0,575.0,2.0,5.0,14.0,2.0,30.0,33.0,0.0,3.0,44.0,44.0,94.0,101.0,119.0,128.0,91.0,64.0,166.0,123.0,130.0,61.0,14.0,21.0,1.2264150943396226,1.6363636363636365,1.250884955752212,1.3642384105960266,1.1234782608695653,0.4,7.0,0.9090909090909091,0.0,1.0,0.9306930693069307,0.9296875,1.421875,1.3495934959349594,2.1311475409836067,0.6666666666666666,D
Man City,Norwich,M Halsey,15844.0,26.0,2.5294117647058822,3.0,1.0,1.0,2.0,2.0,0.0,3.0,1.0,29.963574638441216,0.7632468996617813,0.5818476499189628,4.0,7.0,87.0,49.0,54.0,26.0,293.6,231.80000000000013,677.0,359.0,887.0,617.0,5.0,6.0,14.0,9.0,57.0,34.0,6.0,2.0,71.0,38.0,74.0,72.0,96.0,105.0,70.0,73.0,160.0,162.0,69.0,85.0,14.0,14.0,1.7755102040816326,2.076923076923077,1.2666091458153574,1.8857938718662952,1.4376012965964344,0.8333333333333334,1.5555555555555556,1.6764705882352942,3.0,1.868421052631579,1.0277777777777777,0.9142857142857143,0.958904109589041,0.9876543209876543,0.8117647058823529,1.0,A
Newcastle,Arsenal,H Webb,15844.0,-19.0,0.5681818181818182,1.0,2.0,2.0,-8.0,3.0,2.0,0.0,5.0,-26.61464311416714,0.5910714285714286,0.772,7.0,4.0,51.0,71.0,29.0,49.0,259.80000000000007,286.10000000000014,331.0,772.0,560.0,1000.0,2.0,7.0,8.0,10.0,31.0,41.0,1.0,6.0,46.0,54.0,106.0,97.0,139.0,144.0,122.0,60.0,214.0,113.0,54.0,94.0,11.0,17.0,0.7183098591549296,0.5918367346938775,0.908074099965047,0.42875647668393785,0.56,0.2857142857142857,0.8,0.7560975609756098,0.16666666666666666,0.8518518518518519,1.092783505154639,0.9652777777777778,2.033333333333333,1.8938053097345133,0.574468085106383,0.6470588235294118,A
Liverpool,QPR,M Atkinson,15844.0,21.0,2.3125,2.0,3.0,0.0,8.0,0.0,1.0,4.0,-6.0,35.77443050585465,0.6816208393632417,0.6167557932263814,7.0,7.0,96.0,70.0,59.0,30.0,270.3000000000002,239.90000000000006,471.0,346.0,691.0,561.0,10.0,1.0,17.0,7.0,61.0,23.0,9.0,0.0,77.0,45.0,114.0,102.0,157.0,126.0,68.0,102.0,138.0,185.0,66.0,63.0,17.0,23.0,1.3714285714285714,1.9666666666666666,1.1267194664443523,1.361271676300578,1.231729055258467,10.0,2.4285714285714284,2.652173913043478,inf,1.711111111111111,1.1176470588235294,1.246031746031746,0.6666666666666666,0.745945945945946,1.0476190476190477,0.7391304347826086,H
West Ham,Reading,M Dean,15844.0,1.0,1.05,1.0,2.0,2.0,-1.0,1.0,2.0,2.0,-1.0,-0.12327861377108817,0.6328257191201354,0.6346801346801347,7.0,4.0,52.0,65.0,26.0,38.0,189.2000000000001,230.1,374.0,377.0,591.0,594.0,3.0,4.0,8.0,9.0,39.0,41.0,5.0,2.0,48.0,57.0,88.0,69.0,130.0,104.0,84.0,76.0,183.0,144.0,72.0,62.0,27.0,27.0,0.8,0.6842105263157895,0.8222511951325515,0.9920424403183024,0.9949494949494949,0.75,0.8888888888888888,0.9512195121951219,2.5,0.8421052631578947,1.2753623188405796,1.25,1.105263157894737,1.2708333333333333,1.1612903225806452,1.0,H
Swansea,Fulham,L Mason,15844.0,3.0,1.1428571428571428,1.0,2.0,2.0,-2.0,0.0,0.0,5.0,-9.0,17.49186776879901,0.714859437751004,0.6616822429906543,7.0,7.0,47.0,52.0,24.0,35.0,235.7000000000001,225.1,356.0,354.0,498.0,535.0,3.0,3.0,7.0,8.0,38.0,26.0,3.0,3.0,44.0,37.0,86.0,86.0,125.0,139.0,84.0,66.0,162.0,132.0,115.0,111.0,22.0,25.0,0.9038461538461539,0.6857142857142857,1.047090182141271,1.0056497175141244,0.930841121495327,1.0,0.875,1.4615384615384615,1.0,1.1891891891891893,1.0,0.8992805755395683,1.2727272727272727,1.2272727272727273,1.0360360360360361,0.88,A
Swansea,Man United,P Dowd,15934.0,-24.0,0.48936170212765956,1.0,1.0,3.0,-5.0,2.0,2.0,1.0,3.0,-26.65036109272684,0.7495711835334476,0.7515243902439024,8.0,6.0,52.0,58.0,28.0,31.0,245.40000000000012,265.50000000000006,437.0,493.0,583.0,656.0,3.0,9.0,14.0,7.0,46.0,45.0,3.0,8.0,54.0,51.0,83.0,81.0,123.0,104.0,70.0,85.0,135.0,136.0,113.0,75.0,21.0,20.0,0.896551724137931,0.9032258064516129,0.9242937853107347,0.8864097363083164,0.8887195121951219,0.3333333333333333,2.0,1.0222222222222221,0.375,1.0588235294117647,1.0246913580246915,1.1826923076923077,0.8235294117647058,0.9926470588235294,1.5066666666666666,1.05,A
Arsenal,Aston Villa,A Taylor,15934.0,20.0,1.8333333333333333,4.0,1.0,0.0,6.0,2.0,1.0,2.0,2.0,24.061182947610483,0.7620020429009193,0.6734992679355783,7.0,7.0,70.0,55.0,46.0,35.0,278.6000000000001,239.10000000000028,746.0,460.0,979.0,683.0,8.0,8.0,9.0,4.0,39.0,29.0,6.0,7.0,51.0,45.0,110.0,90.0,163.0,115.0,55.0,77.0,112.0,151.0,89.0,128.0,14.0,21.0,1.2727272727272727,1.3142857142857143,1.165202843998326,1.6217391304347826,1.4333821376281113,1.0,2.25,1.3448275862068966,0.8571428571428571,1.1333333333333333,1.2222222222222223,1.4173913043478261,0.7142857142857143,0.7417218543046358,0.6953125,0.6666666666666666,A
Liverpool,Stoke,M Atkinson,15934.0,19.0,2.0555555555555554,3.0,2.0,0.0,9.0,2.0,2.0,1.0,2.0,17.946372100517685,0.7172131147540983,0.5298245614035088,6.0,7.0,97.0,47.0,64.0,21.0,276.60000000000014,220.8,525.0,302.0,732.0,570.0,10.0,6.0,13.0,3.0,57.0,31.0,10.0,4.0,78.0,36.0,109.0,97.0,152.0,127.0,57.0,72.0,112.0,141.0,63.0,59.0,17.0,22.0,2.0638297872340425,3.0476190476190474,1.2527173913043483,1.7384105960264902,1.2842105263157895,1.6666666666666667,4.333333333333333,1.8387096774193548,2.5,2.1666666666666665,1.1237113402061856,1.1968503937007875,0.7916666666666666,0.7943262411347518,1.0677966101694916,0.7727272727272727,H
Norwich,Everton,M Oliver,15934.0,-14.0,0.5882352941176471,3.0,0.0,2.0,4.0,2.0,1.0,2.0,1.0,-3.4982279716931934,0.6124401913875598,0.7198007471980075,7.0,6.0,56.0,75.0,28.0,41.0,239.50000000000009,283.9,384.0,578.0,627.0,803.0,8.0,2.0,7.0,12.0,41.0,55.0,4.0,4.0,47.0,76.0,67.0,110.0,103.0,143.0,64.0,69.0,146.0,136.0,76.0,88.0,15.0,14.0,0.7466666666666667,0.6829268292682927,0.8436069038393804,0.6643598615916955,0.7808219178082192,4.0,0.5833333333333334,0.7454545454545455,1.0,0.618421052631579,0.6090909090909091,0.7202797202797203,0.927536231884058,1.0735294117647058,0.8636363636363636,1.0714285714285714,D
Sunderland,Fulham,N Swarbrick,15934.0,-3.0,0.875,1.0,2.0,2.0,-5.0,1.0,0.0,4.0,-3.0,5.136933976135516,0.5436681222707423,0.6514161220043573,9.0,7.0,40.0,49.0,24.0,34.0,196.29999999999993,207.9,249.0,299.0,458.0,459.0,3.0,5.0,7.0,9.0,18.0,29.0,3.0,5.0,34.0,34.0,107.0,81.0,154.0,123.0,94.0,75.0,195.0,165.0,78.0,99.0,35.0,27.0,0.8163265306122449,0.7058823529411765,0.9442039442039438,0.8327759197324415,0.9978213507625272,0.6,0.7777777777777778,0.6206896551724138,0.6,1.0,1.3209876543209877,1.2520325203252032,1.2533333333333334,1.1818181818181819,0.7878787878787878,1.2962962962962963,A
West Brom,Southampton,K Friend,15934.0,-6.0,0.7692307692307693,1.0,1.0,3.0,-3.0,0.0,3.0,2.0,-4.0,-5.319917961295676,0.64,0.6454948301329394,7.0,7.0,71.0,61.0,44.0,32.0,219.8999999999998,284.4999999999999,400.0,437.0,625.0,677.0,9.0,2.0,13.0,17.0,41.0,30.0,9.0,0.0,57.0,42.0,84.0,91.0,120.0,116.0,59.0,86.0,150.0,158.0,30.0,113.0,20.0,11.0,1.1639344262295082,1.375,0.7729349736379609,0.9153318077803204,0.9231905465288035,4.5,0.7647058823529411,1.3666666666666667,inf,1.3571428571428572,0.9230769230769231,1.0344827586206897,0.686046511627907,0.9493670886075949,0.26548672566371684,1.8181818181818181,A
Man City,Newcastle,A Marriner,15936.0,18.0,1.8181818181818181,3.0,1.0,1.0,3.0,1.0,2.0,2.0,-6.0,15.064228167597584,0.7884405670665212,0.5639097744360902,9.0,8.0,88.0,43.0,52.0,22.0,299.2000000000001,244.70000000000007,723.0,300.0,917.0,532.0,6.0,2.0,14.0,5.0,66.0,22.0,7.0,1.0,75.0,33.0,71.0,109.0,95.0,150.0,69.0,108.0,154.0,199.0,66.0,64.0,16.0,12.0,2.046511627906977,2.3636363636363638,1.2227217000408663,2.41,1.7236842105263157,3.0,2.8,3.0,7.0,2.272727272727273,0.6513761467889908,0.6333333333333333,0.6388888888888888,0.7738693467336684,1.03125,1.3333333333333333,H
Chelsea,Aston Villa,K Friend,15938.0,14.0,1.5185185185185186,4.0,1.0,0.0,5.0,3.0,1.0,1.0,7.0,14.406878658592632,0.696236559139785,0.6229235880398671,3.0,4.0,83.0,56.0,37.0,34.0,247.09999999999994,227.20000000000027,518.0,375.0,744.0,602.0,8.0,11.0,10.0,4.0,50.0,32.0,6.0,8.0,65.0,44.0,94.0,88.0,143.0,122.0,87.0,95.0,126.0,161.0,58.0,119.0,19.0,24.0,1.4821428571428572,1.088235294117647,1.0875880281690125,1.3813333333333333,1.2358803986710964,0.7272727272727273,2.5,1.5625,0.75,1.4772727272727273,1.0681818181818181,1.1721311475409837,0.9157894736842105,0.782608695652174,0.48739495798319327,0.7916666666666666,H
