home,away,Referee,time,H_Enemy_Acc,A_Enemy_Acc,HAccP - AAccP,H/A,HWin,HDraw,HLose,H goal Diff,AWin,ADraw,ALose,A goal diff,moraldiff + h-a,H_atkPass_ratio,A_atkPass_ratio,HS_Acc,AS_Acc,HST_Acc,AST_Acc,H_poss_Acc,A_poss_Acc,H_atk_3rd_Acc,A_atk_3rd_Acc,H_atk_3rd_tot_Acc,A_atk_3rd_tot_Acc,H_red_goal_Acc,A_red_goal_Acc,H_red_on_Acc,A_red_on_Acc,H_red_tot_Acc,A_red_tot_Acc,H_chance_goal_Acc,A_chance_goal_Acc,H_chance_tot_Acc,A_chance_tot_Acc,H_successful_tackle_Acc,A_successful_tackle_Acc,H_tackle_tot_Acc,A_tackle_tot_Acc,H_successful_clearance_Acc,A_successful_clearance_Acc,H_clearance_tot_Acc,A_clearance_tot_Acc,H_interceptions_Acc,A_interceptions_Acc,H_blocks_Acc,A_blocks_Acc,HS_Acc/AS_Acc,HST_Acc/AST_Acc,H_poss_Acc/A_poss_Acc,H_atk_3rd_Acc/A_atk_3rd_Acc,H_atk_3rd_tot_Acc/A_atk_3rd_tot_Acc,H_red_goal_Acc/A_red_goal_Acc,H_red_on_Acc/A_red_on_Acc,H_red_tot_Acc/A_red_tot_Acc,H_chance_goal_Acc/A_chance_goal_Acc,H_chance_tot_Acc/A_chance_tot_Acc,H_successful_tackle_Acc/A_successful_tackle_Acc,H_tackle_tot_Acc/A_tackle_tot_Acc,H_successful_clearance_Acc/A_successful_clearance_Acc,H_clearance_tot_Acc/A_clearance_tot_Acc,H_interceptions_Acc/A_interceptions_Acc,H_blocks_Acc/A_blocks_Acc,y
Man City,Sunderland,L Probert,15619.0,4.0,1.173913043478261,2.0,3.0,0.0,3.0,1.0,4.0,0.0,1.0,5.223022774327131,0.7511467889908257,0.6522781774580336,2.0,7.0,80.0,28.0,50.0,17.0,289.7000000000001,188.69999999999993,655.0,272.0,872.0,417.0,9.0,5.0,13.0,1.0,49.0,13.0,3.0,3.0,57.0,22.0,116.0,128.0,145.0,185.0,67.0,81.0,146.0,161.0,55.0,83.0,12.0,29.0,2.857142857142857,2.9411764705882355,1.5352411234764187,2.4080882352941178,2.091127098321343,1.8,13.0,3.769230769230769,1.0,2.590909090909091,0.90625,0.7837837837837838,0.8271604938271605,0.906832298136646,0.6626506024096386,0.41379310344827586,H
Chelsea,Norwich,A Taylor,15619.0,13.0,1.7222222222222223,4.0,1.0,0.0,6.0,0.0,3.0,2.0,-4.0,26.816313762310756,0.7505910165484634,0.5793304221251819,3.0,7.0,74.0,61.0,40.0,32.0,279.70000000000005,222.5000000000002,635.0,398.0,846.0,687.0,7.0,4.0,6.0,13.0,37.0,47.0,6.0,3.0,60.0,54.0,96.0,90.0,131.0,145.0,76.0,61.0,127.0,146.0,67.0,43.0,13.0,20.0,1.2131147540983607,1.25,1.2570786516853922,1.5954773869346734,1.2314410480349345,1.75,0.46153846153846156,0.7872340425531915,2.0,1.1111111111111112,1.0666666666666667,0.903448275862069,1.2459016393442623,0.8698630136986302,1.558139534883721,0.65,H
West Ham,Arsenal,P Dowd,15619.0,2.0,1.0833333333333333,2.0,2.0,1.0,1.0,2.0,2.0,1.0,6.0,1.3395712857856807,0.6126760563380281,0.7718631178707225,4.0,2.0,70.0,71.0,43.0,34.0,244.80000000000015,273.90000000000003,435.0,609.0,710.0,789.0,6.0,7.0,9.0,8.0,53.0,41.0,4.0,4.0,60.0,60.0,114.0,134.0,144.0,170.0,95.0,66.0,178.0,144.0,40.0,95.0,19.0,13.0,0.9859154929577465,1.2647058823529411,0.893756845564075,0.7142857142857143,0.899873257287706,0.8571428571428571,1.125,1.2926829268292683,1.0,1.0,0.8507462686567164,0.8470588235294118,1.4393939393939394,1.2361111111111112,0.42105263157894735,1.4615384615384615,A
Swansea,Reading,M Dean,15619.0,4.0,1.2222222222222223,1.0,1.0,3.0,-4.0,0.0,2.0,3.0,-5.0,3.2234286803966405,0.7464566929133858,0.5686900958466453,7.0,7.0,60.0,42.0,33.0,18.0,293.4000000000001,217.80000000000004,474.0,356.0,635.0,626.0,5.0,5.0,10.0,6.0,39.0,32.0,4.0,4.0,50.0,29.0,96.0,76.0,118.0,115.0,94.0,98.0,221.0,192.0,50.0,68.0,21.0,18.0,1.4285714285714286,1.8333333333333333,1.347107438016529,1.3314606741573034,1.0143769968051117,1.0,1.6666666666666667,1.21875,1.0,1.7241379310344827,1.263157894736842,1.0260869565217392,0.9591836734693877,1.1510416666666667,0.7352941176470589,1.1666666666666667,D
Southampton,Fulham,M Clattenburg,15620.0,-6.0,0.75,1.0,0.0,4.0,-7.0,2.0,0.0,3.0,-1.0,-9.285719523443305,0.6685633001422475,0.7269439421338155,8.0,8.0,58.0,70.0,27.0,50.0,252.29999999999973,223.29999999999995,470.0,402.0,703.0,553.0,8.0,7.0,11.0,16.0,36.0,41.0,6.0,4.0,55.0,45.0,111.0,83.0,141.0,112.0,78.0,68.0,159.0,146.0,96.0,100.0,21.0,25.0,0.8285714285714286,0.54,1.1298701298701288,1.1691542288557213,1.27124773960217,1.1428571428571428,0.6875,0.8780487804878049,1.5,1.2222222222222223,1.3373493975903614,1.2589285714285714,1.1470588235294117,1.0890410958904109,0.96,0.84,D
Tottenham,Aston Villa,N Swarbrick,15620.0,6.0,1.3,3.0,2.0,0.0,4.0,1.0,2.0,2.0,-3.0,17.150223938129443,0.74822695035461,0.5594059405940595,2.0,7.0,83.0,64.0,50.0,35.0,247.49999999999991,226.60000000000028,422.0,339.0,564.0,606.0,7.0,4.0,11.0,9.0,45.0,49.0,5.0,2.0,67.0,54.0,110.0,104.0,126.0,131.0,131.0,64.0,266.0,138.0,71.0,85.0,13.0,18.0,1.296875,1.4285714285714286,1.092233009708736,1.2448377581120944,0.9306930693069307,1.75,1.2222222222222223,0.9183673469387755,2.5,1.2407407407407407,1.0576923076923077,0.9618320610687023,2.046875,1.9275362318840579,0.8352941176470589,0.7222222222222222,H
Liverpool,Stoke,L Mason,15620.0,-2.0,0.9090909090909091,1.0,2.0,2.0,0.0,1.0,3.0,1.0,1.0,-5.982282629651053,0.7311028500619579,0.5662188099808061,2.0,8.0,75.0,50.0,39.0,26.0,286.7000000000002,177.70000000000007,590.0,295.0,807.0,521.0,4.0,5.0,9.0,8.0,51.0,33.0,3.0,2.0,67.0,41.0,104.0,114.0,141.0,156.0,61.0,113.0,119.0,178.0,63.0,79.0,13.0,22.0,1.5,1.5,1.6133933595948233,2.0,1.5489443378119,0.8,1.125,1.5454545454545454,1.5,1.6341463414634145,0.9122807017543859,0.9038461538461539,0.5398230088495575,0.6685393258426966,0.7974683544303798,0.5909090909090909,D
Newcastle,Man United,H Webb,15620.0,-3.0,0.8888888888888888,1.0,3.0,1.0,-1.0,4.0,0.0,1.0,6.0,-7.811398601398597,0.5773584905660377,0.7926689576174112,2.0,4.0,62.0,78.0,29.0,42.0,246.3,289.10000000000014,306.0,692.0,530.0,873.0,4.0,13.0,10.0,7.0,42.0,48.0,5.0,8.0,50.0,60.0,90.0,114.0,120.0,155.0,122.0,74.0,254.0,151.0,44.0,58.0,16.0,18.0,0.7948717948717948,0.6904761904761905,0.8519543410584569,0.4421965317919075,0.6071019473081328,0.3076923076923077,1.4285714285714286,0.875,0.625,0.8333333333333334,0.7894736842105263,0.7741935483870968,1.6486486486486487,1.6821192052980132,0.7586206896551724,0.8888888888888888,A
Norwich,Arsenal,L Probert,15633.0,-9.0,0.6538461538461539,0.0,2.0,3.0,-7.0,3.0,1.0,1.0,8.0,-21.304636925358007,0.5768621236133122,0.7801932367149759,14.0,13.0,55.0,75.0,32.0,42.0,198.5000000000002,275.90000000000003,364.0,646.0,631.0,828.0,4.0,9.0,13.0,10.0,43.0,45.0,3.0,7.0,51.0,68.0,85.0,127.0,134.0,170.0,67.0,66.0,163.0,141.0,47.0,92.0,27.0,13.0,0.7333333333333333,0.7619047619047619,0.7194635737586088,0.5634674922600619,0.7620772946859904,0.4444444444444444,1.3,0.9555555555555556,0.42857142857142855,0.75,0.6692913385826772,0.788235294117647,1.0151515151515151,1.1560283687943262,0.5108695652173914,2.076923076923077,H
West Ham,Southampton,N Swarbrick,15633.0,7.0,1.3888888888888888,2.0,2.0,1.0,2.0,1.0,1.0,3.0,-5.0,12.800160517232129,0.6115214180206795,0.6478076379066479,13.0,13.0,70.0,57.0,40.0,24.0,238.30000000000015,244.99999999999974,414.0,458.0,677.0,707.0,7.0,10.0,7.0,9.0,54.0,35.0,5.0,8.0,64.0,53.0,101.0,121.0,129.0,149.0,121.0,85.0,209.0,186.0,50.0,91.0,23.0,21.0,1.2280701754385965,1.6666666666666667,0.9726530612244915,0.9039301310043668,0.9575671852899575,0.7,0.7777777777777778,1.542857142857143,0.625,1.2075471698113207,0.8347107438016529,0.8657718120805369,1.423529411764706,1.1236559139784945,0.5494505494505495,1.0952380952380953,H
