home,away,Referee,time,HRestTime,ARestTime,HS_Acc,AS_Acc,HST_Acc,AST_Acc,H_Poss_Acc,A_Poss_Acc,H_atkPass_tot_Acc,A_atkPass_tot_Acc,H_atkPass_Ok_Acc,A_atkPass_OK_Acc,H_ins_Acc,A_ins_Acc,HAccP - AAccP,H/A,HWin,HDraw,HLose,H goal Diff,AWin,ADraw,ALose,A goal diff,moraldiff + h-a,y
Swansea,Wigan,M Jones,15633.0,14.0,14.0,75.0,53.0,42.0,27.0,302.7000000000002,276.4000000000001,696.0,605.0,512.0,408.0,57.0,56.0,3.0,1.1578947368421053,0.0,2.0,3.0,-7.0,0.0,2.0,3.0,-6.0,0.17885702398287862,H
Man United,Stoke,A Taylor,15633.0,13.0,13.0,70.0,48.0,40.0,25.0,283.7000000000001,181.50000000000009,738.0,519.0,550.0,291.0,59.0,80.0,7.0,1.3181818181818181,4.0,0.0,1.0,8.0,1.0,3.0,1.0,1.0,9.43603063603063,H
Fulham,Aston Villa,C Foy,15633.0,13.0,13.0,70.0,65.0,44.0,37.0,241.29999999999993,231.50000000000026,605.0,624.0,433.0,358.0,105.0,79.0,5.0,1.263157894736842,2.0,1.0,2.0,0.0,1.0,2.0,2.0,-3.0,5.668870508949933,H
Liverpool,Reading,R East,15633.0,13.0,14.0,76.0,41.0,36.0,21.0,300.9000000000002,193.70000000000005,852.0,602.0,628.0,334.0,66.0,82.0,2.0,1.1111111111111112,1.0,2.0,2.0,0.0,0.0,2.0,3.0,-5.0,7.88105415433791,H
Tottenham,Chelsea,M Dean,15633.0,13.0,14.0,88.0,71.0,50.0,42.0,244.39999999999992,277.0,567.0,905.0,437.0,684.0,80.0,52.0,-5.0,0.8484848484848485,4.0,1.0,0.0,6.0,4.0,1.0,0.0,7.0,-2.726578018858337,A
QPR,Everton,J Moss,15634.0,15.0,15.0,54.0,92.0,32.0,54.0,255.10000000000028,271.7999999999999,615.0,849.0,390.0,628.0,69.0,70.0,-12.0,0.5714285714285714,0.0,1.0,4.0,-5.0,2.0,2.0,1.0,3.0,-23.516766795370913,D
Sunderland,Newcastle,M Atkinson,15634.0,15.0,14.0,33.0,64.0,21.0,27.0,198.29999999999993,244.3,434.0,556.0,282.0,330.0,74.0,49.0,-1.0,0.9565217391304348,1.0,3.0,1.0,-2.0,1.0,3.0,1.0,-2.0,-0.22546897546898848,D
Man City,Swansea,M Atkinson,15640.0,2.0,7.0,97.0,79.0,62.0,43.0,295.10000000000014,286.50000000000017,844.0,681.0,641.0,478.0,55.0,70.0,7.0,1.2916666666666667,3.0,2.0,0.0,5.0,1.0,1.0,3.0,-6.0,24.280384791655216,H
Arsenal,QPR,A Taylor,15640.0,2.0,6.0,77.0,59.0,42.0,33.0,300.9000000000001,272.00000000000017,898.0,647.0,719.0,426.0,85.0,76.0,9.0,1.5625,2.0,1.0,2.0,5.0,0.0,2.0,3.0,-3.0,12.05477881715576,H
Stoke,Sunderland,M Halsey,15640.0,7.0,6.0,40.0,45.0,23.0,24.0,186.20000000000005,227.59999999999994,512.0,475.0,277.0,318.0,74.0,76.0,-1.0,0.9545454545454546,1.0,2.0,2.0,-1.0,1.0,3.0,1.0,-2.0,-3.4542891973926366,D
Reading,Fulham,M Jones,15640.0,7.0,7.0,42.0,73.0,21.0,39.0,208.50000000000003,237.09999999999988,647.0,629.0,353.0,445.0,83.0,104.0,-9.0,0.6538461538461539,0.0,2.0,3.0,-4.0,3.0,1.0,1.0,4.0,-20.955003450655624,D
Wigan,West Ham,J Moss,15640.0,7.0,7.0,54.0,62.0,29.0,36.0,260.1000000000001,231.90000000000015,572.0,657.0,383.0,380.0,62.0,54.0,-9.0,0.6666666666666666,0.0,1.0,4.0,-7.0,2.0,2.0,1.0,2.0,-21.331831505641574,H
Aston Villa,Norwich,P Dowd,15640.0,7.0,6.0,61.0,52.0,32.0,31.0,232.50000000000026,188.1000000000002,649.0,597.0,360.0,347.0,81.0,48.0,-1.0,0.9473684210526315,1.0,1.0,3.0,-4.0,1.0,1.0,3.0,-6.0,-2.2935666558881476,D
Newcastle,West Brom,C Foy,15641.0,2.0,8.0,58.0,62.0,28.0,35.0,227.1,221.29999999999995,513.0,563.0,286.0,369.0,54.0,35.0,-4.0,0.8518518518518519,1.0,3.0,1.0,-2.0,2.0,1.0,2.0,-2.0,0.2202479554428649,H
Chelsea,Man United,M Clattenburg,15641.0,4.0,4.0,71.0,65.0,43.0,39.0,282.3,292.8000000000001,890.0,758.0,670.0,568.0,53.0,52.0,4.0,1.1290322580645162,4.0,1.0,0.0,7.0,4.0,0.0,1.0,9.0,7.525797534974394,A
Everton,Liverpool,A Marriner,15641.0,7.0,2.0,90.0,82.0,53.0,41.0,259.0999999999999,304.7000000000002,822.0,851.0,598.0,625.0,70.0,70.0,6.0,1.2727272727272727,2.0,3.0,0.0,5.0,2.0,2.0,1.0,3.0,7.479352226720639,D
Southampton,Tottenham,L Mason,15641.0,8.0,2.0,53.0,96.0,20.0,57.0,261.19999999999976,224.99999999999991,687.0,512.0,444.0,384.0,79.0,94.0,-10.0,0.6296296296296297,1.0,1.0,3.0,-7.0,4.0,0.0,1.0,4.0,-20.51406494613655,A
West Ham,Man City,H Webb,15647.0,7.0,6.0,68.0,92.0,43.0,56.0,226.40000000000012,282.60000000000014,685.0,848.0,424.0,641.0,56.0,66.0,-7.0,0.7878787878787878,2.0,1.0,2.0,1.0,4.0,1.0,0.0,6.0,-21.239687924854774,D
Swansea,Chelsea,K Friend,15647.0,2.0,2.0,78.0,72.0,43.0,45.0,274.9000000000002,283.7,644.0,880.0,451.0,660.0,80.0,54.0,-11.0,0.6764705882352942,1.0,1.0,3.0,-5.0,4.0,0.0,1.0,6.0,-22.183323221087402,D
Norwich,Stoke,A Marriner,15647.0,2.0,7.0,46.0,47.0,23.0,26.0,197.7000000000002,204.60000000000005,646.0,542.0,397.0,318.0,53.0,67.0,-2.0,0.9047619047619048,1.0,1.0,3.0,-6.0,1.0,2.0,2.0,-1.0,-4.897785717051189,H
Tottenham,Wigan,M Atkinson,15647.0,2.0,3.0,85.0,63.0,50.0,38.0,214.99999999999986,266.70000000000005,453.0,612.0,333.0,425.0,103.0,64.0,9.0,1.45,4.0,0.0,1.0,3.0,1.0,1.0,3.0,-2.0,18.955533914343974,A
Sunderland,Aston Villa,M Jones,15647.0,3.0,3.0,45.0,51.0,23.0,24.0,241.29999999999995,231.90000000000032,505.0,584.0,329.0,306.0,72.0,81.0,4.0,1.2222222222222223,1.0,3.0,1.0,-2.0,0.0,2.0,3.0,-6.0,13.477463549522373,A
Fulham,Everton,N Swarbrick,15647.0,7.0,6.0,66.0,90.0,33.0,51.0,239.99999999999991,256.99999999999994,592.0,813.0,401.0,589.0,97.0,82.0,-2.0,0.9285714285714286,2.0,2.0,1.0,1.0,2.0,3.0,0.0,5.0,-5.710045389393208,D
Man United,Arsenal,M Dean,15647.0,2.0,3.0,63.0,78.0,36.0,41.0,291.9000000000001,317.4000000000001,734.0,945.0,550.0,757.0,52.0,84.0,6.0,1.2222222222222223,4.0,0.0,1.0,6.0,2.0,1.0,2.0,1.0,14.026375392802798,H
Liverpool,Newcastle,A Taylor,15648.0,3.0,7.0,74.0,57.0,37.0,27.0,282.6000000000002,235.8,800.0,531.0,576.0,312.0,75.0,60.0,-3.0,0.88,2.0,2.0,1.0,3.0,2.0,2.0,1.0,-1.0,-2.2417806830850324,D
QPR,Reading,M Oliver,15648.0,8.0,4.0,53.0,53.0,30.0,28.0,252.80000000000018,200.3,611.0,637.0,400.0,340.0,78.0,87.0,-2.0,0.8823529411764706,0.0,1.0,4.0,-4.0,0.0,3.0,2.0,-2.0,-7.982414872708995,D
West Brom,Southampton,M Halsey,15649.0,8.0,5.0,60.0,55.0,31.0,22.0,233.89999999999992,263.49999999999983,585.0,724.0,374.0,474.0,46.0,78.0,10.0,1.625,2.0,1.0,2.0,0.0,1.0,1.0,3.0,-3.0,9.889459271118582,H
Stoke,QPR,M Atkinson,15654.0,7.0,6.0,42.0,67.0,23.0,36.0,220.70000000000007,252.2000000000002,607.0,574.0,347.0,382.0,73.0,81.0,5.0,1.3333333333333333,1.0,2.0,2.0,-1.0,0.0,2.0,3.0,-3.0,8.063263542265364,H
Wigan,West Brom,N Swarbrick,15654.0,7.0,4.0,52.0,67.0,33.0,33.0,252.00000000000003,224.49999999999991,541.0,586.0,359.0,385.0,71.0,52.0,-6.0,0.7857142857142857,2.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,0.717000040124006,A
Southampton,Swansea,A Marriner,15654.0,4.0,7.0,52.0,69.0,23.0,39.0,259.5999999999998,278.6000000000002,677.0,679.0,438.0,497.0,72.0,79.0,-8.0,0.6521739130434783,0.0,1.0,4.0,-8.0,1.0,2.0,2.0,-2.0,-13.868788227511924,D
Aston Villa,Man United,K Friend,15654.0,7.0,2.0,52.0,66.0,28.0,39.0,236.70000000000027,291.60000000000014,600.0,727.0,337.0,539.0,73.0,55.0,-15.0,0.5714285714285714,1.0,2.0,2.0,-2.0,4.0,0.0,1.0,6.0,-20.944641049841277,A
