home,away,Referee,time,HAccP - AAccP,H/A,HWin,HDraw,HLose,H goal Diff,AWin,ADraw,ALose,A goal diff,moraldiff + h-a,H_Enemy_Acc,A_Enemy_Acc,HRestDay,ARestDay,HS_Acc,AS_Acc,HST_Acc,AST_Acc,H_poss_Acc,A_poss_Acc,H_atk_3rd_Acc,A_atk_3rd_Acc,H_atk_3rd_tot_Acc,A_atk_3rd_tot_Acc,H_red_goal_Acc,A_red_goal_Acc,H_red_on_Acc,A_red_on_Acc,H_red_tot_Acc,A_red_tot_Acc,H_chance_goal_Acc,A_chance_goal_Acc,H_chance_tot_Acc,A_chance_tot_Acc,H_successful_tackle_Acc,A_successful_tackle_Acc,H_tackle_tot_Acc,A_tackle_tot_Acc,H_successful_clearance_Acc,A_successful_clearance_Acc,H_clearance_tot_Acc,A_clearance_tot_Acc,H_interceptions_Acc,A_interceptions_Acc,H_blocks_Acc,A_blocks_Acc,H_atk_3rd_Acc/H_atk_3rd_tot_Acc,H_red_goal_Acc/H_red_tot_Acc,H_red_on_Acc/H_red_tot_Acc,H_chance_goal_Acc/H_chance_tot_Acc,H_successful_tackle_Acc/H_tackle_tot_Acc,H_successful_clearance_Acc/H_clearance_tot_Acc,A_atk_3rd_Acc/A_atk_3rd_tot_Acc,A_red_goal_Acc/A_red_tot_Acc,A_red_on_Acc/A_red_tot_Acc,A_chance_goal_Acc/A_chance_tot_Acc,A_successful_tackle_Acc/A_tackle_tot_Acc,A_successful_clearance_Acc/A_clearance_tot_Acc,y
Man City,Man United,M Atkinson,15683.0,-3.0,0.9285714285714286,3.0,2.0,0.0,8.0,4.0,0.0,1.0,4.0,3.6748076840182122,126.0,93.0,4.0,3.0,72.0,76.0,35.0,44.0,299.7999999999999,318.60000000000014,760.0,732.0,986.0,947.0,9.0,10.0,16.0,8.0,55.0,49.0,4.0,8.0,59.0,73.0,99.0,84.0,121.0,104.0,73.0,99.0,138.0,186.0,69.0,68.0,13.0,14.0,0.77079107505071,0.16363636363636364,0.2909090909090909,0.06779661016949153,0.8181818181818182,0.5289855072463768,0.7729672650475184,0.20408163265306123,0.16326530612244897,0.1095890410958904,0.8076923076923077,0.532258064516129,A
West Ham,Liverpool,L Probert,15683.0,3.0,1.12,2.0,1.0,2.0,0.0,2.0,2.0,1.0,3.0,-0.24191607400989312,139.0,122.0,8.0,2.0,61.0,90.0,38.0,50.0,224.90000000000006,285.2000000000002,373.0,602.0,618.0,810.0,6.0,5.0,14.0,16.0,52.0,57.0,3.0,4.0,43.0,64.0,92.0,106.0,125.0,142.0,120.0,48.0,230.0,98.0,51.0,65.0,17.0,14.0,0.6035598705501618,0.11538461538461539,0.2692307692307692,0.06976744186046512,0.736,0.5217391304347826,0.7432098765432099,0.08771929824561403,0.2807017543859649,0.0625,0.7464788732394366,0.4897959183673469,A
Everton,Tottenham,K Friend,15683.0,-3.0,0.90625,1.0,3.0,1.0,0.0,3.0,0.0,2.0,2.0,-5.482028012555393,123.0,130.0,8.0,2.0,73.0,61.0,45.0,32.0,264.29999999999995,220.89999999999992,539.0,265.0,791.0,443.0,5.0,7.0,15.0,9.0,46.0,30.0,3.0,9.0,52.0,50.0,82.0,106.0,111.0,143.0,75.0,130.0,181.0,238.0,72.0,88.0,12.0,17.0,0.6814159292035398,0.10869565217391304,0.32608695652173914,0.057692307692307696,0.7387387387387387,0.4143646408839779,0.5981941309255079,0.23333333333333334,0.3,0.18,0.7412587412587412,0.5462184873949579,H
Fulham,Newcastle,L Mason,15684.0,0.0,1.0,0.0,2.0,3.0,-6.0,1.0,0.0,4.0,-2.0,2.4897827875449323,126.0,106.0,9.0,3.0,51.0,72.0,32.0,36.0,238.7,250.50000000000009,409.0,348.0,586.0,597.0,4.0,4.0,9.0,18.0,30.0,42.0,3.0,1.0,46.0,59.0,92.0,108.0,121.0,134.0,97.0,91.0,209.0,207.0,105.0,69.0,18.0,12.0,0.6979522184300341,0.13333333333333333,0.3,0.06521739130434782,0.7603305785123967,0.46411483253588515,0.5829145728643216,0.09523809523809523,0.42857142857142855,0.01694915254237288,0.8059701492537313,0.4396135265700483,H
Sunderland,Reading,N Swarbrick,15685.0,4.0,1.2666666666666666,1.0,1.0,3.0,-3.0,1.0,0.0,4.0,-3.0,6.292347156253797,120.0,121.0,3.0,3.0,74.0,55.0,45.0,29.0,245.59999999999994,194.40000000000003,412.0,323.0,634.0,550.0,4.0,6.0,10.0,11.0,30.0,42.0,5.0,4.0,44.0,50.0,84.0,74.0,117.0,91.0,60.0,115.0,125.0,218.0,74.0,73.0,18.0,19.0,0.6498422712933754,0.13333333333333333,0.3333333333333333,0.11363636363636363,0.717948717948718,0.48,0.5872727272727273,0.14285714285714285,0.2619047619047619,0.08,0.8131868131868132,0.5275229357798165,H
QPR,Fulham,M Atkinson,15689.0,-13.0,0.48,0.0,3.0,2.0,-4.0,1.0,1.0,3.0,-5.0,-6.4659090909090935,107.0,123.0,7.0,4.0,61.0,58.0,38.0,34.0,231.90000000000015,240.4,370.0,435.0,542.0,632.0,5.0,3.0,11.0,10.0,36.0,33.0,4.0,3.0,51.0,53.0,122.0,103.0,153.0,132.0,89.0,96.0,193.0,206.0,91.0,105.0,17.0,23.0,0.6826568265682657,0.1388888888888889,0.3055555555555556,0.0784313725490196,0.7973856209150327,0.46113989637305697,0.6882911392405063,0.09090909090909091,0.30303030303030304,0.05660377358490566,0.7803030303030303,0.46601941747572817,H
Liverpool,Aston Villa,N Swarbrick,15689.0,7.0,1.35,3.0,1.0,1.0,4.0,1.0,3.0,1.0,-4.0,9.245151201455553,116.0,116.0,5.0,3.0,97.0,51.0,53.0,31.0,289.7000000000002,227.7000000000003,620.0,367.0,847.0,588.0,6.0,1.0,15.0,6.0,62.0,30.0,6.0,2.0,69.0,42.0,97.0,104.0,129.0,135.0,57.0,122.0,120.0,245.0,62.0,79.0,14.0,14.0,0.731995277449823,0.0967741935483871,0.24193548387096775,0.08695652173913043,0.751937984496124,0.475,0.6241496598639455,0.03333333333333333,0.2,0.047619047619047616,0.7703703703703704,0.49795918367346936,A
Newcastle,Man City,A Marriner,15689.0,-16.0,0.5789473684210527,1.0,0.0,4.0,-2.0,2.0,2.0,1.0,6.0,-28.20138087414302,103.0,140.0,4.0,6.0,78.0,72.0,40.0,38.0,255.40000000000003,294.1,369.0,751.0,620.0,972.0,4.0,9.0,14.0,18.0,42.0,56.0,2.0,4.0,61.0,61.0,106.0,98.0,135.0,126.0,96.0,71.0,217.0,138.0,76.0,73.0,11.0,14.0,0.5951612903225807,0.09523809523809523,0.3333333333333333,0.03278688524590164,0.7851851851851852,0.4423963133640553,0.772633744855967,0.16071428571428573,0.32142857142857145,0.06557377049180328,0.7777777777777778,0.5144927536231884,A
Norwich,Wigan,L Probert,15689.0,7.0,1.35,3.0,2.0,0.0,3.0,1.0,1.0,3.0,-7.0,24.789221389656177,130.0,106.0,3.0,7.0,44.0,60.0,27.0,31.0,204.80000000000015,270.2000000000001,385.0,410.0,621.0,548.0,7.0,5.0,5.0,9.0,25.0,37.0,6.0,3.0,38.0,47.0,73.0,107.0,116.0,147.0,96.0,63.0,190.0,123.0,62.0,97.0,14.0,14.0,0.6199677938808373,0.28,0.2,0.15789473684210525,0.6293103448275862,0.5052631578947369,0.7481751824817519,0.13513513513513514,0.24324324324324326,0.06382978723404255,0.7278911564625851,0.5121951219512195,H
Stoke,Everton,M Halsey,15689.0,-3.0,0.9032258064516129,3.0,2.0,0.0,3.0,1.0,3.0,1.0,0.0,7.834120747406757,123.0,134.0,7.0,6.0,42.0,74.0,18.0,46.0,221.00000000000009,251.29999999999995,372.0,500.0,630.0,750.0,5.0,5.0,6.0,14.0,27.0,47.0,5.0,2.0,34.0,48.0,93.0,88.0,120.0,119.0,123.0,72.0,219.0,181.0,65.0,73.0,20.0,16.0,0.5904761904761905,0.18518518518518517,0.2222222222222222,0.14705882352941177,0.775,0.5616438356164384,0.6666666666666666,0.10638297872340426,0.2978723404255319,0.041666666666666664,0.7394957983193278,0.39779005524861877,D
Man United,Sunderland,C Foy,15689.0,23.0,2.0952380952380953,4.0,0.0,1.0,4.0,1.0,1.0,3.0,-2.0,28.726693091424217,112.0,109.0,6.0,3.0,68.0,78.0,40.0,47.0,292.9000000000001,244.19999999999996,642.0,395.0,861.0,618.0,10.0,5.0,7.0,11.0,45.0,36.0,8.0,4.0,62.0,48.0,98.0,93.0,132.0,126.0,95.0,80.0,188.0,157.0,75.0,73.0,15.0,16.0,0.7456445993031359,0.2222222222222222,0.15555555555555556,0.12903225806451613,0.7424242424242424,0.5053191489361702,0.63915857605178,0.1388888888888889,0.3055555555555556,0.08333333333333333,0.7380952380952381,0.5095541401273885,H
Tottenham,Swansea,M Dean,15690.0,3.0,1.1071428571428572,3.0,0.0,2.0,2.0,3.0,1.0,1.0,4.0,-3.02507753449283,126.0,130.0,7.0,3.0,63.0,78.0,36.0,45.0,233.19999999999993,276.50000000000017,308.0,494.0,471.0,633.0,6.0,10.0,9.0,11.0,30.0,53.0,9.0,6.0,53.0,62.0,109.0,101.0,143.0,142.0,135.0,86.0,248.0,198.0,79.0,86.0,23.0,15.0,0.6539278131634819,0.2,0.3,0.16981132075471697,0.7622377622377622,0.5443548387096774,0.7804107424960506,0.18867924528301888,0.20754716981132076,0.0967741935483871,0.7112676056338029,0.43434343434343436,H
West Brom,West Ham,P Dowd,15690.0,4.0,1.1481481481481481,2.0,0.0,3.0,-2.0,1.0,1.0,3.0,-2.0,2.1481937214831923,129.0,139.0,8.0,6.0,46.0,60.0,27.0,39.0,219.79999999999984,213.30000000000007,376.0,401.0,582.0,643.0,6.0,6.0,6.0,14.0,26.0,47.0,4.0,3.0,38.0,43.0,102.0,95.0,138.0,121.0,91.0,99.0,187.0,199.0,53.0,55.0,21.0,20.0,0.6460481099656358,0.23076923076923078,0.23076923076923078,0.10526315789473684,0.7391304347826086,0.48663101604278075,0.6236391912908242,0.1276595744680851,0.2978723404255319,0.06976744186046512,0.7851239669421488,0.49748743718592964,D
Reading,Arsenal,A Taylor,15691.0,-15.0,0.4827586206896552,0.0,0.0,5.0,-7.0,2.0,2.0,1.0,3.0,-32.39848820769873,110.0,128.0,5.0,5.0,55.0,64.0,30.0,40.0,205.50000000000003,297.30000000000007,329.0,684.0,584.0,883.0,4.0,8.0,12.0,7.0,45.0,42.0,3.0,5.0,50.0,52.0,79.0,95.0,100.0,121.0,109.0,67.0,205.0,125.0,68.0,81.0,17.0,15.0,0.5633561643835616,0.08888888888888889,0.26666666666666666,0.06,0.79,0.5317073170731708,0.7746319365798414,0.19047619047619047,0.16666666666666666,0.09615384615384616,0.7851239669421488,0.536,A
Tottenham,Stoke,L Mason,15696.0,5.0,1.1785714285714286,4.0,0.0,1.0,6.0,3.0,2.0,0.0,3.0,0.8133186057546382,128.0,126.0,6.0,7.0,81.0,44.0,48.0,20.0,248.89999999999992,227.70000000000005,400.0,379.0,560.0,639.0,6.0,5.0,11.0,7.0,39.0,30.0,8.0,5.0,71.0,38.0,110.0,91.0,137.0,117.0,127.0,98.0,232.0,174.0,101.0,71.0,20.0,21.0,0.7142857142857143,0.15384615384615385,0.28205128205128205,0.11267605633802817,0.8029197080291971,0.5474137931034483,0.593114241001565,0.16666666666666666,0.23333333333333334,0.13157894736842105,0.7777777777777778,0.5632183908045977,D
Liverpool,Fulham,M Clattenburg,15696.0,2.0,1.0833333333333333,2.0,1.0,2.0,-1.0,1.0,1.0,3.0,-4.0,9.94258987389422,115.0,115.0,7.0,7.0,101.0,46.0,59.0,24.0,312.9000000000001,246.2,713.0,396.0,954.0,589.0,4.0,2.0,18.0,5.0,66.0,23.0,4.0,3.0,70.0,40.0,85.0,97.0,118.0,128.0,59.0,93.0,118.0,197.0,54.0,96.0,13.0,24.0,0.7473794549266247,0.06060606060606061,0.2727272727272727,0.05714285714285714,0.7203389830508474,0.5,0.6723259762308998,0.08695652173913043,0.21739130434782608,0.075,0.7578125,0.4720812182741117,H
Southampton,Sunderland,H Webb,15696.0,0.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,3.0,-2.0,11.363854634843335,94.0,121.0,14.0,7.0,72.0,72.0,40.0,45.0,261.29999999999984,233.69999999999993,493.0,367.0,774.0,588.0,5.0,5.0,11.0,10.0,43.0,34.0,3.0,5.0,54.0,46.0,141.0,99.0,171.0,135.0,103.0,79.0,189.0,161.0,84.0,83.0,9.0,16.0,0.6369509043927648,0.11627906976744186,0.2558139534883721,0.05555555555555555,0.8245614035087719,0.544973544973545,0.6241496598639455,0.14705882352941177,0.29411764705882354,0.10869565217391304,0.7333333333333333,0.4906832298136646,A
Man City,Reading,M Dean,15696.0,27.0,3.076923076923077,2.0,2.0,1.0,3.0,0.0,0.0,5.0,-9.0,40.1287568201815,143.0,119.0,7.0,4.0,67.0,46.0,40.0,25.0,273.8,205.2,604.0,312.0,811.0,557.0,7.0,5.0,17.0,10.0,50.0,38.0,5.0,4.0,56.0,43.0,110.0,76.0,144.0,104.0,89.0,98.0,181.0,189.0,71.0,63.0,11.0,19.0,0.7447595561035758,0.14,0.34,0.08928571428571429,0.7638888888888888,0.49171270718232046,0.5601436265709157,0.13157894736842105,0.2631578947368421,0.09302325581395349,0.7307692307692307,0.5185185185185185,H
West Brom,Norwich,M Atkinson,15696.0,2.0,1.0689655172413792,1.0,1.0,3.0,-3.0,3.0,2.0,0.0,3.0,-17.038089300056345,122.0,113.0,5.0,7.0,57.0,50.0,31.0,32.0,239.7999999999999,215.30000000000013,389.0,397.0,590.0,646.0,4.0,8.0,5.0,8.0,28.0,30.0,2.0,7.0,48.0,41.0,91.0,82.0,122.0,121.0,92.0,82.0,178.0,163.0,55.0,67.0,16.0,13.0,0.6593220338983051,0.14285714285714285,0.17857142857142858,0.041666666666666664,0.7459016393442623,0.5168539325842697,0.6145510835913313,0.26666666666666666,0.26666666666666666,0.17073170731707318,0.6776859504132231,0.5030674846625767,H
West Ham,Everton,A Taylor,15696.0,-4.0,0.8709677419354839,1.0,1.0,3.0,-2.0,1.0,4.0,0.0,1.0,-15.083526632197078,148.0,145.0,5.0,7.0,54.0,62.0,30.0,40.0,200.00000000000009,242.2,380.0,486.0,632.0,737.0,5.0,4.0,10.0,12.0,43.0,41.0,2.0,2.0,42.0,42.0,99.0,99.0,129.0,128.0,96.0,69.0,203.0,184.0,60.0,70.0,25.0,17.0,0.6012658227848101,0.11627906976744186,0.23255813953488372,0.047619047619047616,0.7674418604651163,0.4729064039408867,0.6594301221166893,0.0975609756097561,0.2926829268292683,0.047619047619047616,0.7734375,0.375,A
Wigan,Arsenal,J Moss,15696.0,-12.0,0.6129032258064516,1.0,1.0,3.0,-5.0,2.0,2.0,1.0,3.0,-19.127297741090842,111.0,115.0,7.0,4.0,63.0,76.0,34.0,47.0,270.9000000000001,298.6,395.0,708.0,530.0,914.0,5.0,8.0,11.0,10.0,42.0,50.0,4.0,6.0,52.0,64.0,106.0,96.0,139.0,128.0,59.0,66.0,121.0,118.0,105.0,79.0,11.0,17.0,0.7452830188679245,0.11904761904761904,0.2619047619047619,0.07692307692307693,0.762589928057554,0.48760330578512395,0.774617067833698,0.16,0.2,0.09375,0.75,0.559322033898305,A
Newcastle,QPR,K Friend,15696.0,7.0,1.5,1.0,0.0,4.0,-3.0,1.0,3.0,1.0,-1.0,-11.795665634674915,118.0,117.0,7.0,7.0,68.0,67.0,38.0,40.0,257.1,230.0000000000002,359.0,382.0,618.0,569.0,4.0,4.0,12.0,10.0,33.0,36.0,3.0,4.0,54.0,51.0,108.0,107.0,144.0,136.0,101.0,91.0,221.0,186.0,72.0,98.0,12.0,11.0,0.580906148867314,0.12121212121212122,0.36363636363636365,0.05555555555555555,0.75,0.45701357466063347,0.671353251318102,0.1111111111111111,0.2777777777777778,0.0784313725490196,0.7867647058823529,0.489247311827957,H
Swansea,Man United,M Oliver,15697.0,-19.0,0.5869565217391305,2.0,1.0,2.0,2.0,5.0,0.0,0.0,7.0,-25.74601105647795,137.0,112.0,7.0,8.0,67.0,71.0,36.0,37.0,278.6000000000002,292.10000000000014,470.0,607.0,617.0,817.0,8.0,13.0,8.0,6.0,42.0,51.0,5.0,10.0,51.0,62.0,97.0,96.0,131.0,131.0,62.0,105.0,157.0,205.0,94.0,68.0,20.0,17.0,0.7617504051863857,0.19047619047619047,0.19047619047619047,0.09803921568627451,0.7404580152671756,0.39490445859872614,0.7429620563035496,0.2549019607843137,0.11764705882352941,0.16129032258064516,0.732824427480916,0.5121951219512195,D
Chelsea,Aston Villa,P Dowd,15697.0,12.0,1.5454545454545454,1.0,2.0,2.0,-1.0,2.0,3.0,0.0,3.0,-2.0897630147630117,132.0,108.0,3.0,8.0,68.0,50.0,40.0,29.0,279.2,222.2000000000003,656.0,386.0,876.0,618.0,5.0,3.0,9.0,5.0,31.0,30.0,3.0,4.0,46.0,40.0,92.0,103.0,120.0,133.0,98.0,126.0,171.0,270.0,62.0,82.0,15.0,22.0,0.7488584474885844,0.16129032258064516,0.2903225806451613,0.06521739130434782,0.7666666666666667,0.5730994152046783,0.6245954692556634,0.1,0.16666666666666666,0.1,0.7744360902255639,0.4666666666666667,H
Stoke,Liverpool,H Webb,15700.0,0.0,1.0,2.0,3.0,0.0,2.0,3.0,0.0,2.0,3.0,7.571629240324896,134.0,114.0,4.0,3.0,36.0,102.0,19.0,57.0,224.20000000000007,318.00000000000017,336.0,688.0,594.0,935.0,4.0,8.0,7.0,16.0,24.0,69.0,4.0,8.0,29.0,78.0,97.0,94.0,124.0,128.0,109.0,57.0,190.0,108.0,74.0,56.0,26.0,8.0,0.5656565656565656,0.16666666666666666,0.2916666666666667,0.13793103448275862,0.782258064516129,0.5736842105263158,0.7358288770053476,0.11594202898550725,0.2318840579710145,0.10256410256410256,0.734375,0.5277777777777778,H
QPR,West Brom,C Foy,15700.0,-20.0,0.3939393939393939,1.0,3.0,1.0,0.0,1.0,1.0,3.0,-4.0,-2.900838158257514,102.0,129.0,4.0,4.0,62.0,58.0,38.0,33.0,233.9000000000002,238.39999999999984,347.0,363.0,532.0,557.0,3.0,3.0,10.0,7.0,33.0,27.0,4.0,1.0,44.0,47.0,105.0,86.0,139.0,114.0,103.0,90.0,210.0,178.0,83.0,47.0,15.0,15.0,0.6522556390977443,0.09090909090909091,0.30303030303030304,0.09090909090909091,0.7553956834532374,0.49047619047619045,0.651705565529623,0.1111111111111111,0.25925925925925924,0.02127659574468085,0.7543859649122807,0.5056179775280899,A
Sunderland,Man City,K Friend,15700.0,-20.0,0.5238095238095238,2.0,0.0,3.0,-1.0,3.0,1.0,1.0,4.0,-23.13102891089162,129.0,123.0,4.0,4.0,69.0,73.0,43.0,43.0,225.89999999999992,289.4000000000001,359.0,728.0,588.0,923.0,6.0,8.0,8.0,15.0,35.0,58.0,6.0,6.0,47.0,66.0,94.0,87.0,132.0,116.0,87.0,79.0,184.0,171.0,74.0,68.0,16.0,10.0,0.6105442176870748,0.17142857142857143,0.22857142857142856,0.1276595744680851,0.7121212121212122,0.47282608695652173,0.7887323943661971,0.13793103448275862,0.25862068965517243,0.09090909090909091,0.75,0.4619883040935672,H
Reading,Swansea,M Jones,15700.0,-15.0,0.4444444444444444,0.0,0.0,5.0,-9.0,2.0,1.0,2.0,2.0,-26.438500976827182,141.0,159.0,4.0,3.0,41.0,64.0,20.0,38.0,187.0,269.4000000000002,271.0,442.0,504.0,582.0,5.0,9.0,8.0,11.0,33.0,41.0,4.0,5.0,37.0,48.0,80.0,84.0,113.0,110.0,76.0,67.0,160.0,174.0,70.0,77.0,22.0,24.0,0.5376984126984127,0.15151515151515152,0.24242424242424243,0.10810810810810811,0.7079646017699115,0.475,0.7594501718213058,0.21951219512195122,0.2682926829268293,0.10416666666666667,0.7636363636363637,0.3850574712643678,D
Norwich,Chelsea,J Moss,15700.0,-8.0,0.7777777777777778,3.0,1.0,1.0,2.0,2.0,2.0,1.0,8.0,-3.3959810107574278,115.0,124.0,4.0,2.0,52.0,73.0,32.0,46.0,223.6000000000001,271.1,416.0,593.0,673.0,816.0,7.0,10.0,8.0,10.0,31.0,37.0,6.0,7.0,43.0,50.0,84.0,93.0,123.0,125.0,85.0,95.0,162.0,174.0,72.0,66.0,15.0,16.0,0.6181277860326895,0.22580645161290322,0.25806451612903225,0.13953488372093023,0.6829268292682927,0.5246913580246914,0.7267156862745098,0.2702702702702703,0.2702702702702703,0.14,0.744,0.5459770114942529,A
Everton,Wigan,L Mason,15700.0,15.0,1.8333333333333333,2.0,3.0,0.0,2.0,0.0,1.0,4.0,-7.0,32.38153437085583,149.0,123.0,4.0,4.0,63.0,57.0,39.0,28.0,246.6,254.50000000000009,489.0,349.0,732.0,469.0,5.0,2.0,9.0,8.0,39.0,31.0,2.0,2.0,44.0,48.0,103.0,111.0,134.0,147.0,69.0,46.0,187.0,96.0,70.0,109.0,16.0,10.0,0.6680327868852459,0.1282051282051282,0.23076923076923078,0.045454545454545456,0.7686567164179104,0.3689839572192513,0.744136460554371,0.06451612903225806,0.25806451612903225,0.041666666666666664,0.7551020408163265,0.4791666666666667,H
Man United,Newcastle,M Dean,15700.0,23.0,2.0,4.0,1.0,0.0,5.0,2.0,0.0,3.0,0.0,33.69791004190317,126.0,115.0,3.0,4.0,75.0,78.0,43.0,43.0,289.3000000000001,264.80000000000007,622.0,405.0,828.0,651.0,11.0,5.0,7.0,10.0,50.0,37.0,9.0,4.0,63.0,62.0,88.0,91.0,119.0,131.0,107.0,107.0,204.0,214.0,63.0,64.0,12.0,10.0,0.751207729468599,0.22,0.14,0.14285714285714285,0.7394957983193278,0.5245098039215687,0.6221198156682027,0.13513513513513514,0.2702702702702703,0.06451612903225806,0.6946564885496184,0.5,H
Fulham,Southampton,M Oliver,15700.0,4.0,1.2105263157894737,1.0,1.0,3.0,-7.0,2.0,1.0,2.0,1.0,-5.50198641153346,119.0,100.0,3.0,4.0,45.0,64.0,25.0,32.0,230.9,265.69999999999993,362.0,410.0,535.0,678.0,2.0,4.0,5.0,8.0,24.0,36.0,3.0,2.0,37.0,48.0,99.0,123.0,132.0,152.0,84.0,99.0,170.0,181.0,95.0,87.0,26.0,10.0,0.6766355140186916,0.08333333333333333,0.20833333333333334,0.08108108108108109,0.75,0.49411764705882355,0.6047197640117994,0.1111111111111111,0.2222222222222222,0.041666666666666664,0.8092105263157895,0.5469613259668509,D
Aston Villa,Tottenham,M Clattenburg,15700.0,-12.0,0.6363636363636364,2.0,2.0,1.0,-5.0,3.0,1.0,1.0,4.0,-10.110422482270284,114.0,128.0,2.0,4.0,47.0,77.0,25.0,49.0,228.2000000000003,252.69999999999993,370.0,418.0,599.0,578.0,3.0,4.0,5.0,9.0,28.0,34.0,4.0,5.0,39.0,67.0,107.0,124.0,135.0,154.0,134.0,131.0,277.0,237.0,81.0,105.0,24.0,17.0,0.6176961602671118,0.10714285714285714,0.17857142857142858,0.10256410256410256,0.7925925925925926,0.48375451263537905,0.7231833910034602,0.11764705882352941,0.2647058823529412,0.07462686567164178,0.8051948051948052,0.5527426160337553,A
Norwich,Man City,M Jones,15703.0,-14.0,0.6585365853658537,3.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,-5.640877125097617,132.0,123.0,3.0,3.0,51.0,77.0,31.0,49.0,217.90000000000006,302.00000000000006,403.0,816.0,647.0,1018.0,7.0,7.0,8.0,17.0,33.0,61.0,6.0,5.0,39.0,73.0,87.0,79.0,131.0,102.0,81.0,87.0,147.0,176.0,76.0,67.0,20.0,9.0,0.6228748068006182,0.21212121212121213,0.24242424242424243,0.15384615384615385,0.6641221374045801,0.5510204081632653,0.8015717092337917,0.11475409836065574,0.2786885245901639,0.0684931506849315,0.7745098039215687,0.4943181818181818,A
Fulham,Swansea,A Marriner,15703.0,-4.0,0.8518518518518519,1.0,1.0,3.0,-7.0,1.0,2.0,2.0,0.0,-10.662725652613448,105.0,137.0,3.0,3.0,47.0,61.0,20.0,34.0,241.2,276.7000000000002,368.0,441.0,588.0,598.0,3.0,6.0,5.0,12.0,26.0,35.0,3.0,3.0,35.0,43.0,92.0,80.0,131.0,102.0,68.0,89.0,150.0,193.0,87.0,71.0,16.0,25.0,0.6258503401360545,0.11538461538461539,0.19230769230769232,0.08571428571428572,0.7022900763358778,0.4533333333333333,0.7374581939799331,0.17142857142857143,0.34285714285714286,0.06976744186046512,0.7843137254901961,0.46113989637305697,A
Man United,West Brom,J Moss,15703.0,13.0,1.3714285714285714,4.0,1.0,0.0,5.0,2.0,1.0,2.0,-1.0,23.083499315862568,122.0,117.0,3.0,3.0,68.0,64.0,40.0,37.0,283.9000000000001,253.29999999999984,556.0,361.0,765.0,566.0,13.0,2.0,9.0,10.0,53.0,30.0,10.0,2.0,53.0,53.0,86.0,91.0,123.0,125.0,101.0,101.0,195.0,193.0,67.0,48.0,13.0,15.0,0.726797385620915,0.24528301886792453,0.16981132075471697,0.18867924528301888,0.6991869918699187,0.517948717948718,0.6378091872791519,0.06666666666666667,0.3333333333333333,0.03773584905660377,0.728,0.5233160621761658,H
Arsenal,Newcastle,C Foy,15703.0,11.0,1.5,3.0,1.0,1.0,4.0,2.0,0.0,3.0,0.0,17.0039863749102,116.0,137.0,7.0,3.0,73.0,87.0,49.0,48.0,285.6,256.30000000000007,652.0,419.0,864.0,665.0,9.0,6.0,11.0,8.0,50.0,38.0,6.0,5.0,59.0,67.0,93.0,86.0,133.0,123.0,59.0,92.0,116.0,181.0,78.0,51.0,15.0,12.0,0.7546296296296297,0.18,0.22,0.1016949152542373,0.6992481203007519,0.5086206896551724,0.6300751879699248,0.15789473684210525,0.21052631578947367,0.07462686567164178,0.6991869918699187,0.5082872928176796,H
Stoke,Southampton,M Clattenburg,15703.0,11.0,1.5789473684210527,2.0,3.0,0.0,3.0,1.0,2.0,2.0,-1.0,21.19823387901191,140.0,100.0,2.0,3.0,32.0,54.0,20.0,25.0,209.60000000000005,265.99999999999983,322.0,440.0,574.0,696.0,5.0,3.0,6.0,3.0,21.0,28.0,4.0,1.0,26.0,44.0,99.0,109.0,132.0,134.0,100.0,98.0,176.0,177.0,76.0,105.0,32.0,9.0,0.5609756097560976,0.23809523809523808,0.2857142857142857,0.15384615384615385,0.75,0.5681818181818182,0.632183908045977,0.10714285714285714,0.10714285714285714,0.022727272727272728,0.8134328358208955,0.5536723163841808,D
Sunderland,Tottenham,L Mason,15703.0,-11.0,0.6857142857142857,3.0,0.0,2.0,1.0,3.0,1.0,1.0,7.0,-7.768032751258264,148.0,125.0,3.0,2.0,65.0,83.0,43.0,58.0,208.49999999999997,276.7999999999999,339.0,469.0,551.0,646.0,6.0,7.0,9.0,10.0,34.0,42.0,6.0,7.0,47.0,77.0,100.0,101.0,145.0,130.0,83.0,111.0,186.0,201.0,70.0,100.0,21.0,8.0,0.6152450090744102,0.17647058823529413,0.2647058823529412,0.1276595744680851,0.6896551724137931,0.44623655913978494,0.7260061919504643,0.16666666666666666,0.23809523809523808,0.09090909090909091,0.7769230769230769,0.5522388059701493,A
Aston Villa,Wigan,K Friend,15703.0,3.0,1.1764705882352942,1.0,2.0,2.0,-10.0,0.0,1.0,4.0,-6.0,13.297028156326064,129.0,119.0,2.0,3.0,36.0,58.0,19.0,30.0,214.0000000000003,261.6,321.0,359.0,526.0,504.0,2.0,3.0,3.0,7.0,20.0,27.0,3.0,2.0,30.0,49.0,102.0,103.0,146.0,139.0,117.0,54.0,253.0,112.0,88.0,113.0,29.0,16.0,0.6102661596958175,0.1,0.15,0.1,0.6986301369863014,0.4624505928853755,0.7123015873015873,0.1111111111111111,0.25925925925925924,0.04081632653061224,0.7410071942446043,0.48214285714285715,A
