home,away,Referee,time,HAccP - AAccP,H/A,HWin,HDraw,HLose,H goal Diff,AWin,ADraw,ALose,A goal diff,moraldiff + h-a,H_Enemy_Acc,A_Enemy_Acc,HRestDay,ARestDay,HS_Acc,AS_Acc,HST_Acc,AST_Acc,H_poss_Acc,A_poss_Acc,H_atk_3rd_Acc,A_atk_3rd_Acc,H_atk_3rd_tot_Acc,A_atk_3rd_tot_Acc,H_red_goal_Acc,A_red_goal_Acc,H_red_on_Acc,A_red_on_Acc,H_red_tot_Acc,A_red_tot_Acc,H_chance_goal_Acc,A_chance_goal_Acc,H_chance_tot_Acc,A_chance_tot_Acc,H_successful_tackle_Acc,A_successful_tackle_Acc,H_tackle_tot_Acc,A_tackle_tot_Acc,H_successful_clearance_Acc,A_successful_clearance_Acc,H_clearance_tot_Acc,A_clearance_tot_Acc,H_interceptions_Acc,A_interceptions_Acc,H_blocks_Acc,A_blocks_Acc,H_atk_3rd_Acc/H_atk_3rd_tot_Acc,H_red_goal_Acc/H_red_tot_Acc,H_red_on_Acc/H_red_tot_Acc,H_chance_goal_Acc/H_chance_tot_Acc,H_successful_tackle_Acc/H_tackle_tot_Acc,H_successful_clearance_Acc/H_clearance_tot_Acc,A_atk_3rd_Acc/A_atk_3rd_tot_Acc,A_red_goal_Acc/A_red_tot_Acc,A_red_on_Acc/A_red_tot_Acc,A_chance_goal_Acc/A_chance_tot_Acc,A_successful_tackle_Acc/A_tackle_tot_Acc,A_successful_clearance_Acc/A_clearance_tot_Acc,y
Man City,Sunderland,L Probert,15619.0,4.0,1.173913043478261,2.0,3.0,0.0,3.0,1.0,4.0,0.0,1.0,5.223022774327131,106.0,104.0,2.0,7.0,80.0,28.0,50.0,17.0,289.7000000000001,188.69999999999993,655.0,272.0,872.0,417.0,9.0,5.0,13.0,1.0,49.0,13.0,3.0,3.0,57.0,22.0,116.0,128.0,145.0,185.0,67.0,81.0,146.0,161.0,55.0,83.0,12.0,29.0,0.7511467889908257,0.1836734693877551,0.2653061224489796,0.05263157894736842,0.8,0.4589041095890411,0.6522781774580336,0.38461538461538464,0.07692307692307693,0.13636363636363635,0.6918918918918919,0.5031055900621118,H
Chelsea,Norwich,A Taylor,15619.0,13.0,1.7222222222222223,4.0,1.0,0.0,6.0,0.0,3.0,2.0,-4.0,26.816313762310756,104.0,99.0,3.0,7.0,74.0,61.0,40.0,32.0,279.70000000000005,222.5000000000002,635.0,398.0,846.0,687.0,7.0,4.0,6.0,13.0,37.0,47.0,6.0,3.0,60.0,54.0,96.0,90.0,131.0,145.0,76.0,61.0,127.0,146.0,67.0,43.0,13.0,20.0,0.7505910165484634,0.1891891891891892,0.16216216216216217,0.1,0.732824427480916,0.5984251968503937,0.5793304221251819,0.0851063829787234,0.2765957446808511,0.05555555555555555,0.6206896551724138,0.4178082191780822,H
West Ham,Arsenal,P Dowd,15619.0,2.0,1.0833333333333333,2.0,2.0,1.0,1.0,2.0,2.0,1.0,6.0,1.3395712857856807,99.0,108.0,4.0,2.0,70.0,71.0,43.0,34.0,244.80000000000015,273.90000000000003,435.0,609.0,710.0,789.0,6.0,7.0,9.0,8.0,53.0,41.0,4.0,4.0,60.0,60.0,114.0,134.0,144.0,170.0,95.0,66.0,178.0,144.0,40.0,95.0,19.0,13.0,0.6126760563380281,0.11320754716981132,0.16981132075471697,0.06666666666666667,0.7916666666666666,0.5337078651685393,0.7718631178707225,0.17073170731707318,0.1951219512195122,0.06666666666666667,0.788235294117647,0.4583333333333333,A
Swansea,Reading,M Dean,15619.0,4.0,1.2222222222222223,1.0,1.0,3.0,-4.0,0.0,2.0,3.0,-5.0,3.2234286803966405,102.0,107.0,7.0,7.0,60.0,42.0,33.0,18.0,293.4000000000001,217.80000000000004,474.0,356.0,635.0,626.0,5.0,5.0,10.0,6.0,39.0,32.0,4.0,4.0,50.0,29.0,96.0,76.0,118.0,115.0,94.0,98.0,221.0,192.0,50.0,68.0,21.0,18.0,0.7464566929133858,0.1282051282051282,0.2564102564102564,0.08,0.8135593220338984,0.4253393665158371,0.5686900958466453,0.15625,0.1875,0.13793103448275862,0.6608695652173913,0.5104166666666666,D
Southampton,Fulham,M Clattenburg,15620.0,-6.0,0.75,1.0,0.0,4.0,-7.0,2.0,0.0,3.0,-1.0,-9.285719523443305,107.0,108.0,8.0,8.0,58.0,70.0,27.0,50.0,252.29999999999973,223.29999999999995,470.0,402.0,703.0,553.0,8.0,7.0,11.0,16.0,36.0,41.0,6.0,4.0,55.0,45.0,111.0,83.0,141.0,112.0,78.0,68.0,159.0,146.0,96.0,100.0,21.0,25.0,0.6685633001422475,0.2222222222222222,0.3055555555555556,0.10909090909090909,0.7872340425531915,0.49056603773584906,0.7269439421338155,0.17073170731707318,0.3902439024390244,0.08888888888888889,0.7410714285714286,0.4657534246575342,D
Tottenham,Aston Villa,N Swarbrick,15620.0,6.0,1.3,3.0,2.0,0.0,4.0,1.0,2.0,2.0,-3.0,17.150223938129443,105.0,108.0,2.0,7.0,83.0,64.0,50.0,35.0,247.49999999999991,226.60000000000028,422.0,339.0,564.0,606.0,7.0,4.0,11.0,9.0,45.0,49.0,5.0,2.0,67.0,54.0,110.0,104.0,126.0,131.0,131.0,64.0,266.0,138.0,71.0,85.0,13.0,18.0,0.74822695035461,0.15555555555555556,0.24444444444444444,0.07462686567164178,0.873015873015873,0.4924812030075188,0.5594059405940595,0.08163265306122448,0.1836734693877551,0.037037037037037035,0.7938931297709924,0.463768115942029,H
Liverpool,Stoke,L Mason,15620.0,-2.0,0.9090909090909091,1.0,2.0,2.0,0.0,1.0,3.0,1.0,1.0,-5.982282629651053,105.0,113.0,2.0,8.0,75.0,50.0,39.0,26.0,286.7000000000002,177.70000000000007,590.0,295.0,807.0,521.0,4.0,5.0,9.0,8.0,51.0,33.0,3.0,2.0,67.0,41.0,104.0,114.0,141.0,156.0,61.0,113.0,119.0,178.0,63.0,79.0,13.0,22.0,0.7311028500619579,0.0784313725490196,0.17647058823529413,0.04477611940298507,0.7375886524822695,0.5126050420168067,0.5662188099808061,0.15151515151515152,0.24242424242424243,0.04878048780487805,0.7307692307692307,0.6348314606741573,D
Newcastle,Man United,H Webb,15620.0,-3.0,0.8888888888888888,1.0,3.0,1.0,-1.0,4.0,0.0,1.0,6.0,-7.811398601398597,101.0,102.0,2.0,4.0,62.0,78.0,29.0,42.0,246.3,289.10000000000014,306.0,692.0,530.0,873.0,4.0,13.0,10.0,7.0,42.0,48.0,5.0,8.0,50.0,60.0,90.0,114.0,120.0,155.0,122.0,74.0,254.0,151.0,44.0,58.0,16.0,18.0,0.5773584905660377,0.09523809523809523,0.23809523809523808,0.1,0.75,0.48031496062992124,0.7926689576174112,0.2708333333333333,0.14583333333333334,0.13333333333333333,0.7354838709677419,0.4900662251655629,A
Norwich,Arsenal,L Probert,15633.0,-9.0,0.6538461538461539,0.0,2.0,3.0,-7.0,3.0,1.0,1.0,8.0,-21.304636925358007,110.0,113.0,14.0,13.0,55.0,75.0,32.0,42.0,198.5000000000002,275.90000000000003,364.0,646.0,631.0,828.0,4.0,9.0,13.0,10.0,43.0,45.0,3.0,7.0,51.0,68.0,85.0,127.0,134.0,170.0,67.0,66.0,163.0,141.0,47.0,92.0,27.0,13.0,0.5768621236133122,0.09302325581395349,0.3023255813953488,0.058823529411764705,0.6343283582089553,0.4110429447852761,0.7801932367149759,0.2,0.2222222222222222,0.10294117647058823,0.7470588235294118,0.46808510638297873,H
West Ham,Southampton,N Swarbrick,15633.0,7.0,1.3888888888888888,2.0,2.0,1.0,2.0,1.0,1.0,3.0,-5.0,12.800160517232129,100.0,111.0,13.0,13.0,70.0,57.0,40.0,24.0,238.30000000000015,244.99999999999974,414.0,458.0,677.0,707.0,7.0,10.0,7.0,9.0,54.0,35.0,5.0,8.0,64.0,53.0,101.0,121.0,129.0,149.0,121.0,85.0,209.0,186.0,50.0,91.0,23.0,21.0,0.6115214180206795,0.12962962962962962,0.12962962962962962,0.078125,0.7829457364341085,0.5789473684210527,0.6478076379066479,0.2857142857142857,0.2571428571428571,0.1509433962264151,0.8120805369127517,0.45698924731182794,H
