home,away,Referee,time,HRestTime,ARestTime,HAccS,AAccS,HAccST,AAccST,HAccP - AAccP,H/A,HWin,HDraw,HLose,H goal Diff,AWin,ADraw,ALose,A goal diff,moraldiff + h-a,y
Aston Villa,Norwich,P Dowd,15640.0,7.0,6.0,61.0,52.0,32.0,31.0,-1.0,0.9473684210526315,1.0,1.0,3.0,-4.0,1.0,1.0,3.0,-6.0,-2.2935666558881493,D
Man City,Swansea,M Atkinson,15640.0,2.0,7.0,97.0,79.0,62.0,43.0,7.0,1.2916666666666667,3.0,2.0,0.0,5.0,1.0,1.0,3.0,-6.0,24.280384791655216,H
Arsenal,QPR,A Taylor,15640.0,2.0,6.0,77.0,59.0,42.0,33.0,9.0,1.5625,2.0,1.0,2.0,5.0,0.0,2.0,3.0,-3.0,12.054778817155757,H
Stoke,Sunderland,M Halsey,15640.0,7.0,6.0,40.0,45.0,23.0,24.0,-1.0,0.9545454545454546,1.0,2.0,2.0,-1.0,1.0,3.0,1.0,-2.0,-3.454289197392633,D
Newcastle,West Brom,C Foy,15641.0,2.0,8.0,58.0,62.0,28.0,35.0,-4.0,0.8518518518518519,1.0,3.0,1.0,-2.0,2.0,1.0,2.0,-2.0,0.2202479554428649,H
Southampton,Tottenham,L Mason,15641.0,8.0,2.0,53.0,96.0,20.0,57.0,-10.0,0.6296296296296297,1.0,1.0,3.0,-7.0,4.0,0.0,1.0,4.0,-20.51406494613655,A
Chelsea,Man United,M Clattenburg,15641.0,4.0,4.0,71.0,65.0,43.0,39.0,4.0,1.1290322580645162,4.0,1.0,0.0,7.0,4.0,0.0,1.0,9.0,7.525797534974394,A
Everton,Liverpool,A Marriner,15641.0,7.0,2.0,90.0,82.0,53.0,41.0,6.0,1.2727272727272727,2.0,3.0,0.0,5.0,2.0,2.0,1.0,3.0,7.479352226720639,D
Sunderland,Aston Villa,M Jones,15647.0,3.0,3.0,45.0,51.0,23.0,24.0,4.0,1.2222222222222223,1.0,3.0,1.0,-2.0,0.0,2.0,3.0,-6.0,13.477463549522373,A
Fulham,Everton,N Swarbrick,15647.0,7.0,6.0,66.0,90.0,33.0,51.0,-2.0,0.9285714285714286,2.0,2.0,1.0,1.0,2.0,3.0,0.0,5.0,-5.710045389393208,D
Man United,Arsenal,M Dean,15647.0,2.0,3.0,63.0,78.0,36.0,41.0,6.0,1.2222222222222223,4.0,0.0,1.0,6.0,2.0,1.0,2.0,1.0,14.026375392802798,H
Norwich,Stoke,A Marriner,15647.0,2.0,7.0,46.0,47.0,23.0,26.0,-2.0,0.9047619047619048,1.0,1.0,3.0,-6.0,1.0,2.0,2.0,-1.0,-4.897785717051189,H
Swansea,Chelsea,K Friend,15647.0,2.0,2.0,78.0,72.0,43.0,45.0,-11.0,0.6764705882352942,1.0,1.0,3.0,-5.0,4.0,0.0,1.0,6.0,-22.183323221087402,D
Tottenham,Wigan,M Atkinson,15647.0,2.0,3.0,85.0,63.0,50.0,38.0,9.0,1.45,4.0,0.0,1.0,3.0,1.0,1.0,3.0,-2.0,18.955533914343974,A
West Ham,Man City,H Webb,15647.0,7.0,6.0,68.0,92.0,43.0,56.0,-7.0,0.7878787878787878,2.0,1.0,2.0,1.0,4.0,1.0,0.0,6.0,-21.239687924854778,D
Liverpool,Newcastle,A Taylor,15648.0,3.0,7.0,74.0,57.0,37.0,27.0,-3.0,0.88,2.0,2.0,1.0,3.0,2.0,2.0,1.0,-1.0,-2.241780683085036,D
QPR,Reading,M Oliver,15648.0,8.0,4.0,53.0,53.0,30.0,28.0,-2.0,0.8823529411764706,0.0,1.0,4.0,-4.0,0.0,3.0,2.0,-2.0,-7.982414872708995,D
West Brom,Southampton,M Halsey,15649.0,8.0,5.0,60.0,55.0,31.0,22.0,10.0,1.625,2.0,1.0,2.0,0.0,1.0,1.0,3.0,-3.0,9.889459271118582,H
Stoke,QPR,M Atkinson,15654.0,7.0,6.0,42.0,67.0,23.0,36.0,5.0,1.3333333333333333,1.0,2.0,2.0,-1.0,0.0,2.0,3.0,-3.0,8.063263542265364,H
Reading,Norwich,C Foy,15654.0,6.0,7.0,63.0,50.0,35.0,28.0,-4.0,0.8095238095238095,0.0,4.0,1.0,-1.0,2.0,1.0,2.0,-4.0,-5.675470776878949,D
