home,away,Referee,time,prevTimeDiff,HAccP,AAccP,hw,hd,hl,H goal Diff,aw,ad,al,A goal diff,y
West Brom,Arsenal,H Webb,15801.0,7.0,24.0,38.0,2.0,1.0,2.0,-1.0,4.0,0.0,1.0,6.0,A
Chelsea,Sunderland,N Swarbrick,15802.0,2.0,32.0,19.0,3.0,0.0,2.0,3.0,0.0,2.0,3.0,-4.0,H
Liverpool,West Ham,A Taylor,15802.0,7.0,36.0,21.0,4.0,0.0,1.0,9.0,2.0,0.0,3.0,-1.0,D
Newcastle,Fulham,K Friend,15802.0,2.0,19.0,24.0,2.0,0.0,3.0,-3.0,3.0,2.0,0.0,3.0,H
QPR,Wigan,P Dowd,15802.0,5.0,19.0,19.0,2.0,0.0,3.0,-1.0,3.0,0.0,2.0,-2.0,D
Tottenham,Everton,A Marriner,15802.0,2.0,40.0,34.0,3.0,0.0,2.0,1.0,3.0,0.0,2.0,2.0,D
Man United,Man City,M Dean,15803.0,7.0,53.0,40.0,5.0,0.0,0.0,10.0,3.0,0.0,2.0,3.0,A
Everton,QPR,L Mason,15808.0,6.0,32.0,20.0,3.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,H
Aston Villa,Fulham,P Dowd,15808.0,7.0,24.0,23.0,3.0,0.0,2.0,2.0,3.0,1.0,1.0,2.0,D
Southampton,West Ham,M Dean,15808.0,7.0,29.0,19.0,3.0,1.0,1.0,4.0,2.0,1.0,2.0,0.0,D
Reading,Liverpool,M Clattenburg,15808.0,7.0,14.0,34.0,0.0,0.0,5.0,-9.0,3.0,1.0,1.0,4.0,D
Arsenal,Norwich,M Jones,15808.0,7.0,40.0,21.0,4.0,0.0,1.0,6.0,0.0,3.0,2.0,-5.0,H
Newcastle,Sunderland,H Webb,15809.0,2.0,22.0,19.0,2.0,0.0,3.0,-4.0,0.0,2.0,3.0,-4.0,A
Stoke,Man United,J Moss,15809.0,8.0,21.0,50.0,0.0,1.0,4.0,-5.0,4.0,0.0,1.0,7.0,A
Arsenal,Everton,N Swarbrick,15811.0,3.0,40.0,35.0,4.0,0.0,1.0,7.0,4.0,1.0,0.0,7.0,D
Fulham,Chelsea,M Dean,15812.0,4.0,24.0,34.0,2.0,2.0,1.0,1.0,3.0,0.0,2.0,1.0,A
Man City,Wigan,J Moss,15812.0,3.0,40.0,20.0,4.0,0.0,1.0,6.0,3.0,1.0,1.0,1.0,H
West Ham,Man United,L Probert,15812.0,4.0,19.0,53.0,2.0,2.0,1.0,1.0,4.0,0.0,1.0,7.0,D
Sunderland,Everton,P Dowd,15815.0,6.0,21.0,35.0,1.0,1.0,3.0,-1.0,3.0,2.0,0.0,5.0,H
Fulham,Arsenal,A Marriner,15815.0,2.0,24.0,40.0,2.0,1.0,2.0,-2.0,4.0,1.0,0.0,8.0,A
Norwich,Reading,M Dean,15815.0,7.0,20.0,15.0,0.0,3.0,2.0,-3.0,0.0,1.0,4.0,-7.0,H
Swansea,Southampton,M Halsey,15815.0,14.0,25.0,27.0,1.0,1.0,3.0,-3.0,3.0,2.0,0.0,5.0,D
West Brom,Newcastle,M Jones,15815.0,14.0,21.0,22.0,1.0,1.0,3.0,-3.0,2.0,0.0,3.0,-6.0,D
West Ham,Wigan,N Swarbrick,15815.0,2.0,20.0,20.0,1.0,3.0,1.0,0.0,2.0,1.0,2.0,-3.0,H
QPR,Stoke,C Foy,15815.0,7.0,20.0,18.0,1.0,1.0,3.0,-2.0,0.0,1.0,4.0,-6.0,A
Liverpool,Chelsea,K Friend,15816.0,8.0,34.0,37.0,2.0,2.0,1.0,0.0,4.0,0.0,1.0,6.0,D
Tottenham,Man City,L Mason,15816.0,9.0,41.0,40.0,2.0,1.0,2.0,0.0,4.0,0.0,1.0,5.0,H
Man United,Aston Villa,A Taylor,15817.0,4.0,51.0,24.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,H
Southampton,West Brom,R Madley,15822.0,7.0,27.0,19.0,3.0,2.0,0.0,5.0,1.0,2.0,2.0,-2.0,A
Everton,Fulham,J Moss,15822.0,7.0,34.0,23.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,-4.0,H
Stoke,Norwich,A Taylor,15822.0,7.0,18.0,22.0,1.0,1.0,3.0,-3.0,1.0,2.0,2.0,-2.0,H
Man City,West Ham,H Webb,15822.0,6.0,39.0,23.0,3.0,0.0,2.0,2.0,2.0,3.0,0.0,4.0,H
Wigan,Tottenham,M Atkinson,15822.0,7.0,17.0,41.0,2.0,1.0,2.0,-1.0,2.0,1.0,2.0,1.0,D
Newcastle,Liverpool,A Marriner,15822.0,7.0,23.0,35.0,1.0,1.0,3.0,-7.0,1.0,3.0,1.0,-1.0,A
Arsenal,Man United,P Dowd,15823.0,8.0,42.0,51.0,4.0,1.0,0.0,7.0,3.0,1.0,1.0,5.0,D
Chelsea,Swansea,M Clattenburg,15823.0,2.0,37.0,25.0,3.0,1.0,1.0,5.0,0.0,2.0,3.0,-4.0,H
Reading,QPR,K Friend,15823.0,8.0,15.0,19.0,0.0,1.0,4.0,-7.0,0.0,1.0,4.0,-6.0,D
Aston Villa,Sunderland,L Probert,15824.0,6.0,21.0,24.0,2.0,1.0,2.0,-1.0,2.0,1.0,2.0,2.0,H
Swansea,Man City,M Jones,15829.0,6.0,22.0,39.0,0.0,2.0,3.0,-5.0,4.0,0.0,1.0,5.0,D
Fulham,Reading,N Swarbrick,15829.0,7.0,23.0,16.0,0.0,1.0,4.0,-6.0,0.0,2.0,3.0,-6.0,A
Norwich,Aston Villa,K Friend,15829.0,7.0,19.0,23.0,1.0,1.0,3.0,-3.0,2.0,1.0,2.0,3.0,A
Tottenham,Southampton,M Clattenburg,15829.0,7.0,39.0,27.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,H
West Brom,Wigan,L Probert,15829.0,7.0,22.0,18.0,1.0,2.0,2.0,0.0,1.0,2.0,2.0,-2.0,A
West Ham,Newcastle,P Dowd,15829.0,7.0,20.0,20.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,-12.0,D
QPR,Arsenal,J Moss,15829.0,6.0,19.0,43.0,0.0,2.0,3.0,-5.0,3.0,2.0,0.0,4.0,A
Liverpool,Everton,M Oliver,15830.0,7.0,35.0,36.0,2.0,3.0,0.0,7.0,2.0,2.0,1.0,2.0,D
Man United,Chelsea,H Webb,15830.0,7.0,49.0,39.0,2.0,2.0,1.0,4.0,3.0,1.0,1.0,5.0,A
Sunderland,Stoke,L Mason,15831.0,6.0,24.0,18.0,2.0,0.0,3.0,-3.0,2.0,0.0,3.0,-2.0,D
Man City,West Brom,P Dowd,15832.0,3.0,39.0,22.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,-1.0,H
Wigan,Swansea,K Friend,15832.0,3.0,21.0,20.0,1.0,2.0,2.0,-2.0,0.0,3.0,2.0,-3.0,A
Chelsea,Tottenham,M Dean,15833.0,3.0,42.0,39.0,4.0,1.0,0.0,7.0,3.0,2.0,0.0,4.0,D
Aston Villa,Chelsea,L Mason,15836.0,7.0,25.0,40.0,3.0,1.0,1.0,5.0,3.0,2.0,0.0,6.0,A
Sunderland,Southampton,M Dean,15837.0,5.0,22.0,24.0,2.0,1.0,2.0,-2.0,1.0,2.0,2.0,-2.0,D
QPR,Newcastle,L Probert,15837.0,7.0,18.0,21.0,0.0,2.0,3.0,-5.0,1.0,2.0,2.0,-8.0,A
Man United,Swansea,J Moss,15837.0,7.0,46.0,23.0,2.0,2.0,1.0,4.0,1.0,3.0,1.0,-1.0,H
Fulham,Liverpool,M Halsey,15837.0,8.0,20.0,33.0,0.0,1.0,4.0,-7.0,1.0,4.0,0.0,6.0,A
Everton,West Ham,P Dowd,15837.0,7.0,34.0,21.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,H
Stoke,Tottenham,K Friend,15837.0,5.0,18.0,40.0,2.0,1.0,2.0,-1.0,2.0,3.0,0.0,3.0,A
Norwich,West Brom,H Webb,15837.0,8.0,16.0,22.0,1.0,1.0,3.0,-3.0,1.0,1.0,3.0,0.0,H
Arsenal,Wigan,M Dean,15839.0,9.0,43.0,20.0,3.0,2.0,0.0,4.0,1.0,1.0,3.0,-3.0,H
Reading,Man City,M Atkinson,15839.0,10.0,19.0,42.0,1.0,2.0,2.0,-1.0,3.0,1.0,1.0,1.0,A
Swansea,Fulham,L Mason,15844.0,7.0,23.0,20.0,1.0,2.0,2.0,-2.0,0.0,0.0,5.0,-9.0,A
Chelsea,Everton,A Taylor,15844.0,3.0,40.0,36.0,3.0,2.0,0.0,4.0,2.0,2.0,1.0,2.0,H
Liverpool,QPR,M Atkinson,15844.0,7.0,36.0,15.0,2.0,3.0,0.0,8.0,0.0,1.0,4.0,-6.0,H
Man City,Norwich,M Halsey,15844.0,4.0,42.0,16.0,3.0,1.0,1.0,2.0,2.0,0.0,3.0,1.0,A
Southampton,Stoke,L Probert,15844.0,7.0,25.0,17.0,0.0,3.0,2.0,-4.0,2.0,1.0,2.0,0.0,D
Tottenham,Sunderland,A Marriner,15844.0,7.0,40.0,23.0,3.0,2.0,0.0,4.0,2.0,2.0,1.0,-1.0,H
West Brom,Man United,M Oliver,15844.0,7.0,21.0,46.0,1.0,1.0,3.0,-3.0,2.0,2.0,1.0,3.0,D
West Ham,Reading,M Dean,15844.0,7.0,20.0,19.0,1.0,2.0,2.0,-1.0,1.0,2.0,2.0,-1.0,H
Wigan,Aston Villa,N Swarbrick,15844.0,4.0,20.0,22.0,1.0,1.0,3.0,-5.0,2.0,1.0,2.0,2.0,D
Newcastle,Arsenal,H Webb,15844.0,7.0,24.0,43.0,1.0,2.0,2.0,-8.0,3.0,2.0,0.0,5.0,A
Sunderland,Fulham,N Swarbrick,15934.0,9.0,20.0,23.0,1.0,2.0,2.0,-5.0,1.0,0.0,4.0,-3.0,A
Liverpool,Stoke,M Atkinson,15934.0,6.0,36.0,17.0,3.0,2.0,0.0,9.0,2.0,2.0,1.0,2.0,H
Norwich,Everton,M Oliver,15934.0,7.0,19.0,33.0,3.0,0.0,2.0,4.0,2.0,1.0,2.0,1.0,D
Swansea,Man United,P Dowd,15934.0,8.0,22.0,46.0,1.0,1.0,3.0,-5.0,2.0,2.0,1.0,3.0,A
West Brom,Southampton,K Friend,15934.0,7.0,19.0,25.0,1.0,1.0,3.0,-3.0,0.0,3.0,2.0,-4.0,A
Arsenal,Aston Villa,A Taylor,15934.0,7.0,43.0,23.0,4.0,1.0,0.0,6.0,2.0,1.0,2.0,2.0,A
Man City,Newcastle,A Marriner,15936.0,9.0,39.0,21.0,3.0,1.0,1.0,3.0,1.0,2.0,2.0,-6.0,H
Chelsea,Aston Villa,K Friend,15938.0,3.0,40.0,26.0,4.0,1.0,0.0,5.0,3.0,1.0,1.0,7.0,H
Everton,West Brom,R East,15941.0,7.0,31.0,16.0,2.0,2.0,1.0,2.0,0.0,1.0,4.0,-7.0,D
Aston Villa,Liverpool,M Clattenburg,15941.0,2.0,26.0,39.0,2.0,1.0,2.0,1.0,4.0,1.0,0.0,10.0,A
Newcastle,West Ham,P Dowd,15941.0,4.0,21.0,26.0,1.0,1.0,3.0,-10.0,2.0,1.0,2.0,1.0,D
Fulham,Arsenal,H Webb,15941.0,7.0,25.0,40.0,2.0,0.0,3.0,-1.0,3.0,1.0,1.0,3.0,A
Southampton,Sunderland,L Mason,15941.0,7.0,27.0,17.0,1.0,2.0,2.0,-3.0,0.0,2.0,3.0,-7.0,D
Tottenham,Swansea,N Swarbrick,15942.0,2.0,42.0,21.0,4.0,1.0,0.0,4.0,1.0,1.0,3.0,-6.0,H
Man United,Chelsea,M Atkinson,15943.0,8.0,46.0,43.0,2.0,2.0,1.0,3.0,4.0,1.0,0.0,5.0,D
Newcastle,Fulham,C Foy,15948.0,2.0,22.0,25.0,1.0,2.0,2.0,-4.0,2.0,0.0,3.0,-2.0,H
Norwich,Southampton,H Webb,15948.0,3.0,20.0,27.0,2.0,1.0,2.0,3.0,1.0,3.0,1.0,0.0,H
West Ham,Stoke,J Moss,15948.0,3.0,24.0,16.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,-1.0,A
Arsenal,Tottenham,M Oliver,15949.0,4.0,42.0,42.0,4.0,0.0,1.0,5.0,4.0,1.0,0.0,4.0,H
Liverpool,Man United,A Marriner,15949.0,4.0,39.0,44.0,4.0,1.0,0.0,5.0,2.0,2.0,1.0,3.0,H
West Brom,Swansea,M Dean,15949.0,4.0,17.0,18.0,0.0,2.0,3.0,-6.0,1.0,0.0,4.0,-7.0,A
Everton,Chelsea,H Webb,15962.0,14.0,30.0,41.0,1.0,3.0,1.0,1.0,4.0,1.0,0.0,5.0,H
Fulham,West Brom,L Probert,15962.0,14.0,22.0,17.0,2.0,0.0,3.0,-1.0,0.0,2.0,3.0,-7.0,D
Aston Villa,Newcastle,M Dean,15962.0,16.0,25.0,25.0,1.0,1.0,3.0,-1.0,2.0,1.0,2.0,-3.0,A
Stoke,Man City,M Clattenburg,15962.0,14.0,19.0,39.0,2.0,1.0,2.0,0.0,3.0,0.0,2.0,6.0,D
Tottenham,Norwich,L Mason,15962.0,13.0,39.0,23.0,4.0,0.0,1.0,3.0,3.0,1.0,1.0,5.0,H
Sunderland,Arsenal,M Atkinson,15962.0,13.0,18.0,45.0,0.0,2.0,3.0,-4.0,4.0,0.0,1.0,5.0,A
Southampton,West Ham,A Marriner,15963.0,15.0,24.0,24.0,1.0,3.0,1.0,0.0,2.0,1.0,2.0,1.0,D
Swansea,Liverpool,M Oliver,15964.0,15.0,20.0,39.0,1.0,0.0,4.0,-6.0,5.0,0.0,0.0,6.0,D
Chelsea,Fulham,A Marriner,15969.0,2.0,40.0,22.0,3.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,H
Liverpool,Southampton,N Swarbrick,15969.0,4.0,40.0,24.0,4.0,1.0,0.0,4.0,1.0,3.0,1.0,0.0,A
Norwich,Aston Villa,C Foy,15969.0,7.0,22.0,25.0,2.0,1.0,2.0,-1.0,1.0,1.0,3.0,-1.0,A
West Brom,Sunderland,P Dowd,15969.0,7.0,18.0,15.0,0.0,3.0,2.0,-3.0,0.0,1.0,4.0,-6.0,H
West Ham,Everton,L Mason,15969.0,6.0,24.0,32.0,2.0,2.0,1.0,3.0,1.0,3.0,1.0,0.0,A
Man City,Man United,H Webb,15970.0,4.0,37.0,41.0,2.0,1.0,2.0,4.0,2.0,2.0,1.0,4.0,H
Arsenal,Stoke,M Dean,15970.0,3.0,48.0,20.0,4.0,0.0,1.0,4.0,2.0,2.0,1.0,1.0,H
Aston Villa,Man City,M Jones,15976.0,3.0,27.0,37.0,2.0,0.0,3.0,0.0,3.0,1.0,1.0,8.0,H
Man United,West Brom,M Oliver,15976.0,2.0,40.0,20.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,A
Swansea,Arsenal,M Clattenburg,15976.0,2.0,20.0,48.0,2.0,1.0,2.0,0.0,4.0,0.0,1.0,5.0,A
Tottenham,Chelsea,M Dean,15976.0,3.0,43.0,40.0,4.0,0.0,1.0,4.0,3.0,1.0,1.0,4.0,D
Stoke,Norwich,A Taylor,15977.0,3.0,20.0,22.0,2.0,1.0,2.0,-1.0,1.0,1.0,3.0,-3.0,A
Sunderland,Liverpool,H Webb,15977.0,4.0,12.0,37.0,0.0,1.0,4.0,-8.0,3.0,1.0,1.0,2.0,A
Everton,Newcastle,P Dowd,15978.0,5.0,34.0,27.0,2.0,3.0,0.0,2.0,2.0,1.0,2.0,-3.0,H
Fulham,Stoke,R East,15983.0,7.0,19.0,19.0,0.0,1.0,4.0,-6.0,2.0,1.0,2.0,-1.0,H
Man City,Everton,J Moss,15983.0,2.0,36.0,34.0,2.0,1.0,2.0,3.0,3.0,2.0,0.0,3.0,H
Sunderland,Man United,C Foy,15983.0,6.0,11.0,37.0,0.0,1.0,4.0,-9.0,1.0,1.0,3.0,-3.0,A
Southampton,Swansea,M Dean,15984.0,8.0,29.0,19.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,H
Norwich,Chelsea,N Swarbrick,15984.0,7.0,24.0,40.0,2.0,0.0,3.0,-2.0,2.0,2.0,1.0,2.0,A
West Brom,Arsenal,L Mason,15984.0,8.0,23.0,50.0,2.0,2.0,1.0,2.0,5.0,0.0,0.0,8.0,D
Tottenham,West Ham,L Probert,15984.0,2.0,43.0,24.0,3.0,1.0,1.0,3.0,0.0,2.0,3.0,-3.0,A
Newcastle,Liverpool,A Marriner,15997.0,14.0,24.0,41.0,3.0,0.0,2.0,1.0,3.0,1.0,1.0,4.0,D
Arsenal,Norwich,L Probert,15997.0,13.0,48.0,23.0,4.0,1.0,0.0,6.0,2.0,0.0,3.0,-3.0,H
Swansea,Sunderland,C Pawson,15997.0,13.0,19.0,11.0,2.0,1.0,2.0,1.0,0.0,0.0,5.0,-10.0,H
West Ham,Man City,M Oliver,15997.0,13.0,24.0,38.0,1.0,1.0,3.0,0.0,3.0,1.0,1.0,6.0,A
Man United,Southampton,M Jones,15997.0,13.0,37.0,31.0,2.0,0.0,3.0,-2.0,3.0,1.0,1.0,4.0,D
Stoke,West Brom,H Webb,15997.0,14.0,19.0,24.0,1.0,1.0,3.0,-3.0,2.0,2.0,1.0,2.0,D
Aston Villa,Tottenham,P Dowd,15998.0,15.0,30.0,40.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,-1.0,A
Aston Villa,Everton,A Taylor,16004.0,6.0,27.0,36.0,2.0,1.0,2.0,-1.0,4.0,0.0,1.0,2.0,A
Liverpool,West Brom,J Moss,16004.0,7.0,42.0,22.0,2.0,2.0,1.0,3.0,2.0,3.0,0.0,4.0,H
Man United,Stoke,L Mason,16004.0,2.0,35.0,17.0,2.0,1.0,2.0,-1.0,0.0,2.0,3.0,-4.0,H
Southampton,Fulham,A Marriner,16004.0,7.0,29.0,24.0,3.0,2.0,0.0,5.0,2.0,1.0,2.0,1.0,H
Chelsea,Man City,H Webb,16005.0,4.0,43.0,41.0,3.0,1.0,1.0,6.0,3.0,1.0,1.0,6.0,H
Sunderland,Newcastle,L Probert,16005.0,8.0,11.0,25.0,0.0,0.0,5.0,-12.0,2.0,1.0,2.0,0.0,H
Swansea,West Ham,P Dowd,16005.0,2.0,19.0,24.0,2.0,1.0,2.0,3.0,1.0,1.0,3.0,-1.0,D
Man City,Norwich,P Dowd,16011.0,2.0,38.0,20.0,3.0,0.0,2.0,5.0,1.0,1.0,3.0,-5.0,H
Arsenal,Liverpool,M Atkinson,16011.0,3.0,48.0,42.0,4.0,1.0,0.0,8.0,3.0,1.0,1.0,6.0,H
Fulham,Man United,L Probert,16011.0,3.0,21.0,35.0,2.0,0.0,3.0,-1.0,2.0,1.0,2.0,-2.0,A
Newcastle,Chelsea,L Mason,16011.0,2.0,22.0,46.0,1.0,1.0,3.0,-2.0,4.0,1.0,0.0,8.0,H
West Ham,Aston Villa,H Webb,16011.0,3.0,25.0,27.0,1.0,1.0,3.0,-1.0,2.0,1.0,2.0,-2.0,D
Stoke,Southampton,C Foy,16011.0,3.0,17.0,32.0,0.0,1.0,4.0,-5.0,4.0,1.0,0.0,7.0,D
Everton,Tottenham,K Friend,16012.0,8.0,39.0,40.0,4.0,0.0,1.0,3.0,3.0,1.0,1.0,1.0,D
Aston Villa,Cardiff,M Atkinson,16018.0,7.0,28.0,22.0,1.0,2.0,2.0,-3.0,2.0,1.0,2.0,-2.0,H
Chelsea,West Brom,L Probert,16018.0,2.0,43.0,22.0,3.0,1.0,1.0,4.0,2.0,2.0,1.0,0.0,D
Crystal Palace,Everton,C Pawson,16018.0,7.0,13.0,37.0,0.0,0.0,5.0,-11.0,3.0,1.0,1.0,2.0,D
Liverpool,Fulham,M Jones,16018.0,6.0,39.0,20.0,3.0,1.0,1.0,5.0,2.0,0.0,3.0,-1.0,H
Norwich,West Ham,J Moss,16018.0,7.0,20.0,23.0,1.0,1.0,3.0,-11.0,1.0,2.0,2.0,0.0,H
Southampton,Hull,H Webb,16018.0,2.0,33.0,24.0,3.0,2.0,0.0,6.0,2.0,1.0,2.0,0.0,H
Man United,Arsenal,M Oliver,16019.0,4.0,35.0,51.0,3.0,1.0,1.0,3.0,4.0,1.0,0.0,8.0,H
Sunderland,Man City,M Dean,16019.0,3.0,13.0,38.0,1.0,0.0,4.0,-7.0,3.0,0.0,2.0,9.0,H
Swansea,Stoke,R Madley,16019.0,2.0,17.0,18.0,1.0,1.0,3.0,0.0,0.0,2.0,3.0,-3.0,D
Tottenham,Newcastle,C Foy,16019.0,2.0,38.0,25.0,2.0,2.0,1.0,0.0,2.0,1.0,2.0,1.0,A
Everton,Liverpool,P Dowd,16032.0,14.0,35.0,39.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,7.0,D
Arsenal,Southampton,M Clattenburg,16032.0,12.0,48.0,35.0,3.0,1.0,1.0,6.0,3.0,2.0,0.0,7.0,H
Fulham,Swansea,A Marriner,16032.0,14.0,17.0,18.0,2.0,0.0,3.0,-4.0,1.0,2.0,2.0,1.0,A
Hull,Crystal Palace,A Taylor,16032.0,14.0,23.0,13.0,1.0,1.0,3.0,-4.0,0.0,1.0,4.0,-9.0,A
West Ham,Chelsea,C Foy,16032.0,13.0,23.0,41.0,1.0,2.0,2.0,-1.0,3.0,1.0,1.0,4.0,A
Stoke,Sunderland,K Friend,16032.0,12.0,19.0,16.0,0.0,3.0,2.0,-2.0,2.0,0.0,3.0,-4.0,H
Newcastle,Norwich,M Dean,16032.0,13.0,25.0,22.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,-10.0,H
Cardiff,Man United,N Swarbrick,16033.0,15.0,21.0,35.0,1.0,1.0,3.0,-5.0,4.0,1.0,0.0,5.0,D
Man City,Tottenham,M Atkinson,16033.0,14.0,38.0,38.0,3.0,0.0,2.0,9.0,2.0,1.0,2.0,-1.0,H
West Brom,Aston Villa,M Oliver,16034.0,16.0,20.0,28.0,1.0,3.0,1.0,-1.0,1.0,2.0,2.0,-2.0,D
Aston Villa,Sunderland,N Swarbrick,16039.0,4.0,26.0,15.0,1.0,2.0,2.0,-2.0,2.0,0.0,3.0,-5.0,D
Norwich,Crystal Palace,C Foy,16039.0,7.0,21.0,15.0,1.0,1.0,3.0,-9.0,1.0,1.0,3.0,-6.0,H
West Ham,Fulham,M Atkinson,16039.0,6.0,20.0,14.0,0.0,2.0,3.0,-7.0,1.0,0.0,4.0,-6.0,H
Newcastle,West Brom,P Dowd,16039.0,7.0,28.0,20.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,-1.0,H
Cardiff,Arsenal,L Mason,16039.0,5.0,21.0,48.0,1.0,2.0,2.0,-4.0,4.0,0.0,1.0,8.0,A
Everton,Stoke,M Jones,16039.0,7.0,33.0,21.0,2.0,3.0,0.0,3.0,1.0,3.0,1.0,1.0,H
Chelsea,Southampton,M Oliver,16040.0,4.0,44.0,32.0,3.0,1.0,1.0,5.0,2.0,2.0,1.0,3.0,H
Hull,Liverpool,H Webb,16040.0,8.0,22.0,40.0,1.0,0.0,4.0,-5.0,2.0,2.0,1.0,5.0,H
Man City,Swansea,M Clattenburg,16040.0,3.0,38.0,21.0,3.0,0.0,2.0,13.0,2.0,2.0,1.0,4.0,H
Tottenham,Man United,M Dean,16040.0,2.0,38.0,33.0,2.0,1.0,2.0,-4.0,3.0,2.0,0.0,4.0,D
Crystal Palace,West Ham,L Mason,16042.0,3.0,14.0,22.0,1.0,1.0,3.0,-4.0,1.0,2.0,2.0,-2.0,H
Fulham,Tottenham,M Clattenburg,16043.0,4.0,14.0,36.0,0.0,0.0,5.0,-12.0,1.0,2.0,2.0,-6.0,A
Southampton,Aston Villa,J Moss,16043.0,2.0,29.0,27.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,0.0,A
Arsenal,Hull,A Marriner,16043.0,4.0,48.0,24.0,4.0,0.0,1.0,8.0,2.0,0.0,3.0,-2.0,H
Liverpool,Norwich,A Taylor,16043.0,3.0,37.0,24.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,-5.0,H
Stoke,Cardiff,M Oliver,16043.0,4.0,21.0,20.0,1.0,2.0,2.0,-3.0,1.0,2.0,2.0,-4.0,D
Swansea,Newcastle,H Webb,16043.0,2.0,21.0,31.0,1.0,2.0,2.0,-3.0,4.0,0.0,1.0,4.0,H
West Brom,Man City,C Foy,16043.0,3.0,20.0,38.0,1.0,2.0,2.0,-2.0,3.0,0.0,2.0,14.0,A
Sunderland,Chelsea,P Dowd,16043.0,4.0,16.0,44.0,2.0,1.0,2.0,-1.0,3.0,1.0,1.0,4.0,A
Man United,Everton,M Atkinson,16043.0,3.0,34.0,35.0,3.0,2.0,0.0,4.0,2.0,3.0,0.0,6.0,A
Crystal Palace,Cardiff,M Jones,16046.0,3.0,16.0,20.0,2.0,1.0,2.0,-1.0,1.0,2.0,2.0,-4.0,H
Liverpool,West Ham,M Oliver,16046.0,2.0,39.0,21.0,2.0,1.0,2.0,4.0,1.0,1.0,3.0,-3.0,H
Southampton,Man City,A Taylor,16046.0,2.0,26.0,38.0,1.0,1.0,3.0,-2.0,4.0,0.0,1.0,16.0,D
West Brom,Norwich,M Clattenburg,16046.0,2.0,20.0,23.0,1.0,2.0,2.0,0.0,2.0,0.0,3.0,-9.0,A
Stoke,Chelsea,J Moss,16046.0,2.0,22.0,44.0,1.0,3.0,1.0,-2.0,3.0,1.0,1.0,4.0,H
Sunderland,Tottenham,L Mason,16046.0,2.0,16.0,38.0,1.0,1.0,3.0,-3.0,1.0,2.0,2.0,-6.0,A
Man United,Newcastle,A Marriner,16046.0,2.0,31.0,28.0,2.0,2.0,1.0,2.0,4.0,0.0,1.0,2.0,A
Arsenal,Everton,H Webb,16047.0,3.0,48.0,35.0,4.0,0.0,1.0,8.0,2.0,3.0,0.0,5.0,D
Fulham,Aston Villa,M Dean,16047.0,3.0,13.0,27.0,0.0,0.0,5.0,-11.0,2.0,3.0,0.0,3.0,H
Swansea,Hull,M Atkinson,16048.0,4.0,23.0,23.0,2.0,1.0,2.0,0.0,2.0,0.0,3.0,-3.0,D
Cardiff,West Brom,H Webb,16053.0,7.0,19.0,19.0,0.0,2.0,3.0,-7.0,0.0,2.0,3.0,-4.0,H
Chelsea,Crystal Palace,M Clattenburg,16053.0,2.0,43.0,18.0,3.0,1.0,1.0,5.0,3.0,1.0,1.0,3.0,H
Everton,Fulham,A Taylor,16053.0,5.0,35.0,16.0,2.0,3.0,0.0,5.0,1.0,0.0,4.0,-7.0,H
Hull,Stoke,M Dean,16053.0,4.0,23.0,25.0,1.0,1.0,3.0,-4.0,2.0,2.0,1.0,-1.0,D
Man City,Arsenal,M Atkinson,16053.0,3.0,39.0,48.0,3.0,1.0,1.0,9.0,3.0,1.0,1.0,6.0,H
Newcastle,Southampton,M Jones,16053.0,7.0,31.0,26.0,4.0,0.0,1.0,1.0,1.0,1.0,3.0,-2.0,D
West Ham,Sunderland,A Marriner,16053.0,7.0,20.0,13.0,1.0,0.0,4.0,-6.0,1.0,1.0,3.0,-3.0,D
Norwich,Swansea,M Oliver,16054.0,8.0,26.0,23.0,3.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,D
Tottenham,Liverpool,J Moss,16054.0,2.0,38.0,41.0,2.0,1.0,2.0,-5.0,3.0,1.0,1.0,9.0,A
Aston Villa,Man United,C Foy,16054.0,7.0,26.0,30.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,-1.0,A
Crystal Palace,Newcastle,N Swarbrick,16060.0,7.0,17.0,31.0,3.0,0.0,2.0,2.0,3.0,1.0,1.0,0.0,A
Fulham,Man City,K Friend,16060.0,7.0,16.0,39.0,1.0,0.0,4.0,-6.0,4.0,1.0,0.0,13.0,A
