home,away,Referee,time,prevTimeDiff,HAccP,AAccP,hw,hd,hl,H goal Diff,aw,ad,al,A goal diff,y
Man City,Man United,M Atkinson,15683.0,4.0,38.0,41.0,3.0,2.0,0.0,8.0,4.0,0.0,1.0,4.0,A
West Ham,Liverpool,L Probert,15683.0,8.0,27.0,24.0,2.0,1.0,2.0,0.0,2.0,2.0,1.0,3.0,A
Fulham,Newcastle,L Mason,15684.0,9.0,22.0,22.0,0.0,2.0,3.0,-6.0,1.0,0.0,4.0,-2.0,H
Sunderland,Reading,N Swarbrick,15685.0,3.0,18.0,14.0,1.0,1.0,3.0,-3.0,1.0,0.0,4.0,-3.0,H
Newcastle,Man City,A Marriner,15689.0,4.0,21.0,37.0,1.0,0.0,4.0,-2.0,2.0,2.0,1.0,6.0,A
Norwich,Wigan,L Probert,15689.0,3.0,26.0,19.0,3.0,2.0,0.0,3.0,1.0,1.0,3.0,-7.0,H
QPR,Fulham,M Atkinson,15689.0,7.0,11.0,24.0,0.0,3.0,2.0,-4.0,1.0,1.0,3.0,-5.0,H
Stoke,Everton,M Halsey,15689.0,7.0,27.0,30.0,3.0,2.0,0.0,3.0,1.0,3.0,1.0,0.0,D
Liverpool,Aston Villa,N Swarbrick,15689.0,5.0,26.0,19.0,3.0,1.0,1.0,4.0,1.0,3.0,1.0,-4.0,A
Man United,Sunderland,C Foy,15689.0,6.0,43.0,20.0,4.0,0.0,1.0,4.0,1.0,1.0,3.0,-2.0,H
Tottenham,Swansea,M Dean,15690.0,7.0,30.0,27.0,3.0,0.0,2.0,2.0,3.0,1.0,1.0,4.0,H
West Brom,West Ham,P Dowd,15690.0,8.0,30.0,26.0,2.0,0.0,3.0,-2.0,1.0,1.0,3.0,-2.0,D
Reading,Arsenal,A Taylor,15691.0,5.0,13.0,28.0,0.0,0.0,5.0,-7.0,2.0,2.0,1.0,3.0,A
Tottenham,Stoke,L Mason,15696.0,6.0,32.0,27.0,4.0,0.0,1.0,6.0,3.0,2.0,0.0,3.0,D
Liverpool,Fulham,M Clattenburg,15696.0,7.0,25.0,23.0,2.0,1.0,2.0,-1.0,1.0,1.0,3.0,-4.0,H
Man City,Reading,M Dean,15696.0,7.0,39.0,12.0,2.0,2.0,1.0,3.0,0.0,0.0,5.0,-9.0,H
Southampton,Sunderland,H Webb,15696.0,14.0,19.0,19.0,3.0,1.0,1.0,4.0,1.0,1.0,3.0,-2.0,A
West Brom,Norwich,M Atkinson,15696.0,5.0,30.0,28.0,1.0,1.0,3.0,-3.0,3.0,2.0,0.0,3.0,H
West Ham,Everton,A Taylor,15696.0,5.0,26.0,30.0,1.0,1.0,3.0,-2.0,1.0,4.0,0.0,1.0,A
Wigan,Arsenal,J Moss,15696.0,7.0,18.0,30.0,1.0,1.0,3.0,-5.0,2.0,2.0,1.0,3.0,A
Newcastle,QPR,K Friend,15696.0,7.0,20.0,13.0,1.0,0.0,4.0,-3.0,1.0,3.0,1.0,-1.0,H
Chelsea,Aston Villa,P Dowd,15697.0,3.0,33.0,21.0,1.0,2.0,2.0,-1.0,2.0,3.0,0.0,3.0,H
Swansea,Man United,M Oliver,15697.0,7.0,26.0,45.0,2.0,1.0,2.0,2.0,5.0,0.0,0.0,7.0,D
Everton,Wigan,L Mason,15700.0,4.0,32.0,17.0,2.0,3.0,0.0,2.0,0.0,1.0,4.0,-7.0,H
Norwich,Chelsea,J Moss,15700.0,4.0,27.0,35.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,8.0,A
Aston Villa,Tottenham,M Clattenburg,15700.0,2.0,20.0,32.0,2.0,2.0,1.0,-5.0,3.0,1.0,1.0,4.0,A
Fulham,Southampton,M Oliver,15700.0,3.0,22.0,18.0,1.0,1.0,3.0,-7.0,2.0,1.0,2.0,1.0,D
QPR,West Brom,C Foy,15700.0,4.0,12.0,32.0,1.0,3.0,1.0,0.0,1.0,1.0,3.0,-4.0,A
Reading,Swansea,M Jones,15700.0,4.0,11.0,26.0,0.0,0.0,5.0,-9.0,2.0,1.0,2.0,2.0,D
Sunderland,Man City,K Friend,15700.0,4.0,21.0,41.0,2.0,0.0,3.0,-1.0,3.0,1.0,1.0,4.0,H
Man United,Newcastle,M Dean,15700.0,3.0,45.0,22.0,4.0,1.0,0.0,5.0,2.0,0.0,3.0,0.0,H
Stoke,Liverpool,H Webb,15700.0,4.0,27.0,27.0,2.0,3.0,0.0,2.0,3.0,0.0,2.0,3.0,H
Norwich,Man City,M Jones,15703.0,3.0,26.0,40.0,3.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,A
Aston Villa,Wigan,K Friend,15703.0,2.0,19.0,16.0,1.0,2.0,2.0,-10.0,0.0,1.0,4.0,-6.0,A
Fulham,Swansea,A Marriner,15703.0,3.0,22.0,26.0,1.0,1.0,3.0,-7.0,1.0,2.0,2.0,0.0,A
